,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
0,Jim Rosati ,@northsidenotch·2022年12月28日,2022-12-28,"For food/drinks:Best steak of the year: Keens Steakhouse, New York, NYBest vibes: Olive and Ivy, Scottsdale, AZBest Brewery: Ratio Beerworks, Denver, COBest sandwich: Katz's Deli, New York, NY.Best pizza: John's of Bleecker Street, New York, NY.",2,,6,901,en,Bleecker Street Pizza New York
1,auriel,@aurielmajumdar·2022年11月19日,2022-11-19,Pizza at John’s to round of a day of New York classics @ John's of Bleecker Street,,,2,en,,Bleecker Street Pizza New York
2,Samuel Rubenfeld,@srubenfeld·2022年10月28日,2022-10-28,"But first we have to order some pizza: pepperoni and mushrooms for me, black olives and mushrooms for the vegetarian Stewart.John’s of Bleecker Street278 Bleecker St, New York, NY 10014",,,,en,,Bleecker Street Pizza New York
3,anh tran,@_anhbuu·2022年9月24日,2022-09-24,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY https://swarmapp.com/c/6iiYueXNwOL",,,,en,,Bleecker Street Pizza New York
4,Ted Geoghegan,@tedgeoghegan·2022年7月5日,2022-07-05,"IMHO, a classic dollar slice is always the way to go. No frills, just oldschool New York flavor...I suggest 2 Bros Pizza at 32 St. Marks Place, NY Fresh Pizza at 787 9th Avenue, 99 Cent Fresh Pizza at 1723 Broadway, or Percy’s at 190 Bleecker Street.",1,,1,en,,Bleecker Street Pizza New York
5,Chef_carmine,@chef_carmine·2022年6月7日,2022-06-07,"If you're reading this, chances are you've heard of pizza. But have you heard of Lombardi's? In 1905, Gennaro Lombardi founded the first pizzeria in America, located on Spring Street and Bleecker Street in New York City. That's right: New Yorkers should be proud that their city.",2,2,15,en,,Bleecker Street Pizza New York
6,Mark Short,@Shorty_74·2022年6月1日,2022-06-01,"I'm at Bleecker Street Pizza - @bleeckerpizza in New York, NY",,,,en,,Bleecker Street Pizza New York
7,Evan Bunkers,@EvanBuWX·2022年4月26日,2022-04-26,"If you’re looking for the best New York-style pizza, head to Greenwich Village and visit John’s of Bleecker Street. By far the best pizza in NYC. @JohnsOfBleecker",2,,4,en,,Bleecker Street Pizza New York
8,Keane,@kranepool·2022年4月26日,2022-04-26,John’s of Bleecker Street no slices just pies best pizza in the City of New York,,,5,en,,Bleecker Street Pizza New York
9,John Rizzuto Photo,@johnrizzuto·2022年4月19日,2022-04-19,"New artwork for sale! - ""Bleecker Street Pizza in New York City"" - https://john-rizzuto.pixels.com/featured/bleecker-street-pizza-in-new-york-city-john-rizzuto.html… @fineartamerica",,,,en,,Bleecker Street Pizza New York
10,Sean Silverman: Silverman Bar Exam & LSAT Tutoring,@BarExamTutor·2022年3月22日,2022-03-22,"Also Joe's pizza, I believe on Carmine street (near Bleecker street). I mean, there's no shortage of pizza in New York City, but both of these are really good.",1,,1,en,,Bleecker Street Pizza New York
11,Cole,@cathompson1987·2022年3月4日,2022-03-04,@stoolpresidente the wife to be and her best friend were craving pizza in  New York and just casually stumbled in a top 5 pizza joint of all time at John’s of Bleecker street. Had no clue. She now understands the importance of the @onebite app. #Sheknowstherules,,,,en,,Bleecker Street Pizza New York
12,Fede,@fedefedeeeee·2022年2月13日,2022-02-13,The best Pizza in New York by @googlemaps :1.Joe's Pizzahttps://goo.gl/maps/QuGcnmLkF2azxj2y6…2. Prince Street Pizza https://goo.gl/maps/YZnYMsuB7ionrv6a7…3.John's of Bleecker St.https://goo.gl/maps/EJpL48BhuHbW83qy6…4. Rubirosa https://goo.gl/maps/fdknNDiZg9hcPVPn8…5.Bleecker Street Pizzahttps://g.page/BleeckerStreetPizza?share…,1,2,2,en,,Bleecker Street Pizza New York
13,Defendify,@Defendify·2022年2月8日,2022-02-08,"Imagine having pizza from New York City’s legendary John’s of Bleecker Street delivered to your doorstep! If you win our challenge, that could be your reality. Figure out how to get your coal-fired pizza and uncover data security vulnerabilities. https://hubs.la/Q013Mk__0",,,1,en,,Bleecker Street Pizza New York
14,𝐊𝐄𝐋𝐋𝐙.,@kellyannelizbth·2022年2月5日,2022-02-05,Joe’s & Bleecker Street are unequivocally best slices in NYCXx 25 Best Places for Pizza in New York City | Condé Nast Traveler,,,,en,,Bleecker Street Pizza New York
15,The Prince of Goldenstone,@ThisIsNotKam·2022年1月6日,2022-01-06,I mean…it’s not like every pizza in New York is Lucali’s or John of Bleecker Street…it’s just the pizza you get for a kids party or in a quick rush,1,,,en,,Bleecker Street Pizza New York
16,Ler.AME - Lt Columbo investigating the SNP,@nightmaree94·2021年12月28日,2021-12-27,John’s of Bleecker Street in New York serves up some of the finest Pizza on earth. They also have Port Alba on their window. Independence is therefore inevitable.In Nicola We Trust#ScottishIndependence3,,,1,en,,Bleecker Street Pizza New York
17,Dan Mirsky,@DanMirsky·2021年8月12日,2021-08-12,"Best bagel ever yesterday. Best NY pizza ever today. (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY) https://swarmapp.com/c/78TifQWxX52",,,1,en,,Bleecker Street Pizza New York
18,James & Karla Murray,@JamesandKarla·2021年8月11日,2021-08-11,"Bleecker Street Pizza, Greenwich Village, NYCYesterday, we visited and tried @bleeckerstreetpizza delicious Nonna Maria pizza . To see if we agree with the Food Network, who named it “Best Pizza in New York” three years in a row, please watch:https://youtu.be/0KlaSzftJUA",,1,2,en,,Bleecker Street Pizza New York
19,Dom Beveridge,@dombeveridge·2021年8月2日,2021-08-02,Outdoor dining = #silverlining of #covid.  #pizza #delicious #nomnom #kids #newyork #newyorkcity @ John's of Bleecker Street,,,,en,,Bleecker Street Pizza New York
20,NewsNation,@NewsNation·2021年7月22日,2021-07-22,"For a quick meal, New York's Bleecker Street Pizza beat out all challengers, including an In-N-Out Burgers location in Los Angeles.https://trib.al/dM0Zutr",,1,,en,,Bleecker Street Pizza New York
21,Manz,@Sup3rManz·2021年7月3日,2021-07-03,Current NY pizza rankings:1. Prince Street Pizza2. Patsy's Pizzeria3. Upland 4. Bleecker Street 5. Lombardis... 99. Joe's Pizza#NYC #NewYork #Pizza,2,1,,en,,Bleecker Street Pizza New York
22,bernie bare,@BareBernie·2021年6月8日,2021-06-08,"Joe’s Pizza, also called Famous Joe's Pizza, is a pizzeria located in Greenwich Village Manhattan, New York City on Carmine Street near Bleecker Street. The restaurant is known for serving a classic New York street styled pizza and has been called a Greenwich Village institution.",1,,1,en,,Bleecker Street Pizza New York
23,mensa the gambull ,@morelikemensa·2021年4月3日,2021-04-02,New Park Pizza in Howard Beach also slaps. John’s of Bleecker Street is a heavy hitter. There is too much good pizza in New York for you to be settling for corporate brands.,,,,en,,Bleecker Street Pizza New York
24,kal,@kalliinnit·2021年3月10日,2021-03-10,"Slice of Pizza Pie at my favorite New York City Bodega with New York City Mayoral Candidate Andrew ""Chicken Soup"" Yang. Better yet, me and Davey Pageviews go out to John's at Bleecker Street, get a 10/10 and then day trade some no-name pink sheet company up 500% by closing.",1,,,en,,Bleecker Street Pizza New York
25,SEVEN/NEO⁷ !! ,@sgtjohncaptain·2021年3月10日,2021-03-10,"of Pizza Pie at my favorite New York City Bodega with New York City Mayoral Candidate Andrew ""Chicken Soup"" Yang. Better yet, me and Davey Pageviews go out to John's at Bleecker Street, get a 10/10 and then day trade some no-name pink sheet company up 500% by closing. That's wha",,,2,en,,Bleecker Street Pizza New York
26,ً,@gone_inactive20·2021年3月10日,2021-03-10,"good old New York Slice of Pizza Pie at my favorite New York City Bodega with New York City Mayoral Candidate Andrew ""Chicken Soup"" Yang. Better yet, me and Davey Pageviews go out to John's at Bleecker Street, get a 10/10 and then day trade some no-name pink sheet company up 500%",1,,,en,,Bleecker Street Pizza New York
27,Huggy Lowdown,@HuggyLowdownDC·2021年2月10日,2021-02-10,"#NationalPizzaDay Washington DC -Pi Pizzeria,All Purpose Pizza, My Daughter’s Naan Bread Pizza in the Air Fryer Chicago- Lou Malnati,Giordano’s Little Rock Arkansas- Shotgun Dan’s New York-Bleecker Street Pizza St. Louis -IMO’s  Cleveland- Paninis",,1,7,en,,Bleecker Street Pizza New York
28,Andrew Khan,@AKhan03·2021年1月11日,2021-01-11,"Hey @Lindor12BC, try these pizza places in New York:- Made In New York Pizza- Bleecker Street Pizza- Roberta’s Pizza- LB Spumoni Gardens- Lucali- Di Farra- Joe’s Pizza- Emmy Squared- Joe & Pat’s- Patsy’s Pizza¡Buen Provecho! #lgm",,1,2,en,,Bleecker Street Pizza New York
29, Joe Fabisevich ,@mergesort·2020年6月16日,2020-06-16,"Oh pizza, how I’ve missed you.  (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY)",,,,en,,Bleecker Street Pizza New York
30,Corey Ryan Forrester First of His Name,@CoreyRForrester·2020年4月16日,2020-04-16,One time when I was living in New York I was walking down Bleecker street getting some pizza and saw a crowd on the middle of the side walk just dying laughing. I walked up and they were circled around @RichVos who was on his way to do a set and just stopped to crush for a minute,1,1,13,en,,Bleecker Street Pizza New York
31,Quinn,@CharlieeQuinn19·2020年4月16日,2020-04-16,New York = PIZZA CAPITAL OF THE WORLD:Joe & Pat’sL&B Spumoni GardensJohn’s of Bleecker Street Lee’s TavernPrince Street PizzaGrimaldi’sDeninosDi FaraThe list goes on and on...,1,3,9,en,,Bleecker Street Pizza New York
32,Chuck Acquisto,@AirPallotti·2020年3月30日,2020-03-30,"Ledo’s in College Park, Maryland. My bias taste buds. For traditional New York Pizza, John’s of Bleecker Street in the Village.",,,,en,,Bleecker Street Pizza New York
33,Shaun Fleming,@flemwad29·2020年2月28日,2020-02-28,Pizza review continues. @stoolpresidente New York favourite Johns of Bleecker Street street.  Also got a 9.3. #OneBite #PizzaReview,1,,1,en,,Bleecker Street Pizza New York
34,Tanner Smith,@TannerLD·2020年2月23日,2020-02-23,"Accidental Tanner Pizza (@ John's of Bleecker Street in New York, NY w/ @ryanashcraft)",1,,3,en,,Bleecker Street Pizza New York
35,Biscuits,@WiscoInferno·2020年2月17日,2020-02-17,"Scarr’s, Made In New York, Bleecker Street Pizza, Joe’s of Bleecker, Sauce, Prince Street.",,,,en,,Bleecker Street Pizza New York
36,Frankie Paz,@FrankiePaz713·2020年2月7日,2020-02-07,"- Bleecker Street Pizza-  West Village, NYC *********************************#instalike#instagood#color#colorphotography#ny#newyork#nyc#manhattan#igers#ignyc#explore#exploretocreate#urbanphotography#nycphotography#nycphotographer#ip… https://ift.tt/3715GjS",,1,1,sv,,Bleecker Street Pizza New York
37,Blackness Everdeen,@ThisIsTee1·2020年1月25日,2020-01-25,"(@ Bleecker Street Pizza - @bleeckerpizza in New York, NY w/ @kemanismith)",,,,en,,Bleecker Street Pizza New York
38,Thrond,@Thrond·2020年1月11日,2020-01-11,"Love it! (@ Bleecker Street Pizza - @bleeckerpizza in New York, NY)",,,1,en,,Bleecker Street Pizza New York
39,Will,@WCJ34·2019年11月2日,2019-11-02,"The king @stoolpresidente says this is the best pizza in the city. So you bet your ass we made it down here. (@ John's of Bleecker Street - @johnsbleecker in New York, NY) https://swarmapp.com/c/ikGEvpYaH7e",1,,1,en,,Bleecker Street Pizza New York
40,Chad Smith,@ChadwickASmith·2019年10月13日,2019-10-13,@bleeckerpizza did not disappoint! Delicious #NewYork #Pizza with great #Friends #nyc @ Bleecker Street Pizza https://instagram.com/p/B3ixBT3jtWs/?igshid=uv1fmkiuvbrp…,,,,en,,Bleecker Street Pizza New York
