,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
0,TERF = slur: the most based slur,@JMyTThor·2022年12月29日,2022-12-29,"What the hell is a “no nudity strip club?” I mean, we have a steakhouse in San Diego called Gaslamp Strip Club, but it’s just a pun on New York strip. You know what “strip” means, right?",,,,49,en,Club A Steakhouse New York
1,The Company of Dads,@companyofdads·2022年7月1日,2022-07-01,"The first Dad-chelor took place at a New York City steakhouse. “They had a whole thing with a prix fixe steak dinner, wine, bourbon, the whole experience,” he said. “We went to a comedy club afterwards.”",1,,,en,,Club A Steakhouse New York
2,Gianni Raisins,@BGaytion·2022年6月23日,2022-06-23,Is there a strip club/steakhouse in New York called New York Strip? And if not pay me.,,,4,en,,Club A Steakhouse New York
3,uGeo,@uGeoApp·2022年6月16日,2022-06-16,"There’s nothing that beats good food, drinks and a beautiful ambience Here’s 3 fine dining restaurants to have a good time in New York City: nudibranch Club A Steakhouse Daniel#ugeo #livelocally #mobileapp #newyork #nyc #restaurant",,1,1,en,,Club A Steakhouse New York
4,AccidentallyWesAnderson,@AccidentallyWA·2022年5月9日,2022-05-09,"Did you know Peter Luger’s Steakhouse used to be a Billiards Club? We're rounding out our #Foodventure revisit with a medium-rare look inside the century-old #Williamsburg staple  Brooklyn, New York @AccidentallyWA Full story: http://awa.link/ALOg",,,4,en,,Club A Steakhouse New York
5,Heather,@Heather27131175·2021年9月14日,2021-09-14,"Washington: The Smithsonians; New York: Natural History Museum,  Central Park Zoo, Alice's Tea Cup (best place for tea), Club A Steakhouse (good food and facts).  Have fun",,,,en,,Club A Steakhouse New York
6,Jenn Swaby,@DancinJn·2021年8月25日,2021-08-25,When I lived in New York I used to be a gogo dancer at penthouse steakhouse & gentlemen club. the upstairs had go-go dancers & the downstairs had topless dancers who would come out in gowns. No pole just a stage. They socialized n gowns. When she’s speak about it… same energy,,,2,en,,Club A Steakhouse New York
7,TravelAdikkt,@TravelAdikkt·2020年2月27日,2020-02-27,Club A Steakhouse | ADIKKT#UnitedStates #NewYork #CityRestaurant #Steakhouse #LargeGroups #AmericanCuisine #PrivateDining #BusinessDining #Restaurants #luxury,,,,en,,Club A Steakhouse New York
8,Stephen Im,@UmphChao·2020年2月20日,2020-02-20,What do you mean act natural?!#clubasteakhouse #steakdinner #valentines #asian #newyork #winter #2020 #sponsorme #applewatch #crest @ Club A Steakhouse https://instagram.com/p/B8yy7eTpfOJ/?igshid=ispvxekcrlq…,1,,,en,,Club A Steakhouse New York
9,Blanche Victoria,@tammytabby·2019年11月15日,2019-11-15,Playboy Club in New York to shut its doors next month-Iconic Playboy Club at the Cachet Hotel in New York City will close its doors after just two years as early as next month. The owners will convert the venue into a steakhouse and entertainment venue.,,,,en,,Club A Steakhouse New York
10,Dining Out Jersey,@DiningOutJersey·2019年10月3日,2019-10-03,"Stepping into Hunt & Fish Club NYC {125 West 44th Street, New York City; 212.575.4949; http://hfcnyc.com} is like being transported to a bygone era...Read More: http://bit.ly/hfclub14#TimesSquare #steakhouse #newyorksteak #nycfoodie #DiningOutNJ #zagat",,,,en,,Club A Steakhouse New York
11,渋井しほり@パンダと肉好きチョコレーター,@shihorin24·2019年9月25日,2019-09-25,ニューヨークなのでまたステーキ来たClub A Steakhouse、赤黒に薔薇がある素敵なお店ポーターハウスも最高だけど、ベーコンがスーパー美味しかった...#ClubASteakhouse #ニューヨーク旅行 #ニューヨーク #newyork #ny #アメリカ #nyc #ニューヨークグルメ #ニューヨークステーキ #trip,,,16,ja,,Club A Steakhouse New York
12, V,@tra_V_ler·2019年8月25日,2019-08-25,Club A Steakhouse  #Travel #Newyork #NYC #NewYorkCity #City #NYC #USA #city #food  IG: travhiler,,,,en,,Club A Steakhouse New York
13, V,@tra_V_ler·2019年8月24日,2019-08-24,"#Video  Club A Steakhouse: Filet Mignon, NY Cheesecake & Moscato  #Travel #Newyork #NYC #NewYorkCity #City #NYC #USA #city #food  IG: travhiler",,,,en,,Club A Steakhouse New York
14, V,@tra_V_ler·2019年8月22日,2019-08-22,NYC Restaurant Week:  Club A Steakhouse  #Travel #Newyork #NYC #NewYorkCity #City #NYC #USA #city #food  IG: travhiler,,,,en,,Club A Steakhouse New York
15,Irfan Khan,@bitecart·2018年5月4日,2018-05-04,#NewYorkClub A SteakhouseDEAL #MENUAppetizer(Choice Of)MIXED GREEN SALADFRIED CALAMARISTEAK TARTAREEntrée(Choice Of)PAN SEARED WILD KING SALMONBROOK TROUTDessert(Choice Of)HOMEMADE CREAM PUFFSHOMEMADE TIRAMISUCHEESECAKEFor more details goto http://clubasteakhouse.com/groupon-deal-menu/…,,,,en,,Club A Steakhouse New York
16,Irfan Khan,@bitecart·2018年4月26日,2018-04-26,"#NewYorkClub A Steakhouse#MenuCLUB A BACON EXTRA THICK,APPLEWOOD SMOKED 7STEAK AND CHOPS  PETITE FILET MIGNON 10OZ 42FILET MIGNON 16OZ 49PRIME PORTERHOUSE FOR 2, 3, OR 4..49 PER PERSONBRANZINO LEMON, WHITE WINE,& SPINACH 39For more details go to http://clubasteakhouse.com/menu/",,,,en,,Club A Steakhouse New York
17,Biff Tannen; No Horse Shit,@PenroseEames·2018年1月5日,2018-01-05,I'm going to open a steakhouse strip club in Manhattan called New York Strips #CornyBusinessIdeas,,,1,en,,Club A Steakhouse New York
18,NYCSHP,@NYCSHP·2017年9月6日,2017-09-06,"NYCSHP’s August CE dinner program took place at Club A Steakhouse in Midtown East, New York. Dr. Sarah A.... http://fb.me/8xcVlvSgx",,,,en,,Club A Steakhouse New York
19,ellie h!,@_elliehowell·2017年6月3日,2017-06-03,in August I got this cheesecake at Club A Steakhouse in New York City and I haven't shut up… https://instagram.com/p/BU3FVRlhyUs/,,,,en,,Club A Steakhouse New York
20,SunCarD VIP,@SuncardVip·2017年3月2日,2017-03-02,Dinner for Two or Four at Club A Steakhouse (Up to 48% Off).#suncardvip #newyorkdeals #newyork #foodie,,,,en,,Club A Steakhouse New York
21,STUNTFM 97.3,@stuntfmc·2016年11月16日,2016-11-16,"On Tuesday night, president-elect Donald Trump ditched the press for a trip to New York steakhouse 21 Club. It's... http://fb.me/3PlcLlMGK",,,,en,,Club A Steakhouse New York
22,a phenomenal tool to,@mytop10videos·2016年11月16日,2016-11-16,"On Tuesday night, president-elect Donald Trump ditched the press for a trip to New York steakhouse 21 Club. It's the second time it's…",,,,en,,Club A Steakhouse New York
23,jacqueline,@paperrosie53·2016年11月16日,2016-11-16,"Trump goes to dinner at 21 Club, a famous steakhouse in New York City,and the employees all applaud!!! Wow! Trumpettes!",,,,en,,Club A Steakhouse New York
24,Danny Smallman,@DannySmallman·2016年11月11日,2016-11-11,"Final night, date night abiashworth #NewYork #ClubASteakhouse #DateNight @ Club A Steakhouse https://instagram.com/p/BMpohAQA22G/",,,,en,,Club A Steakhouse New York
25,The Call: Where Hip Hop Speaks,@TheCallHipHop·2016年3月2日,2016-03-02,Bryan S.'s Review of Club A Steakhouse - New York (5/5) on Yelp: Amazing food and great ambiance. I m... http://tinyurl.com/jqt63yp #YelpNYC,,,,en,,Club A Steakhouse New York
