,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,ny_jobs_bot,@nyjobsbot1·2022年8月28日,2022-08-27,Ipanema Restaurant is hiring in New York for a Cashier. Click now to apply! https://jobs2careers.com/click.php?jid=52e3d257741db4ef7bc27c4ce&ri=97200ed3f27543478aacfa2226ab4bb5&job_loc=New+York%2CNY&q=&spl=MV4vzdX6bZjLSrs8%3AgeDnsj4efz5saAGIx12q%2Bg%3D%3D%3Aoy%2FwZpaw6SAINa%2F0FGYaZOz3%2FedwfgvGjXdgq91VPQIYeZDEm6rv6Od%2Bf5SZN1j3DgGMrJruJiOxH4tajMiZIW3uk6as63dai7qhmiU66cEtT0vfEMGvQ1jMquSju6D3VlxuUNXnZGGTCht693F2hw%3D%3D&encrypt=0&l=new+york%2C+ny…#newyork #NYC #jobalert #careergoals #vacancy #recruiting,,,,en,Ipanema Restaurant New York
1,ny_jobs_bot,@nyjobsbot1·2022年8月17日,2022-08-17,Ipanema Restaurant is hiring in New York for a Garde Manger. Click now to apply! https://jobs2careers.com/click.php?jid=53446d89f7edb4ef61b981a4e&ri=970ac498e0d840d48e22a5a272742522&job_loc=New+York%2CNY&q=&spl=NWQP0JgdZqvUkwMV%3AZGJtkR06lKUvAJ8EpqCSmA%3D%3D%3AeEfcO5%2BNSL7Mgom8EQAbAL228WYgtt38nfdzZ66WcXEWB1x%2BsVy86AoOIyRmsRp8m5Dh5O%2BW2B0C8b4720XcLGeulWcjv2ymcqfdKCZdCWUtqk2ya1PbVXdrAgpNJMQbQwU2pPFELrOVPMS5euY%3D&encrypt=0&l=new+york%2C+ny…#newyork #NYC #recruiter #jobseeker #jobseekers #jobvacancies,,,,en,Ipanema Restaurant New York
2,ny_jobs_bot,@nyjobsbot1·2022年8月11日,2022-08-11,Ipanema Restaurant is hiring in New York for a Garde Manger. Click now to apply! https://jobs2careers.com/click.php?jid=53446d89f7edb4ef61b981a4e&ri=96ff1df976e14f43ad8e47e0e1372f4c&job_loc=New+York%2CNY&q=&spl=UtfBh%2BWDK7caTl7M%3AnjXYmQ7lGzP0YTG5aJmkvg%3D%3D%3ALd7q0FMy52l066g3yXabZ%2B4Iy%2BUlqDkRVTOnr8sKlYfYwSPmQuvEtS7N8hIWbTmxts%2F7qoEqAbZTOBNNWTekN5ZVmQQfW2n8ei67%2FdWK4FZPvkHVQa%2B9NTqrzPpeNLzICXeceCxQZn4wPbQ161lf&encrypt=0&l=new+york%2C+ny…#newyork #NYC #humanresources #bhfyp #jobposting #jobseekers,,,,en,Ipanema Restaurant New York
3,Hospitality Design,@hdmag·2022年6月2日,2022-06-02,Popular New York restaurant Ipanema has reopened 10 blocks south of its original location.,,,1,en,Ipanema Restaurant New York
4,Mike Chau,@mikejchau·2022年5月25日,2022-05-24,"Incredible meal at the gorgeous new @ipanema, must try the Bitoque and Arroz de Pato for sure and the Salame De Chocolate for dessert #ipanema @ Ipanema Brazil Restaurant At 5th Avenue In New York City",,,,en,Ipanema Restaurant New York
5,ny_jobs_bot,@nyjobsbot1·2022年4月26日,2022-04-26,Ipanema Restaurant is hiring in New York for a Baker. Click now to apply! https://jobs2careers.com/click.php?jid=5d166d17d5edb4ef84998846e&ri=9626c7b9c57e4618b0a3a12e3cb20416&job_loc=New+York%2CNY&q=&spl=KLe3CddOGZM%2FLKEO%3Agiw0Ba2PVzYL7354kmpstA%3D%3D%3APvUfLqbagkKhS2auAvfH1GcOWmd55DPqj124RW6SgzNS8uOun8xKO6xFo9pZ3sTCBCJKv5%2BMDg0JHI2l%2BUAmmhAl4HgL15CjvpcTmVPqND3BLVy5e5Znyr0An03jbf35EULvGYIAdeKyKb4nGyMc&encrypt=0&l=new+york%2C+ny…#newyork #NYC #bhfyp #motivation #vacancy #staffing,,,,en,Ipanema Restaurant New York
6,Portuguese American Leadership Council ,@PALCUS·2020年3月31日,2020-03-31,"Ipanema Restaurant of New York City, NY is temporarily closed but you can still support them by buying gift cards!https://ipanemanyc.comhttps://facebook.com/ipanemanyc/#SupportPortugueseBusiness",,,1,en,Ipanema Restaurant New York
7,のぞむ,@ship_nozo·2020年2月11日,2020-02-11,"I'm at Ipanema Restaurant in New York, NY",,,,en,Ipanema Restaurant New York
8,Gary M King,@GMKing79·2019年6月12日,2019-06-12,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/3NtYNP0x8UV",,,,en,Ipanema Restaurant New York
9,Alex Lynford,@awlynford·2019年6月9日,2019-06-08,"Diner (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/4o5sqkijHkC",,,,en,Ipanema Restaurant New York
10,Fabiola dArt,@FabioladArt·2019年5月20日,2019-05-20,New York’s Ipanema Restaurant Was Designed By DiGuiseppe Design Studio http://dlvr.it/R54C2Z,,,,en,Ipanema Restaurant New York
11,Ivan,@IvanZxie·2019年1月13日,2019-01-13,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/ksPqOM7Mt5r",,,,en,Ipanema Restaurant New York
12,New York Portuguese American Leadership Conference,@NYPortuguese·2018年12月7日,2018-12-07,"THINGS TO DO THIS WEEKEND in the NEW YORK PORTUGUESE COMMUNITY ||.• Sat., Dec 8 | NYPALC Xmas Party 2018 - Ipanema Restaurant, NYC.• Sat., Dec 8 | Hudson Valley PACC – Christmas… https://instagram.com/p/BrFxfvRD4OS/?utm_source=ig_twitter_share&igshid=5lv041k54wt1…",,,1,en,Ipanema Restaurant New York
13,Duane Cunin,@DJDOUBLE12·2018年9月2日,2018-09-02,"More Vibes outside Ipanema Restaurant in Manhattan for Brazilian Day NYC 2018 today! @ New York, New York https://instagram.com/p/BnOwkoWnQn1/?utm_source=ig_twitter_share&igshid=1t8j5wevc6nao…",,,,en,Ipanema Restaurant New York
14,Duane Cunin,@DJDOUBLE12·2018年9月2日,2018-09-02,"Vibes outside Ipanema Restaurant in Manhattan for Brazilian Day NYC 2018 today! @ New York, New York https://instagram.com/p/BnOvtKzHP8Z/?utm_source=ig_twitter_share&igshid=1bqzo8yta20do…",,,,en,Ipanema Restaurant New York
15,Tyler Ross,@TylerRoss79·2018年8月19日,2018-08-18,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/cArP6tsoOeO",,,,en,Ipanema Restaurant New York
16,Lisa Degala Sasamura,@lisadegala·2018年7月15日,2018-07-15,"Ipanema Restaurant on #Yelp: My New York trip is just a distant memory, I can say one of my many fondest memory is … https://yelp.com/biz/ipanema-restaurant-new-york?hrid=VtYjrdfF_Bu6TbTYoCONhA&pt=review&ref=twitter&utm_campaign=Review&utm_medium=twitter&utm_source=ishare&v=3…",,,,en,Ipanema Restaurant New York
17,Chloé,@bettychloesun·2018年4月20日,2018-04-20,"Reunited with my chickpeas  (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/2Ti1ST8t7ts",,,,en,Ipanema Restaurant New York
18,Bruno Boni de Oliveira,@brunoboni·2018年4月1日,2018-04-01,"Brazilian tanager (Ramphocelus bresilius) reported eating picanha and pastelzinho, drinking chopp, at Ipanema Restaurant, Little Brazil St - 43W 46th St, New York, NY.",,,1,en,Ipanema Restaurant New York
19,Bruno Boni de Oliveira,@brunoboni·2018年4月1日,2018-04-01,"Brazilian tanager (Ramphocelus bresilius) reported eating picanha and pastelzinho, drinking chopp, at Ipanema Restaurant, Little Brazil St - 43W 46th St, New York, NY.  https://twitter.com/brunoboni/status/980501573343301632/photo/1?utm_source=fb&utm_medium=fb&utm_campaign=brunoboni&utm_content=980501573343301632…",,,,en,Ipanema Restaurant New York
20,Shiang-Yu Chung,@iRunOnRice·2017年3月11日,2017-03-11,#Brazilian and #Portuguese food in New York! #newyorkcity #hiddengem @ Ipanema Restaurant https://instagram.com/p/BRgz0hTjlxD/,,,,en,Ipanema Restaurant New York
21,Guillermo Centeno,@memocenteno·2016年11月6日,2016-11-06,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/2k5VIqcx4E5",,,,en,Ipanema Restaurant New York
22,T.Z,@bolailuo·2016年10月30日,2016-10-30,"Very delicious (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/2qLPA3T8N9B",,,,en,Ipanema Restaurant New York
23,澡堂 | Bath,@lqs4188980·2016年10月16日,2016-10-15,"上次还是跟陈永仁来的 (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/4ScYG4s0qli",,1,,zh,Ipanema Restaurant New York
24,Imperial Senator 𝔹𝕝𝕦𝕖𝕔𝕣𝕒𝕤𝕙,@bluecrash·2016年9月8日,2016-09-08,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/fC1pRh8neWh",,,,en,Ipanema Restaurant New York
25,Henrique,@dias_henrique·2016年9月6日,2016-09-05,"I'm at Ipanema Restaurant in New York, NY w/ @pstancati https://swarmapp.com/c/7MNpF58XgUv",,,,en,Ipanema Restaurant New York
26,Anri Seki,@asSharp·2016年8月25日,2016-08-25,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/6e7CJR7cet2",,,,en,Ipanema Restaurant New York
27,abby,@mygiantrobot·2016年8月12日,2016-08-12,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/1CQIPIQUdKZ",,,,en,Ipanema Restaurant New York
28,Ashli,@evotravelicious·2016年8月10日,2016-08-10,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/cwznNnkKAgi",,,,en,Ipanema Restaurant New York
29,V/免治牛排貓,@vzpinf·2016年7月31日,2016-07-31,"I'm at Ipanema Restaurant in New York, NY https://swarmapp.com/c/lndIxfd0ey2",,,,en,Ipanema Restaurant New York
30,New York Picks,@NewYorkPicks·2016年7月26日,2016-07-26,"Check out Ipanema Restaurant: http://sch.mp/01zWA - RT @Linamerie Lunchin (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/eCntW3l7nxC",,,,en,Ipanema Restaurant New York
31,Nikki Ko,@Linamerie·2016年7月26日,2016-07-26,"Lunchin (@ Ipanema Restaurant in New York, NY) https://swarmapp.com/c/eCntW3l7nxC",,,,en,Ipanema Restaurant New York
