,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,"mik c'',) ",@ma2keithappen·2022年9月15日,2022-09-15,Piccola Cucina Estiatorio | New York USA | Ma2ke Directory USA #shorts #... https://youtube.com/shorts/rCVDtYpdIPU?feature=share… via @YouTube,,,,it,Piccola Cucina Estiatorio New York
1,Eiichiro Homma,@Eiichiro_Homma·2022年7月19日,2022-07-19,We had a team dinnerThank you for a big fun night、ニューヨークスタッフとのチームディナーです。楽しい一時でした。#nanamica #nanamicanewyork #newyork #team 場所: Piccola Cucina Estiatorio,,,,ja,Piccola Cucina Estiatorio New York
2,Dash C.,@dash1313·2022年4月4日,2022-04-03,Pasta! @piccolacucinany #pasta #tagliatelle #penne #instafood #piccolacucina #ny #newyork #manhattan #soho @ Piccola Cucina Estiatorio,,,,it,Piccola Cucina Estiatorio New York
3,Gambero Rosso International,@GamberoRossoINT·2022年2月28日,2022-02-28,Top Italian Restaurants in New York. Here’s our starting XI. What a solid team.Pizza:- San Matteo- Ribalta- Song’e NapuleWine:D.O.C Wine barSistinaAi FioriTrattoria-style:Gennaro RestaurantPiccola Cucina EstiatorioRestaurant:Antica PesaLa DevozioneIl Gattopardo,,,,it,Piccola Cucina Estiatorio New York
4,Dome,@DomeQuisciotte·2021年10月21日,2021-10-21,"Piccola Cucina Estiatorio                       75 Thompson StNew York, NY 10012United States",,,1,it,Piccola Cucina Estiatorio New York
5,modomatic,@modomatic·2021年9月19日,2021-09-19,"An Italian break from the busy SoHo. (@ Piccola Cucina Estiatorio in New York, NY) https://swarmapp.com/c/lBdgyNIwSl7",,,,en,Piccola Cucina Estiatorio New York
6,Gustavo Cortes,@_GusCg·2019年1月5日,2019-01-05,"I'm at Piccola Cucina Estiatorio in New York, NY https://swarmapp.com/c/8AUXZeFJEly",,,,it,Piccola Cucina Estiatorio New York
7,Roberta Broccoli ,@robby2309·2018年8月31日,2018-08-30,#piccolacucina #newyorkcity #newyork @Cucina_Piccola #yummy #foodstagram #instadaily#instamood #restaurant #nyc @ Piccola Cucina Estiatorio https://instagram.com/p/BnH1GPDFLPk/?utm_source=ig_twitter_share&igshid=1tbi96zyxkwcb…,,,,it,Piccola Cucina Estiatorio New York
8,New Yorker,@thenewyorker78·2018年4月13日,2018-04-13,New post (Piccola cucina Estiatorio ...) has been published on  - http://newyork.jetzt-24.de/piccola-cucina-estiatorio-nyc/…Fototapete New York: http://bit.ly/2ghkpTd,,,,it,Piccola Cucina Estiatorio New York
9,Sonia Behal,@soniabehal·2017年9月4日,2017-09-04,"Full dance party with dinner unforgettable dinner (@ Piccola Cucina Estiatorio in New York, NY) https://swarmapp.com/c/f3uXEyxI0o9",,,,en,Piccola Cucina Estiatorio New York
10,streetfauna ,@streetfauna·2017年7月29日,2017-07-28,"I'm at Piccola Cucina Estiatorio in New York, NY https://swarmapp.com/c/krGr2ud3h1n",,,,it,Piccola Cucina Estiatorio New York
11,Mauro Porcini,@MauroPorcini·2017年6月18日,2017-06-18,#NewYork reunion........ #friends #fun @ Piccola Cucina Estiatorio https://instagram.com/p/BVdr8ecFIUA/,,,,es,Piccola Cucina Estiatorio New York
12,Betsy RC,@BetsyRC1·2017年3月18日,2017-03-18,"Best appetizer: tuna & salmon, stuffed mozzarella & arugula salad. And Sicily came to New York w/ the cassata - at Piccola Cucina Estiatorio",,,,it,Piccola Cucina Estiatorio New York
13,L'Isolabella Sicily,@LIsolabella·2017年3月18日,2017-03-18,"Piccola Cucina Estiatorio will be Chef Philip Guardione's new opening in SoHo, New York http://ow.ly/zLMR309S45c #SaturdayKitchen",,,1,en,Piccola Cucina Estiatorio New York
