,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,𝒩𝑒𝓌𝒴𝑜𝓇𝓀𝑒𝓇X ,@newyorker9_28·2019年12月17日,2019-12-17,"Sottocasa Pizzeria227 Malcolm X Blvd, New York, NY 10027(646) 928-4870 https://g.co/kgs/VD492P",,,,en,SottoCasa Pizzeria New York
1,Claudio Napoli,@clanapis·2019年9月12日,2019-09-12,Pizzeria “Sottocasa”: un po’ di Napoli a New York http://napoliclick.it/portal/il-click/9055-pizzeria-…“sottocasa”-un-po’-di-napoli-a-new-york.html,1,1,3,it,SottoCasa Pizzeria New York
2,"Taylor Washington, Esq.",@trwashingtonesq·2019年4月11日,2019-04-10,"I'm at Sottocasa Pizzeria - Harlem - @sottocasaharlem in New York, NY https://swarmapp.com/c/aAbc9r9g9Rc",,,1,en,SottoCasa Pizzeria New York
3,Travel Market Report,@TravelMktReport·2019年2月14日,2019-02-14,Best #NewYork Pizzerias According to Reviews1. SottoCasa Pizzeria2. Song’ e Napule Pizzeria3. Juliana’s #Pizza4. Numero 28 Pizzeria5. San Matteo Pizza Espresso BarSource: @TripAdvisor,,,,it,SottoCasa Pizzeria New York
4,Sottocasa Harlem Pizzeria,@SottocasaHarlem·2019年1月10日,2019-01-10,#jamieoliver #meet #sottocasa #pizzeria #harlem #businesscards #interesting #great #talk about #italian #food #newyork #pizza #neapolitan #style #grazie Jamie Oliver #pleasure #meeting… https://instagram.com/p/BseFPdmlbKf/?utm_source=ig_twitter_share&igshid=3xsaduo97hsf…,,,1,en,SottoCasa Pizzeria New York
5,Brownstone Investments LLC,@BrownstoneNJ·2018年8月21日,2018-08-21,"Brownstone Recommends: If you are still looking for your perfect pizza place in New York, then you’ve got to try #SottoCasa Pizzeria. Where for a moment you’ll forget you’re in New York and feel you’re in Italy.#brownstoneinvestments #newyorkrealestatehttps://bit.ly/2PrnZa6",,,1,en,SottoCasa Pizzeria New York
6,Stephanie Redhead,@stephanidr·2018年2月20日,2018-02-20,"I'm at Sottocasa Pizzeria - Harlem - @sottocasaharlem in New York, NY https://swarmapp.com/c/kYzHO9Nsjfa",,,1,en,SottoCasa Pizzeria New York
7,Xteena,@xteenaashcraft·2017年12月6日,2017-12-05,First stop! New York Italian pizza. @ Sottocasa Pizzeria - Boerum Hill https://instagram.com/p/BcVqfTBgy79/,,,,it,SottoCasa Pizzeria New York
8,ahmetbuğra,@96Ahmetbugra·2017年7月6日,2017-07-06,"I'm at Sottocasa Pizzeria - Harlem - @sottocasaharlem in New York, NY w/ @burakturpculu @derya_isler https://swarmapp.com/c/7O3Dxh3qEZH",,,1,en,SottoCasa Pizzeria New York
9,Mira Destiny,@Miracles__Peace·2016年9月23日,2016-09-23,"~Sottocasa Pizzeria in Brooklyn. It is the best pizza in New York. It's on 298 Atlantic Avenue."" *Clint smiled*",1,,,en,SottoCasa Pizzeria New York
10,Rudy Van hoe,@AMarathonMan·2016年7月25日,2016-07-25,"A little bit home @ Harlem  (@ Sottocasa Pizzeria - Harlem - @sottocasaharlem in New York, NY) https://swarmapp.com/c/5dbVVYEykKK",,1,1,en,SottoCasa Pizzeria New York
11,"Taylor Washington, Esq.",@trwashingtonesq·2016年6月3日,2016-06-03,"I'm at Sottocasa Pizzeria - Harlem - @sottocasaharlem in New York, NY https://swarmapp.com/c/lw1CGSV7uRP",,,,en,SottoCasa Pizzeria New York
12,Stefania Fratta,@StefaniaFratta·2016年5月16日,2016-05-16,Buonappetito  #pizza #brooklyn #NewYork #AmericanDays @ Sottocasa Pizzeria - Boerum Hill https://instagram.com/p/BFe0r7GGA93/,,,,it,SottoCasa Pizzeria New York
13,Stephanie Redhead,@stephanidr·2016年4月25日,2016-04-24,"I'm at Sottocasa Pizzeria - Harlem - @sottocasaharlem in New York, NY https://swarmapp.com/c/92X2jvISUMm",,,1,en,SottoCasa Pizzeria New York
14,New York Italians,@NewYorkItalians·2015年10月16日,2015-10-16,"Dear New York Italians,TOMORROW NIGHT WE WILL HAVE A BOARD MEETING at Pizzeria Sottocasa in Williamsburg to... http://fb.me/7LBLyPPNZ",,2,1,en,SottoCasa Pizzeria New York
15,Luca Vitiello,@worldtripsluca·2015年10月13日,2015-10-13,La vera pizza a #NewYork si mangia da @SottoCasaNYC  ;) http://viaggiandoconluca.it/dove-mangiare-a-new-york-pizzeria-sottocasa-e-la-storia-di-due-giovani-italiani/… #sottocasa #pizza #pizzeria #worldtripsluca @VivereNewYork,,5,4,it,SottoCasa Pizzeria New York
16,New York Italians,@NewYorkItalians·2015年9月30日,2015-09-30,"Ciao New York Italians !!!Our  NEWEST Partner SOTTOCASA PIZZERIA WILLIAMSBURG is opening in Williamsburg,... http://fb.me/4bkV5XAe5",,1,1,en,SottoCasa Pizzeria New York
17,Kerry Bindernagel,@burritosbubbly·2014年11月27日,2014-11-27,I'm thankful for New York pizza. #pizzaworldtour @ Sottocasa Pizzeria http://instagram.com/p/v5zZDziYKc/,,,,en,SottoCasa Pizzeria New York
18,NewYorkesi,@NewYorkesi_it·2013年12月31日,2013-12-31,Per chi è in città e vuole passare il capodanno con noi siamo tutti da Sottocasa Pizzeria con VIVERE New York!!... http://fb.me/6B7sP7YW3,,,,it,SottoCasa Pizzeria New York
19,New York Italians,@NewYorkItalians·2013年12月2日,2013-12-02,TOMBOLA Prizes donated by:New York MetsNIAFCamp ItaliaSottocasa PizzeriaArt by Marco GallottaBar Eolo... http://fb.me/2w6zzdTSV,,,,it,SottoCasa Pizzeria New York
20,Elisa,@ElisaC78·2013年10月6日,2013-10-06,@MaxGazze : trovata PIZZERIA SOTTOCASA a New York :) http://sottocasanyc.com,,,,it,SottoCasa Pizzeria New York
21,David Levine ,@davidelevine1·2013年8月23日,2013-08-23,#brooklyn #newyork #newyorkcity #nyc #sky #cities #ctxplr @ Sottocasa Pizzeria http://instagram.com/p/dVfprCG1M-/,,1,,it,SottoCasa Pizzeria New York
22,Luca Vitiello,@worldtripsluca·2012年12月5日,2012-12-05,"Dove mangiare a New York: pizzeria ""Sottocasa"" e la storia di due giovani italiani -seconda parte- http://worldtripsluca.altervista.org/dove-mangiare-a-new-york-pizzeria-sottocasa-e-la-storia-di-due-giovani-italiani-seconda-parte/…",,,,it,SottoCasa Pizzeria New York
23,Luca Vitiello,@worldtripsluca·2012年12月4日,2012-12-04,"Dove mangiare a New York: pizzeria ""Sottocasa"" e la storia di due giovani italiani http://fb.me/12fQtNjiz",,,,it,SottoCasa Pizzeria New York
24,Luca Vitiello,@worldtripsluca·2012年12月4日,2012-12-04,"Dove mangiare a New York: pizzeria ""Sottocasa"" e la storia di due giovani italiani http://worldtripsluca.altervista.org/dove-mangiare-a-new-york-pizzeria-sottocasa-e-la-storia-di-due-giovani-italiani/…",,,,it,SottoCasa Pizzeria New York
25,VoloGratis.org,@vologratis·2012年10月17日,2012-10-17,"Siete a #NewYork e avete voglia di un'ottima #pizza italiana?Andate da Sottocasa Pizzeria, noi ci siamo stati... http://fb.me/2akWeyqzW",,,,it,SottoCasa Pizzeria New York
26,VoloGratis.org,@vologratis·2012年9月16日,2012-09-16,Un'ottima Pizza mangiata alla Pizzeria Sottocasa di New York #instagram #pizza #brooklyn #cibo #food #USA #A http://instagr.am/p/PpYAsmwM31/,,1,,it,SottoCasa Pizzeria New York
27,VoloGratis.org,@vologratis·2012年9月16日,2012-09-16,Oggi vi auguro una buona cena con la foto di un'ottima pizza mangiata a New York presso la pizzeria Sottocasa!... http://fb.me/1YE8co8BC,1,,,it,SottoCasa Pizzeria New York
28,VoloGratis.org,@vologratis·2012年7月19日,2012-07-19,"A pochi giorni dal via vi presentiamo Sottocasa Pizzeria di #NewYork, il nuovissimo Partner del #weddingtour12! :) @SottoCasaNYC",,1,,it,SottoCasa Pizzeria New York
