,opinions
0,"New improved menu, lamb dish and nans excellent. Staff, especially Naz very attentive and service excellent. We look forward to our next visit."
1,Excellent place. Great atmosphere. Syed is a top man. Looked after us from start to finish and had chefs make us different dishes we wanted that weren’t on the menu. Will continue to come here. 2018 till now I’ve been visiting Bayleaf and I’ll be continuing! T.
2,Excellent restaurant and excellent service. Miz Mitra was a manager who served us kindly and gave us an excellent feeling. We will definitely return to this restaurant. Miz Mitra gave us 5 star service + one ❤️
3,"The food was the tastiest Indian food I’ve had, the depth of flavours was incredible. The staff were so attentive and explained the dishes to us, they have just put a new chicken dish on (street food) and it was lush. Didn’t come away as per normal Indian feeling sick and bloated from the excess oil. Come away agreeing we will go back."
4,Superb food; place immaculate; owner & staff extremely helpful and caring. Stars galore. Going back.
5,"The food was excellent. Excellent service—thanks, Naz. First time here, but surely not the last time I eat out"
6,"As usual, I can’t give any less than 5 stars and would give more if I could, lovely food but above an beyond service."
7,Lovely authentic food and wonderful service from very charming staff. Very helpful with choices and Syaed gave that personal touch to make it special.
8,"Excellent, authentic food. We thoroughly enjoyed every moment of our meal. Syed was our server and helped us chose food that would suit our preferences and was so friendly and lovely to talk to. Thank you Bayleaf, this was our first visit and definitely won’t be the last."
9,"The place was so well presented and the staff were extremely helpful and friendly. Mitra was impressive with her professional drink pouring skills. The food was absolutely delicious, I would highly recommend this place to everyone."
10,Excellent customer service! Special thanks to Mitra for serving us liked the ambience and smiles on every staff here! Fantastic experience
11,"Amazing service from the start, stunning show-stopping appetizers, and the most delectable main courses. Definitely returning"
12,"We had a great time, lovely tasty well cooked and prepared meal.  Thanks Naz and the lady who I think is from Iran"
13,"Very friendly Staff, Mitra was lovely. Food was presented very well (especially the Momo) and tasted excellent. Would definitely recommend!"
14,"Excellent food and service! All round fantastic experience, setting the bar for Indian cuisine, would recommend."
15,"The most amazing curry in London! Food is always fresh and delicious. Excellent hospitality and service. 10/10, highly recommend!"
16,"Amazing experience, excellent food. We were served by lovely Mitra who had an extensive knowledge about the menu, polite and kind .Thank bay leaf restaurant:)"
17,The food was really amazing. The service was next level good. We’ve really enjoyed our dinner together. Especially Mitra who works there. Thanks again!
