,opinions
0,My husband and I enjoyed with small restaurant immensely. The food was delicious and the service friendly.
1,Everything was delicious. We went there for lunch without a reservation. They were very accommodating and found us a table. I would definitely have a reservation next time. I highly recommend this restaurant.
2,"I was privileged to eat dinner here after the amazing concierge at my hotel secured me a reservation. This is the number 5 restaurant in Paris on TripAdvisor. It is a small restaurant that is almost always fully booked.  Not only did I have a table, but I was seated at the chef's table about 6 feet from the open kitchen. It was an amazing experience to watch my food and everyone else's being prepared by the chef and his assistant.  The menu is a little limited but the food that is offered is excellent. It is perfectly portioned and prepared and presented like a work of art. So much attention to detail. I was at the restaurant for almost 2 hours with an unobstructed view of the kitchen. Every plate that I saw was prepared the same. It's as close as perfection as a human can get.  When I asked to substitute the mashed potatoes that accompany the turbot (fish), the waiter and chef said no problem. Not all Paris restaurants allow substitutions. They replaced it with mashed carrots.  Just like the food, the service was excellent. The menu had an English translation. Waiter was fluent or near-fluent in English, which is seldom the case in Paris. The overall vibe is a little more casual. Paper napkins, casual clothes, no tablecloths. It's not your stereotypical upscale Parisian bistro or cafe. But the service was just as good with the facade that often comes with fine dining.  The wine list was extensive but a little expensive. I stuck to the chablis offered by the glass.  All things considered, Bistrot Instinct was excellent. I can see why it is number five on TripAdvisor. Not only would I return, but I would highly recommend it."
3,"We enjoyed a 3 course meal with nice accompanying wines. For a michelin star restaurant the sizes of the courses were about larger than we are normally used to, but nothing to complain as it was lovely. Would definitely recommend"
4,"We now know why this restaurant is so well rated. The welcome was warm and even though we were a few minutes early for our noon reservation, we were invited in and seated. The food was fantastic and we enjoyed watching the activity in the kitchen from our upstairs perch. Our mushroom starter, our pollack main and creme brûlée dessert were imaginatively plated and tasted as good as they looked. Next trip to Paris, this restaurant will be in our “must visit” list."
5,"We chose to return a week after our initial visit because it had been so wonderful. We mistakenly believed that we had a reservation through our server, but it turned out that despite receiving a sizable tip, she had not done so. As a result, there was nowhere for us to sit outside, and we opted not to sit in a stuffy, crowded restaurant."
6,"One of the best The food is tasty and unique, All the Dishes are very good looking excellent service"
7,Great food and solicitous servers made this a great lunch. We wish them continued success. It was a delicious spot at the top of the Marais.
8,"My wife, daughter and I chose this restaurant for our first night in Paris based on the great TripAdvisor reviews. We had a very enjoyable meal. The food was very tasty and creative, the service was excellent with each dish described in detail, and the prices made the whole experience one of rare value. We would definitely recommend."
9,"Wow wow wow! A small, cozy bistro with really polite and friendly hosts, and AMAZING food! Will be coming back here many times."
10,The food was amazing with each dish so beautifully prepared and explained by the brilliant staff. The restaurant is small and we had the benefit of overlooking the kitchen so we could see the care and attention the team were giving to our meal.
11,"A really wonderful experience at Bistrot Instinct. Dinner and wine choices, and service throughout, exceptional. Several choices made by group and all superb, including wine, appetizers and desserts. Cozy ambience inside; likewise, a nice area in the 3rd, near Place de Republique and Temple."
12,Truly worth going out of your way for. Every dish sublime - from the blended pate to the perfect beef tataki to the roasted figs dessert. Service friendly and impeccable. Will definitely return.
13,"Found restaurant on TripAdvisor. Located in Le Marais near Republic metro. Warm welcome, lovely modern restaurant with fantastic waiters. This isn't just dinner, it's a dining experience! Offered choice of tables, we were upstairs with view of open kitchen- amazing! Had delicious cocktails to start, shared a houmous dish served with the freshest bread. Veal rump for the main with artichoke served 2 ways- you have to try it! Dessert was blood orange pavlova with meringue & cream and sorbet. Wine was available both by bottle or glass. We paired the main with a Côte de Rhône, 100% syrah. Whole experience cost less than €150, which was amazing value for such a fabulous experience!"
14,"Totally wonderful dining experience! So much more than just dinner. Shown upstairs on arrival and allowed to pick our table. We selected one with a view of the open kitchen. Fabulous cocktails to start with. Then the houmous starter and the veal rump for main. Food was incredible. Also, the waiters interact with just the right amount to explain the dishes composition. Finished off with the blood orange Pavlova and a Calvados! Vibrant but lovely ambiance makes this place one of the best experiences we've ever had. Bravo!"
