,opinions
0,wow just an amazing experience the best indian we have ever had staff so welcoming. recommend everything the mango lassi the carrot cake dessert the lamb chops the chilli paneer chicken lollipops the prawn dishes the cauliflower. pomegranate raita. everything was just wonderful. thanks so much for fitting us in xx
1,"The food was excellent, felt, and tasted like authentic. The place was cosy, clean and quite posh. Even the toilets had a nice aesthetic. We even got a drink on the house."
2,"Had a wonderful meal here. The service was exceptional, our waitress was so friendly and smiley she really made our evening more fun! The food was incredible, would highly recommend."
3,"Really nice restaurant with wonderful floral decor, helpful and friendly staffs. Brilliant tapas concept and so much choice. Really tasty food"
4,Must come here when your in London The food the service everything excellent Thank you bonoo for the experience
5,"Second visit here and absolutely blown away again! Amazing and innovative Food, service and all staff in general 10/10!"
6,"Lovely food, lovely ambience and lovely service. We’re lucky to have this gem so close to home and will be back!"
7,We ordered 7 dishes and two bread for 3 people. Every dish is full of surprises of abundant flavors and textures.
8,So nice restaurant！The manager is sooo kind～ India food is amazing here where I do have a great experience！ I would definitely come back here very soon❤️
9,"Amazing food would recommend The drinks were huge, the food was sensual and delightful and the pricing is reasonable for the portion size and wuality"
10,"Just got back to our hotel and wow… I love curry. I’ve had hundreds of curries in many towns, many countries… tonight was a new experience. My first time here. Bonoo is in my top favourite two Indian restaurants from the many I have been. From the food, to the staff, to the atmosphere - it was honestly faultless. The chicken lollipops is a MUST!!!! And was my favourite dish out of all the others despite the fact each dish had a perfect blend of flavours. The attention to detail, thanks to the chefs. The manager was fantastic, a very kind gentleman who evidently knows exactly what it means to be a team leader and ensure all is up to the highest standard. Now - a special mention to my favourite barman! Thank you for the Baileys, chocolate orange to be precise tasty! A lovely man.  Thank you! We will be back."
11,I had a very nice time . The staff very friendly . One of my favourite places to go when I in London
12,"Che amazing guy! Thank you for the good food and the conversation. Nice place, full of flowers and nice food."
13,"Lsecodn time here. Lovely customer service, Che looked after our table. Delicious food. Nice cinnamon chai."
14,Amazing food and amazing staff! Me and my family had a great time and we will definitely be going again!
15,"I am happy to find this local restaurant. Staff are nice, friendly and welcoming. Atmosphere is nice and very clean. Food are absolutely delicious, full of flavour and balanced spices. Definitely recommend this place and will back again."
16,"We visited for date night after reading lots of positive reviews. And Bonoo exceeded our expectations! The space is pretty and cosy, the staff are friendly, and the food is incredible. We had three vegetarian dishes and they were each delicious - the best Indian food I've eaten in a long time. We'll be back!"
17,Lovely setting and food was amazing. We ordered 11 different dishes plus dessert and every single one was delicious. Staff were very helpful and polite. We travelled from essex having read the reviews and we were definitely not disappointed. Will be coming again.
18,"Delicious food, especially the lollipop chicken and truffle naan, terrific. Very friendly staff, perfect services."
19,"FLABBERGASTED ! wauw, wonderful great combine flavour dishes. THE Best Indian Cuisine we've ever had. Definitely coming back!! Greets, Koco Bistro"
20,Really hospitable restaurant with servers happy to help with recommendations. These were all great and we would definitely agree that the lamb cutlets and the cauliflower are must haves!
21,"Had wanted to come here for ages. The place has a lovely vibe and great decor. There is additional seating downstairs which is where we sat. We ordered a host of Indian tapas - all of which were decent but the chicken masala wings were my fave. Though i would say the food is alright, the service is absolutely outstanding! Such friendly waiting staff and they offer you a complimentary Bailey's or Brandy after your meal."
22,"Gorgeous food, beautiful décor and a great atmosphere. Staff lovely and attentive. Excellent for vegans too! Perfect night out."
23,"This place is an absolute gem. Had dinner and drinks here with a friend and so glad we had our catch up here. Food was delicious, cocktails were yummy and the service was spot on! Everyone was so warm and friendly. We were served by a very fun loving and bubbly Dimple. Definitely visiting again and again! Thank you Bonoo and Dimple!"
24,"Fantastic ambience, friendly staff and great food. The new favourite local restaurant. Food served quickly and presented beautifully"
25,"Fabulous food , service and atmosphere. Definitely coming back . My favourite was chicken lollipops . My vegan friend also had good selection available"
26,Food and service were excellent. Highly recommend the aloo tiki chaat and the cauliflower - just amazing. Will be back.
27,"I recently moved to the area, and exploring places around. I have been in many Indian restaurants and for 100% this place one of the best !!! I have had garlic Nan it’s best which I ever had, butter chicken was so good as well, also I highly recommend to try mango salad !!! All staff nice and very attentive, I was served by lovely lady Dimple and very pleased !!! Would definitely come back again soon !!"
28,"The place is very nice, the food excellent , especially coconut fish curry and truffle naan, lovely staff, Dimple was very helpful and provided wonderful service."
29,A varied selection of tapas including vegetarian options and the service was very friendly. Ordered 5 tapas and naan for 4 people.
30,Our lovely waitress Dimple advised us on the menu and we had an absolutely delicious meal. Highlights were chilli paneer and crispy okra with a spicy mint dip but every dish was superb. It is a cutely kitsch spot for a romantic or group meal!
31,"One simple word “OUTSTANDING” - no other word!! Dimple our waitress just a lovely, bubbly person. Thank you."
32,"I cannot praise this restaurant enough to do it justice. It is an absolute gem! The variety of dishes is fantastic and the quality and flavour are incredible. On top of that, the staff are super-friendly and the service is fast and efficient but never rushed. I honestly cannot find anything negative to say. My family is also gluten and dairy free and every dish in the menu has all the allergens marked clearly, making it super easy to select many dishes that work for them. In summary, I consider this one of the best restaurants in London and will be coming back often."
33,"perfect service and delicious food! definitely recommend coming here, was essentially a flawless experience."
34,Lovely Indian tapas served in a nice settings. My and 5 pals came and dined. The cauliflower was nice and so was the butter chicken
35,"I am so excited to say, just real and amazing test. This is my first time having Indian food but this had gonna be best. I came from USA. I never had amazing prawns curry and rice. The best part is service. Thank you bonoo and team✌️"
36,Amazing food and amazing service. Took my boyfriend here for his first ever curry and he loved it. Very authentic food and wonderful atmosphere. We even received a complimentary drink at the end!
37,Fantastic service and great food. Went on a date with my girlfriend and everything we tasted was some of the best Indian food I have had.
38,"This place is wholesome, whilst having a glamorous and gentle style and atmosphere. The floral decorations create a beautiful, loving space. The service is exceptional and with a smile - Attentive, knowledgeable, graceful. The food is exquisite. Deep flavours, complex, traditional, cooked and presented wonderfully. Most importantly they have an array of vegan options! I feel a sense of nourishment and self-love upon tasting this food. No wonder it is rated as one of the best places in London."
39,The food and service was incredible. It’s definitely the best restaurant in the local area and probably one of the best in London. Staff exceptional. We were served by Che. Great for tourists and my mother was very impressed.
