,opinions
0,"Our server was Ibrahim and he was amazing! Attentive, knowledgeable and very responsive! Food was good - next time I will ask them to use less black pepper on my steak but other than that it was very good."
1,"My wife and I went for my birthday on Friday night. We were seated by the window. Our waitress was very solicitous and professional. The service in general was professional, helpful and understated. More importantly, the food was without exception very good. We had the octopus as an appetizer. It was very well-prepared, and it came with a tasty, spicy plate of vegetables. The bread given to us was also tasty -- traditional French baguette of high quality. We ordered two entrees: a fish dish and a heaping pile of mussels. Both were very good. The fish was not oily, and the mussels were delicious and cooked with great restraint. Neither had too much butter or fat. With the mussels, we received some of the best fries I've had in years. Altogether: excellent! My wife ordered a glass of white wine, and I had a cocktail. Both were fine. When we were leaving, they brought us two gifts as we had indicated that it was my birthday. One was a recipe book, and the other was a pop-up toy! The staff was incredibly warm, and they made it a wonderful evening. Two caveats: the restaurant can be quite loud, and it is expensive. But it was worth it. New York is full of mediocre bistros and brasseries. This was anything but. The people running Boucherie know what they're doing."
2,"We were very pleased with the delicious food the evening my husband and I visited Boucherie Union Square. I had the filet and my husband had the lamb chops; both were excellent! We also enjoyed the desserts, however we felt the entrees were definitely the showstoppers. Prices seemed appropriate for the quality of the food we were served.  All in all, we loved Boucherie! I highly recommend!"
3,Boucherie Union square is a beautiful restaurant however it is really lacking good waiters I had dinner there last night with a group of friends. The waiter was bad first he didn’t offer us any appetizers went straight to the entrées then disappeared for like thirty minutes we sat at the table looking at each other while we waited for or main course to arrive the food was amazing I just wish I had the full experience instead half. And the sad part is the person that invited use is the mother of the chef so you would have thought they would have given us a waiter that had at least a little more training or experience.
4,From the begonia was excelente the Service. Gaudí was a really nice anfrition. Everithing was good. The muscles were amazing i have never tasted before. O apreciarte. Thank you so much
5,"We dined at Boucherie Union Square during a recent trip to NYC. The restaurant is very beautiful inside and was decorated nicely for Christmas. The service was fantastic (We had Ibrahim, who was very thoughtful and attentive. He even took our photo in front of the tree for us as we were leaving). The food was very good and came out promptly. The prices are, I would say, on par with other steak house type restaurants in NYC. Overall I wouldn’t hesitate to recommend it to others."
6,Lovely ambience and delicious food. Highly recommend this restaurant for a quiet evening with a great meal. The escargot were wonderful
7,Excellent service good management nice and polite people .. i will definitely visit again !! I enjoyed my time thank you for everything.
8,"I hope to visit this beautiful place, It has a good service from its employees. Probably the best carnivore in the world"
9,The raw bar is mediocre. The steak is good. But fries are cold and peppercorn sauce tastes like bisque soup. Not the best. And double the price of a steak elsewhere. Yes its fancy. But if the food sucks?
10,"We are here in NYC for two days and have known Namik for years so the choice to come here for dinner was an easy one! Everything was so perfect that we had dinner here two nights in a row. Between our two visits, we had steak, fish, pasta, desserts, and drinks! Namik always provides the best service and the entire staff was so welcoming. The space is very neat, and decorated beautifully for the holidays. We will most definitely be back during our next NYC trip!"
11,The service and the atmosphere was great. Boucherie Union Square has beautiful holiday decorations. The food was delicious food. The Profiteroles was an amazing dessert.
12,"I went to this restaurant for Thanksgiving and the food was amazing. The octopus, steak, and Turkey were all cooked to perfection. The service was also top notch. The host found us a different table in no time. And out waiter Gaudí, was super attentive and readily available to us whenever we needed anything. I would highly recommend and will definitely be back."
13,Wonderful spot in the theater district. Crowded but to be expected before showtime. Food was great and promptly served.
14,"The Croque Monsieur was the best I have ever tasted. It was so nice to have the salad served with it, too."
15,"Great food, great staff the interior is to die for!! Super attentive and friendly, the vibe there is really calm and everyone around me was enjoying the food so much all I heard were hmm´s of approvals with every bite they took!"
16,Honestly the meal itself was probably closer to three stars but the chocolate dessert alone bumped this place up in my book. Excellent.
17,He is the best. The best of the best. He couldn’t be better. I love this place. Yum yum yum yum yum yum yum tim yum yum time tim tjmtnrennensns
18,From the moment we arrived we got good costumer service and very attentive. I really recommend Javier V. as your server. Good onion soup and good crème brûlée!!!
19,Pre booked as a 30th wedding anniversary treat. Alma was our waitress. Great service and delicious food -the beef bourgignon was very tender and the steak was cooked to perfection. Delicious profiteroles to finish. A lovely treat .
20,Third time dining here and it never disappoints. Amazing food and amazing service. Thank you to our server Namik!!
21,Excellent place. We were placed in a cosy corner. Very good service. The waiter remembered exactly who ordered what. The food was very delicious. The filet mignon was perfect. Just a little loud when the place is full and rather pricy. But all in all a very good experience. We would come any time back.
22,The food was incredible. Our server Gaudi was extremely nice and helpful! Would definitely recommend!! Planning to come back soon!
23,Had the most amazing meal here with a good friend on a Sunday night. Incredible ambiance and even better food. Wagyu burger is a standout! Couldn’t recommend more!
24,"Gaudí served us really well, the burger was insanely good! Super juicy and amazing fries. Top recommendation"
25,Great food and even better service!! Great experience and best server Akin! Will totally be back 100/10!
26,"Truly wonderful all around. The food was spectacular and the drinks were too. Service was fast and courteous. We had two or three small plates and some drinks and the price was par for the area, not exorbitant. Would recommend to anyone and I will definitely be back. 5 stars aren’t enough."
27,"we had a very enjoyable dinner, the staff is very interested, the ambiance is very nice Thanks for everything"
28,"Good food and atmosphere. Service was great. Lisa, out llr server, was attentative and helpful. We had the chicken and the veal with a side of celery gratin (amazing)"
29,"Gaudí was nice, he was very attentive and friendly, has a lot of knowledge about the menu, we have an amazing time with the family here, we will back"
30,We had a great time at this restaurant; the food was great and our server Gaudi was amazing. The steak frites and pistachio dessert are life changing!
31,The food was great. We had the steak frites and the truffle ravioli and they were both great. Great ambiance. Our waiter Gaudí was amazing.
32,Had a very lovely meal with my partner and some colleagues. The food was excellent and the service was exactly what we wanted. They were friendly and helpful yet also gave us space to just enjoy each other's company. Will definitely be back!
33,"Dinner with friends. Service was prompt, courteous and friendly. My Mussels and frites was exquisite. Extensive wine list, and wonderful menu."
34,"La grande Boucherie was the full authentic French experience, having been to France before it felt like being back! The food was delicious I ordered the Wagyu burger which was cooked so well I was so happy, the steak tartare was delectable and the cocktails were the perfect addition to a splendid meal. I recommend this place for any occasion, a meal and an unforgettable experience."
35,Delicious food. Although a little pricey. We had a nice brunch on Saturday and would definitely go back. Maybe next time try dinner.
36,We came to Boucherie after a long day from the office and immediately after getting to the restaurant they sat us down with no reservation which was amazing especially on a Friday evening. We had a waiter named Gaudi who took care of us all night. We took his advice on the steak for two and the sides and it didn’t disappoint! Ask for Gaudi!! When coming here!! Truly the best experience!
37,"Service was Excellent , our waiter Gaudi did an incredible job and my husband and I were very much satisfied! Will come back & recommend. ( Ask for Gaudi ) !!!"
38,Only perfection Staff was very friendly and kind. Food was mouthwatering I just couldnt stop myself eating. Dear Hüseyin Sezgin done very well job.
39,"I just had the disgruntled pleasure of dining at Boucherie located on Park Avenue South. From the minute we set foot in the restaurant, we were greeted with warm smiles and seated within seconds even though it was a busy night. My party was attended to by Oscar who was attentive and guided out choices. We were treated with kindness and respect. The delicious and palate pleasing food was just the icing on the cake. We had Oysters, Escargots, Onion Soup, Duck and much more. This was one of the best experiences I had on this trip to NYC. To cap off the evening, the manager, Hussein, came to our table and engaged us in a lovely conversation and gave us a gift. FWIW, we don’t always get treated with respect but OScar and Hussein went above and beyond. We will not only come back but we will bring our friends. Thank you, Boucherie and thank you, Hussein and Oscar!! Run to this restaurant."
40,"My friends from NYC recommended me this restaurant and I’ve been impressed how delicious it was! The staff was super friendly and the food très bien, merci"
41,"From outdoor dining to indoor, the experience in Boucherie Union Square is super Parisian. Featuring $17 for half a dozen oysters every day, YOU must try their Escargot; it's also an INSTAGRAM-friendly place. I can't wait to go back"
42,"Bestttttt!!!We had an excellent dinner as a family. Everything was very good. The environment is good, the staff is caring and friendly. thanks"
43,It was great family dinner we just loved the moules and steak.Very warmly staff and lovely ambiance like in paris
44,Just an amazing place to eat. Professional team and very good ambience. Food is tasty service is very good. Definitely we will be back
45,"Got the filet mignon which was absolutely incredible with the truffle butter sauce. Also got the spinach, oysters, and ratatouille which were also amazing! Ended the night with the crème brûlée and profiteroles. Ambiance was perfect for a night out with some friends to start the week. Thanks to Michael for the amazing service!"
46,Michael was our server who was accommodating and warm and provided great recommendations. The food was all fantastic especially the profiteroles and mussels. They have a great special on their oysters too!
47,"We started with oysters, started a few sides and did steaks and mussels. Ended with creme brulee and profiteroles. Everything were amazing and had a great time! Would come back again for sure!"
48,"We had a lovely dinner. The oysters were very fresh and the steak frites was delicious. Our server, Gaudi, was knowledgeable about the wine menu and attentive to the needs of the table."
49,"We had a wonderful evening at Boucherie, the food is soooo good. Ate with my husband and our 2 adult daughters ( one is vegetarian) and we all had great food, My husband had the Beef Bourginon which he said was the best meal he’s ever had! Everything was excellent, the food, service, atmosphere and drinks. If you’re looking for a special place to eat out during your trip you can’t go wrong here. Was expensive but worth it for a very special evening."
50,"Wait staff was extremely friendly and welcoming. Mussels and mushroom ravioli were my favorite! For dessert, I highly highly recommend the creme brûlée, so silky and smooth! The cocktails were also pretty good as well. Would definitely recommend for others and would come back again!"
51,Came here for my friends birthday and we got the crème brûlée for dessert. Super creamy and delicious. One of the best I’ve had.
52,A friend and I were craving a crème brûlée dessert. We stopped in and were greeted by kind staff. Desserts were delicious and the ambiance is unmatched. :)
53,"Words almost can't convey just how much we enjoyed our trip. The food was outstanding and the restaurant was gorgeous-what a treat! Customer service is very important to us, and we were not disappointed. Our server was attentive, funny and very knowledgable. We visit NYC fairly regularly and won't hesitate to return on our next trip."
54,"We loved the atmosphere, the food, and the drinks. Though it’s a bit pricy, we came in expecting that and ordered accordingly. Everything was delicious and we are excited to come back. Merci!"
55,Amazing espresso martini and duck confit. Service was fast and staff were friendly. Great atmosphere and in the heart of union square.
56,If you want a good aperol spritz (my favorite drink) come here! The decor is absolutely stunning and the service is incredibly attentive. I'll absolutely be coming back!!
