,opinions
0,"05282022 West Village, Manhattan, New York, NY USA#klong #thaitayan #travel #lifestyle #westvillage #manhattan #newyork #ny #newyorkcity #nyc #usa @ Boucherie West Village"
1,Now Open: Meat Us at @boucherienyc in the West Village #ipsnews #boucherie #dining #nyc #newyorkcity #westvillage http://fb.me/8w71zIdU6
2,"Terrible place for anyone with food allergies. I have a gluten allergy, and after the server assured me my food would be ok for me to eat, it still had gluten in it and I got very sick. DO NOT eat here if you have an allergy!!!"
3,"Took my mum for a last night in NYC dinner based on the reviews.  Service so incredible slow. Lots of staff but it’s like they don’t know what they are doing? One pours water and you give them a wine order and 15 minutes later someone different comes and asks what wine you wanted then someone else’s asks if you have your wine then chases someone different to give the wine.  Food was ok, no as amazing as we were expecting based on the reviews but it was OK.  Service was the real let down. No check back on if food was ok or if we needed anything, our empty plates were left with us for nearly an hour it was only when we gathered them up to give more space on the table someone came to take them.  No one offered deserts, more drinks, coffee etc. Asked for the bill, paid and our waiter stood there as we left and didn’t even say goodbye despite the fact we still left him a tip, truly bad service and some staff really letting the establishment down."
4,"My fiancé and I visited Boucherie at the start of January on our city break. I was looking forward to it as we had lunch in Petit Boucherie when we were in the city last summer and it was great. Having flown from London we were both really tired and needed a pick me up and boy did this meal deliver. We had the French onion soup to start which I have to say is probably one of the tastiest things I have ever consumed. I burned my mouth as I couldn’t wait to eat it (totally worth it). We both had the steak frites cooked medium rare, accompanied by a glass of Bordeaux recommended by our friendly server. The steak was spot on cooked to perfection. We washed it all down with a couple of la vie en rose cocktails and took in the decor and glamorous vibes. Up there with the best in the west village. We try not to repeat restaurants while in the city as there are so many amazing places to eat but we will most definitely return when we are back in NYC."
5,"The local cuisine was fantastic and authentic, just how I loved it in Italy. The service was top-notch. Our experience was made wonderful by the employees and management. Without a doubt, we'll return!"
6,"Dinner for. Family of four. Two of us had steaks which were perfect, the other had the duck confit and the burger, of which they both enjoyed. The users of Letitia salad, truffle fries and purée potato accompanied the mains well. Wine list is extensive but reasonably price. The dining room is beautiful and has a great ambience. Service was efficient and helpful. Would definitely go here again."
7,"We'd pre-booked this Restaurant from the UK using OpenTable having done so much research using Trip Advisor that we were really looking forward to our visit. The only issue for us was what we'd describe as a somewhat 'Edgy Neighbourhood', maybe I'm going soft but forewarned etc. Anyway this was 'An Oasis' absolutely rocking with laughter & merriment from a pretty full restaurant. The Restaurant is a typical French Brasserie with the most fantastic Bar and hot grille producing perfectly cooked steaks. Serving Staff were attentive, helpful & friendly. I suppose the only 'Eye Watering Moment' on Xmas Day was pondering how the 'Boucherie' could justify a Butcher's Platter @ $315. A great choice of restaurant on Xmas Day & really happy with our choice of restaurant & food choices. Superb Xmas Day Meal. Atmosphere Service"
8,"My family and I visited here today, and it was fantastic!! I came here after a friend recommended it to me. Wow"
9,Everything was amazing! The onion soup and the duck was just perfect! So far one of the best meals that I had before! All the people and the service is good!
10,"Anniversary dinner made extra special by the staff during Christmas week. We asked for a cozy corner table away from the crowd and the restaurant seated us upstairs which was perfect! Service and food were outstanding. We started with salads and had the mussels and ribeye. Ordered dessert which was served with a special “happy anniversary” chocolate on top. Very relaxing, romantic evening. Thank you Boucherie!"
11,"My favorite restaurant at NYC love the porter house and the dessert, my waiter was the best, perfcet spot for a date."
