,opinions
0,"Every time we visit our daughter at The New School we try to have dinner here. The service is excellent ( fast too!), the food never disappoints, and the tiramisu is not to be missed. We love this place."
1,"I had the absolute best dining experience at Da Andrea. The food was perfection: every dish we ordered was absolutely delicious. My favorite was the grilled octopus which was crispy yet melted in your mouth. I was also incredibly impressed by the quality of service. Our server Carlos was so attentive to our table. Our wine glasses were always filled, our dirty dishes were swept away immediately, and every employee was friendly and courteous. We sat on the patio and enjoyed the ambience of a warm fall evening in NYC. It was unforgettable and I can't wait to go back next time I'm in town. Don't miss this place!"
2,Nice place to eat at any time. Pasta lovers will love it. They have a lot of pasta on their menu. Service was great. Offered specials throughout the day.
3,"Had an evening reservation on Christmas night. Food was nothing to write home about. Service was average. Tool a while to get our main courses. Prices were a bit high for the size plates that we got, which were not exactly abbondante."
4,"I'm giving this one a five because we experienced great food and excellent service in a gorgeous setting. That's enough for me~ First, this review is based on a Sunday brunch experience. Second, we ate in the outside heated space, which one sees all over the city now. It was beautifully decorated and, although a very cold day, we were totally comfortable. I had the lobster benedict, which was two perfectly prepared eggs on a lobster ""cake"" and a really good hollandaise. Others had the polenta and eggs and two different pastas, which I tasted. The truffle pasta was amazing. We were immediately brought a basket of wonderful bread when we sat down and the service was attentive throughout. There were very few people sitting in the outdoor area and more arrived as time went by, but it never felt crowded. I don't know what it's like inside. The decor is gorgeous. I also loved that our waiter was really Italian and I could speak to him in Italian. Buonissimo!"
5,"Geared towards tourists. Food good but overall experience was very rushed. We arrived 5 mins before booking but were not allowed to wait inside despite very cold December evening. Tables very squashed and felt pressured to order and finish quickly. A ‘get ‘em in, get ‘em out’ mentality. When chose not to leave service charge head waiter came over and aggressively questioned us about our decision. Such a shame as meal pretty good."
6,"Great Italian while visiting New York. Both the pasta dishes my husband and I ate were fantastic and my son’s filet was great! The atmosphere just wonderful. Walking up the the flower covered sidewalk was magical. Such a beautiful touch. Our waiter was a little slow at times, but overall did fine. We would definitely go back again!"
7,"I was there with friends last Friday for dinner and the ambiance, food, and staffs were amazing. I had the tuna tartare for the apps, pappardelle, and chicken. Pappardelle was the best for me with extra extra cheese. Shoutout to Sarah for accommodating us, she is the bestest! Shoutout to Claudia as well, our server, and Carlos from the bar for giving us the best experience. I’d surely comeback!"
8,"Everything was perfect. I had the spaghetti alla carbonate that I truly recommend. River, his co-workers and manager were absolutely fantastic! I'll definitely come back. PS: I'm a cheese lover so I had extra extra extra cheese^^"
9,"When I see the reviews from people saying they had a spectacular meal here I have to wonder if we were in the same restaurant. I would not go so far as to say the food is horrible; I would, however, go so far as to say it was underwhelming. The best dish was the grilled vegetable appetizer, which had a lovely presentation and great depth of flavor. The grilled jumbo shrimp were average in flavor and lacked the grill flavor one is looking for (no grill marks could actually be detected). The saffron sauce for the shrimp was flavorless and did nothing to enhance the shrimp, since anything flavorless is incapable of enhancing what it is paired with. The puff pastry the shrimp were sitting atop was another flavorless addition to the plate - perhaps a smidge of polenta or risotto or truffled mashed potato would be a better base for the shrimp. The Caesar salad was decent but certainly nothing to brag about, and the cutlet specials two of my friends had were okay but lacked finesse in their presentation. Service was on the slow side but not horrible. As a frequent visitor to NYC I can't see dining here again since there are so many other options."
10,True authentic Italian food. Nice selection of pastas and appetizers. Friendly service and a beautifully decorated patio.
11,"I dined in at this restaurant for the first time last Thursday and I had an outstanding experience! From the moment I walked in until the minute I left I received great service. The wait time was very short to be seated, and the waiter continuously made sure I had everything I needed the entire time. My food was delicious, and the portion size was good. I will definitely be returning!"
