,opinions
0,Great antipasti and super savory pizzas. Fast and very hospital service. Definitely a must visit for all true Italian pizza lovers.
1,"I have to admit that was one of my favorite moments in Paris this time. Ambient is cozy, inviting. Waiter was extremely nice and helpful. But pizza.. That’s just something else, simply amazing. From the dough until that last piece of pistachios simply brilliant! Pure magic! Would recommend even to my worst enemy!  Well done and keep up the good work"
2,I've never ever ever tasted pizza like that. I would take a flight just to enjoy that meal again. Incredible.
3,"One of the best pizzas we've ever had, served in a small, intimate restaurant. We got a table at the last minute, which was greatly appreciated."
4,"We loved it, the vibe the pizza, everything was perfect, staff was very nice and polite we loved everything"
5,"Truth be told, I was skeptical going to a restaurant that was #1 on TripAdvisor. But this place really does not disappoint. The Pizza really is amazing, the ambiance is great, and the staff is nice."
6,Great pizza worth a visit original authentic good quality. Would definitely return again very good job
7,"Very small place, very good pizza, not the best I’ve ever had, but definitely top 10. Worth going to!"
8,"Fantastic restaurant! The homemade tiramisu is excellent, and the pizza is among the greatest I've ever had. The staff is in great spirits. 100% endorse!"
9,"Good pizza en antipasta. It was really busy andantes the main course and espresso we felt a bit rushed to leave so new guests could sit at our table. If you are looking for a place where you can also enjoy some digestieve or more than 1 coffee after diner, it is better to grab the food and move somewhere else to continue the evening"
10,"Excelent restaurant! One of the best pizzas I’ve ever tasted, homemade tiramisu is delicious. Staff has an awesome mood. 100% recommend!"
11,"Everything was amazing, the coziness of the place, the service, the quality of the food, the smell… I am sad I only booked for one time. It’s one of the best pizzas I’ve ever had."
12,"Very friendly, great service, the food is delicious. They’re able to speak English. Good vibe in the restaurant and road is lively."
13,Delicious pizza in an inviting atmosphere. Worth going out of your way for this gem. We especially enjoyed the signature pizza: Da Giuseppe.
14,"Fresh, tasty ingredients from starters to pizzas and delicious homemade tiramisu to finish. Intimate, friendly atmosphere with great staff. Also great wine. Thoroughly enjoyable evening!"
15,"Simple & effective. Great quality food, the pizza was to die for. I can’t imagine a better pizza in Paris and I’ve eaten plenty pizzas in Italy. The owner is a lovely guy who did his absolutely best to accommodate us. 5/5 for me."
16,"My wife and I had reservations and was unable to make it in time and they accommodated us with a later one. The food was absolutely amazing, although don’t expect a full Italian menu, it’s mostly pizza, still amazing though. You start out placing your order on a tablet as opposed to the server taking your order, which was a new experience for us. The waitress brought over our food and was extremely helpful when it came to suggestions. We started with the fresh mozzarella and tomato which was the creamiest fresh mozzarella that we’ve ever eaten. My wife and I both had margharita DOP pizza, hers with red onions and grilled peppers and I had the margharita with prosciutto on top. We also shared a calzone. The food was amazing. We highly recommend this restaurant if you’re looking for pizza in Paris."
17,1) amazing pizza 2) amazing atmosphere 3) highly recommended 4) next time we come back here we hope you’ll have a bigger restaurant because your clientele would be coming in more and more.
18,"Cosy atmosphere, friendly staff, natural ingredients/food, efficient ordering-process, excellent reservation handling"
19,Great food and atmosphere at Da Giuseppe. The owner was a nice host and even served me an empty plate to help finish my wifes pizza;)
20,I will never see myself eating another comfortable pizza at an easy pizza place at home. The bread was consistent and ingredients was f*cking perfect. Recommended here.
21,"Wonderful authentic fresh Italian food. Ease of service and a charming host. Very cosy space, with a chilled atmosphere and relaxed music. They deserve to be recognised as top restaurant on trip advisor in Paris! You do need to book as only six tables!"
22,Just a great experience. Good pizza and decent wine in a cozy environment. Well recommended for everyone.
23,Amazing food and service. Highly recommend. we had pizza and tiramisu for dessert and everything was fantastic. rating of number one restaurant in Paris is highly deserved.
24,Small and beautiful! Fabulous pizza and wonderful hospitality. We had a lovely family dinner at Da Giuseppe. Well recommended.
25,Best pizza I’ve had. Needed to write 100 characters but the first four words covers it adequately. So hopefully this is enough characters now.
26,"Amazing pizza! The restaurant has a very cozy atmosphere and is very small. The staff is very kind and helpful. And to top it all off, the tiramisu was also delicious!! Would definitely recommend and return when in Paris!"
27,Amazing food & service. Staff are super friendly and the restaurant is clean and looked after. 100% recommend to anyone visiting Paris.
28,Very small but well run Italian restaurant. Pizza and appetizer were first-rate. Very efficient and wait staff really helpful and cordial. We will go back when in the area again.
29,"Da Giuseppe was one of the best restaurants we ate at in Paris. You could tell the ingredients in the food was very fresh. The Cheese was so good. I would order it all again. You definitely need reservations. We were there on a Thursday with reservations (party of 3) and every table was reserved. He turned away at least five additional parties who wanted walk-in seating, and two parties waited outside in the rain for 30 mins plus for take-away pizzas. The food & the service were superb. I highly recommend."
30,"We chose to come here because it was rated so well in Tripadvisor and we weren't disappointed. It's best to book, there are 4 or 5 tables and we arrived a bit late thanks to the Parisian traffic. You order via tablet, the owner is welcoming and very helpful and suddenly the pizza arrives. There are vegan and vegetarian options as well as the regular favourites. They taste great and they're very generous with the toppings. If you're looking for a good quick place to eat, this is highly deserving of its ranking."
31,loved it! The food was lovely and probably the best pizza I ever had! Also a very lovely and peaceful place to eat❤️
32,"Really great pizza! It's warm and cozy inside, and the hostess was exceptionally kind. We ordered the pepperoni and margherita, and thought they both were better than a lot of pizzas from Italy! Definitely worth visiting. We made reservations online, which was confirmed in an email the day of. However multiple people came in without reservations, as well as ordering take out."
33,Very good pizza! A small restaurant with a great atmosphere. Would recommend to do a reservation a few days in advance. The service was also very good!
34,The italian Pizza are very delicious and the tiramisu as well. Very lovely waitress and sweet locations.
35,"The best food , best place in Paris. Excellent pizza . Deserves the 5 stars. Fast service, excellent food and atmosphere"
36,I came here because of the recommendations.. it was even better! Perfect food / Drinks & Service. I didnt think the best food i ate in Paris was italian.. but wow. Perfect place.
37,"What a great restaurant! Antipasti verdure, tomato caprese and pizzas of great taste, very fresh. You have to reserve to have a place, we were on the waiting list and were lucky. Small restaurant and very very friendly service."
38,Amazing food and exceptional service. The whole evening was well designed. The food is ready qui but doesn’t taste like it was rushed. Make reservations so you don’t miss out!
39,"We came in at 7 in a Friday evening without any reservation, the attendant was outstanding, we had a lovely time at the restaurant. The food was simply divinal, It was the best pizza I ever had. Everything was very well prepared and we whore very well treated , definitely a 5 stars experience"
40,"Completely lovely! Small interior, cozy and quaint. Great service and excellent pizza! We really enjoyed our dinner."
41,"I don’t have any comments, pizza du moment was 11/10 It’s a must go in paris. You will not regret it"
42,"The food was excellent, we order pizza and salad! Very fast service and super friendly. The restaurant is super cozy. We didn’t have a reservation and they manage to accommodate us. A must for Italian food in Paris. Saludos desde Mexico!"
43,Delicious pizza in a charming atmosphere. The iPad ordering was convenient and easy. Service was friendly. Highly recommend!
44,"It is a beautiful place with an extraordinary service, the food is exquisite and the dessert is excellent."
45,"This hole in the wall place having won best Pizza in Paris award piqued our interest. The lady who took our order was very friendly and explained how it worked. We were over 30 minutes late, but she accommodated us. We ordered via an IPAD that was given to us and the order went to the kitchen directly. Pizza arrived in less than 10 minutes, and it was piping hot & very tasty. We felt it was one of the best if not the best pizza we have ever had. Ingredients were spot on, crust was perfect, and it was perfectly balanced in terms of cheese, sauce and taste. We look forward to our next time at Da Guiseppe.  Thank you to staff & owner of Da Guiseppe! Andy"
46,"Only One world: DELICIOUS! I come to Paris from Italy and I want to try Giuseppe. Pizza are very good, congratulazioni!"
47,"The food was excellent, and the service was remarkable. It felt like travelling to Italy, all while being in Paris. Amazing experience!"
48,"I’ve been to Italy a lot of times and had pizza from Michelin pizzeria in Napoli. This is the best pizza I’ve had in my life, without any doubt. Owner and staff are extremely friendly and the atmosphere is cozy. We even had to visit twice during our stay in Paris."
49,Amazing pizza. The crust was great and the “toppings” were delicious. Freshly cut colds/meats and you could add extras. Staff was accommodating and the atmosphere was very cozy.
50,Eaten pizza all over the world. This place is amazing and stands out! Owner is on hand and makes experience incredible. Definitely try the spicy oil that is served. Must try in Paris.
51,"Incredible pizza!!! Amazing crust and ingredients…Very nice atmosphere, the restaurant is small and cozy. The chili oil is the best I’ve had. The owner is so welcoming…the perfect place for pizza lovers!!!"
52,We ate lunch here and were so impressed with the food and hospitality. Homemade Tiramisu was also a highlight.
53,"Easy to order, great menu, delicious pizza, friendly service! We had a great experience and will definitely come again when we are in Paris"
54,The pizzas we ordered (Landrea and the vegetarian) were amazing. We highly recommend the place!!! 😄
55,This small pizzeria offers extremly good pizza at very good price value. It is very small inside so we were lucky to have a seat. Will come back in the future!
56,"Small, lovely place, with the owner buzzing around the tables. Without a doubt the best pizza I have had in a long time. Excellent food, wine, and the tiramisu - wow!"
57,"My gf took me here and i loved it, we shared a burrata and then we got a pizza and a panini , panini is actually big and delicious, my gf loved the pizza as well with bresaola. The place is small but in italy we say “nella botte piccola ce il vino buono”."
58,"Da Giuseppe is truly an absolute winner! All dishes are prepared with a lot of love and dedication. You won't eat anywhere in Paris at such fair prices. The service is efficient and very friendly. Everyone should try this restaurant. Here you will be surprised. Try this ! (Message to Giuseppe : we are the ""photo couple"" of Thursday 14/07/2022 at 20h30. We will definitely come back often! Greetings )"
59,"Pizza was absolutely delicious. Also very easy to customize your pizza on the iPad on which you order. Fast and very friendly service. Cute little restaurant, we will definitely come back if back in Paris"
60,Great and friendly service but according to reviews I was expecting extraordinary pizza which is definitely not the case. Far away from the best pizza in the city. Tasty but nothing special. A bit expensive what it offers. I have to admit ingredients on pizza were refresh and really good quality. I didn’t like the bread… The best is definitely service.
61,"The staff were excellent and friendly, and the ingredients were fresh with great tasting pizza! Would recommend for a quick meal."
62,We were very pleased that we found this small Italian pizzeria. Small and friendly restaurant with Tastefull pizzas and good service.
63,"Amazing , pizza super nice and the staff super friendly :) couldn’t recommend more! We thoroughly enjoyed ourselves and would go again"
64,"Friendly waiteress. We had the award winning pizza..the queen of Paris 2022, which was worth every cent and every step we had to walk to get there. Small but quaint little restaurant."
65,"A very friendly place, we ordered our pizza and drinks from the table on an iPad and it arrived very quickly! Made an effort to speak to us in England about football :)"
66,"We looked up this restaurant from google. We came here with metro, the station was in a 2 minute walking distance. Very delicious pizza! Recommend :)"
67,Walked in whit 7guys from Finland. Managed to get tabels. Exelent service and pizza. Price and quality meets! Thank you!
68,Tiny restaurant with great food and atmosphere. Service was very good and it was an enjoyable meal. Highly recommended!
69,"They’re pizzas are amazing, well-priced and prepared super fast. Staff is friendly and helpful. If you’re looking for a good pizza, look no further!"
70,The service was lovely and the staff were very welcoming. The food was delicious. Would definitely recommend!
71,"Nice food and great service. It was a great experience, definitely a place that I would recommend!!!"
72,"Booked this restaurant after reading the tripadvisor reviews and it did not disappoint. Amazing melon and parma ham antipasti, pizza and Tiramasu. Quite possibly the best we have ever had. Service was very friendly and efficient. If you're visiting Paris, you absolutely must eat here, you will not regret it."
73,"Amaaaazing pizza, and we eat a lot of pizza! Super friendly staff and such a cosy atmosphere for a relaxed meal & drinks. Merci!"
74,The pizza here is incredible. Our server Suria was incredible and we will definitely be coming back. I got the Piccante Pizza and my partner got the Da Giuseppe pizza. 10/10
75,Great Pizza! Cost environment! Really enjoyed the experience and my girlfriend did too! Will come again when looking for great pizza :)
76,"The food was great and the waitress was really nice. The service is really fast, friendly and helpful and the food was really tasty. The prices are great for Paris (we paid 50€ por 2 people and ordered 2 large pizzas and 2 beers). Highly recommend."
77,We tried 2 diff types of pizzas and both were AMAZING!!!!!!! It’s actually pretty big serving; good for 2 if your not too hungry. The owner Soraya who also serves the food is very kind and courteous!! Will definitely come back if time permits!!
78,"A wide range of delicious pizzas on offer, along with very friendly, welcoming staff. We ate in and really enjoyed the food. The only negative point is that there are no customer toilets on site, so make sure you go beforehand."
79,"Great pizza with fresh, good quality ingridients. Friendly staff, ordering was very simple, food also came very quickly"
80,"Pizza was amazing, really authentic. Waitress Soraia was very attentive - would definitely recommend!"
81,Cozy little place - great service and food. Came here for a lunch after a quick search online and we are not dissapointed.
82,"One of the best pizzas we ever had, served in a small cozy restaurant. We got a table in the last minute, very appreciated."
83,"Great service, food (parma pizza and margarita pizza), nice atmosphere. The place a quite small onky 6 tables, but it doesnt do anything. Ordering by table ownes tablets. Works perfectly"
84,Traditional Italian with a good selection of dishes at reasonable prices and fine selection of beers and wines. The staff were very attentive and friendly and engaged in good chat. Many locals frequent this place which is always a good sign.
85,"The service is amazing , the pizza is amazing and the restaurant is amazing ! A hidden gem , I definitely recommend for your trip to Paris!"
