,opinions
0,Animal rights activists disrupted a foie gras tasting event at New York city’s David Burke Tavern. Read the full story: https://veganfta.com/2022/11/14/animal-rights-activists-disrupt-a-foie-gras-tasting-event-at-new-york-citys-david-burke-tavern…#animalrights #nyc #newyorkcity #foiegras #plantbased #vegan #vegannyc #vegansofnyc
1,Animal Rights Activists Disrupt a Foie Gras Tasting Event at New York City’s David Burke Tavern https://veganfta.com/2022/11/14/animal-rights-activists-disrupt-a-foie-gras-tasting-event-at-new-york-citys-david-burke-tavern/… via @Jayseecosta
2,What a blast with Les Amis d'Escoffier Society of New York last week! Talked about the best cuts and my US Patent US20100310736A1 meat aging process using Pink Himalayan Salt!  Hope to see you soon in New York City at David Burke Tavern!
3,"A refreshing New York City, just what we all need! Stop in at my flagship David Burke Tavern on the Upper East Side to taste summer! http://davidburketavern.com"
4,David Burke Tavern + The Mermaid Inn among the deals on our New York City list!! http://ow.ly/R90r30qoyTm#NewYorkCity #NYC #deals #NY #bar #restaurant #happyhour #oysters #drinks #oysters #Tuesday
5,NOW 8 Deals Around New York City ...  includes ... Fish Restaurant + David Burke Tavern + Pianos http://ow.ly/zmCE30qbC5z MORE NY Deals ➛ http://ow.ly/pEFj30qbC5X#NewYork #NYC #NYdeals #restaurant #bar #cocktails #oysters #pizza #latenight
6,NEW ➧➧➧ David Burke Tavern joins West Bank Café + 5 Others on our List of Best Deals Around New York City http://ow.ly/LDn530q9ZZy#NYC #NewYork #deals #NYdeals #happyhour #wine #champagne #food #appetizers #bacon #drinks #cocktails #restaurant #tavern
7,"Welcome to David Burke TavernDavid Burke Tavern is a modern American restaurant by award-winning Celebrity Chef @ChefDavidBurke. Situated on the first two stories of a stately townhouse on New York City’s Upper East Side, the restaurant showcases Burke’s…https://lnkd.in/ePAmTqE"
8,Get seated upstairs and ask for a cocktail menu and we are told they did not have one. Asked for a beer menu and got the same response. Service was slow and our appetizers came out right before our entrees. Burger was just okay and none of the other entrees were anything special. Seemed like a great place to get a drink but would not come back for a meal.
9,"We thoroughly enjoyed our dinner at David Burke Tavern - I even enjoyed the oysters! I am picky about seafood, and the oysters were fantastic. In addition, we were there on a Tuesday, and they offer an amazing happy hour deal. The wine by the glass for happy hour that I choose was a Sancerre - very nice for the price! Not the usual mediocre white that I would expect for $7. I loved seeing the bar full and bustling! We enjoyed the sidewalk for dining - the street is fairly quiet on traffic - so eating al fresco was enjoyable."
10,vegans RUN ! unless you like what I had: roasted pepper soup : Luke warm and watery - they added a lot of oil for texture - Im not sure if that counts as texture - very watery and extremely small portion - maybe 1/4 cup total mostly oil - I was optimistic and said nothing - I ordered 4 side dishes - vegetables for entree - asparagus - sent back cold and unsalted - it returned undercooked and oily - Brussel sprouts - at least they where served hot - so salty burned my mouth - French fries - slight soggy and oily slight warm - roasted carrots - cold and undercooked - sent back returned burned - I offered to have the person that made MY BIRTHDAY DINNER come join us and eat what he made - and remade - the food for one of my 6 guest - never arrived and then arrived after we ate - that was her dumpling lobster appetizer then arrived and they gave her 2 extra - which was nice especially because her dinner - scallops so fishy sent back and returned missing the garnish she ate and also too fishy to eat - I won't even mention the others - people came in from out of town - we took hours to eat an unpleasant meal that took the spotlight of our gathering - the noise was so loud we couldn't even have a proper conversation - this has to be the worst place I have EVER eaten in nyc the manager took the bill and we just paid tip - HONESTLY -I JUST WANTED TO PAY AND HAVE A NICE DINNER - I wasn't looking for free food that upset my stomach - did I mention I drank a bottle of olive oil from those vegetables? CLOSE AND REOPEN WITH A NEW KITCHEN STAFF ! it is unfair to have customers come in to any establishment and perform like this - SOMEONE CALL DAVID ! HIS PLACE IS A MESS
11,"We had reservations at 8pm on a Saturday night. The place was bustling. The seating is very tight and the restaurant is loud, but a lot of places in New York are like that. Our server Sarah A was very friendly and attentive. We had the lobster dumplings, the short rib cavatelli, and filet. The brussel sprouts that came with the filet were heavenly! They have an extensive wine list. It is pricey, but we knew that. We loved the stuffed penguins that were placed around. Nice touch. Would go back next time we are in NYC to see a show."
12,"Have always been a fan of David Burke restaurants and his whimsical approach to his food and dishes to really create an experience. Recently went back to David Burke Tavern as it reopened and it did not disappoint. Great vibe, delicious food and the service was top notch. The GM, Nathan, came over multiple times to check in and ensure we were being well taken care of which was much appreciated.  The East 60's can be challenging to find good restaurants, so David Burke Tavern is a welcome addition."
