,opinions
0,"I was staying nearby and came here every morning for breakfast. Quick, fairly cheap, good English breakfast things, and a great host. I just wish I had a bigger appetite in the mornings to go the full monty."
1,"Found out about this place from Trip Advisor reviews as an alternative to over priced hotel breakfasts. Takes a little bit of finding but trip advisor map helps with that. This is a small eatery under the arches of the minories. It doesn’t set out to be fancy but looks to offer good food in a friendly personable atmosphere. We went 3 days running and each time we were greeted like a long lost friend. Sid the “front of house” was so friendly and helpful. He remembered drink preferences, not just for us, but for every repeat visitor and was genuinely interested in doing what he could to make the start of each day a positive experience - it truly set us up for each day!"
2,Had a really delicious foccacia each and tasty hot chips. Good cappuccino and orange juice. Service was fast and friendly.
3,"After looking for a good place for breakfast before our visit to the Tower of London we looked at previous reviews of Devine and decided to give it a go ! We were not disappointed, it was great food , good prices and very friendly staff . Would recommend for a no nonsense breakfast stop"
4,"London's best kept secret best stay hidden. I don't get the hype, had plenty of meals (at least 6) here and none of them were worth the price, for 1 or 2 pounds more I can have much nicer food elsewhere. Neither myself nor my friend were able to finish the pasta it was overcooked and simply didn't taste nice. The sandwiches are fine, very mid, the chicken is very dry, the bacon looks grey, just not very appealing. Lastly they definitely don't serve everything fresh, you can't convince me some is this food is not a day or more old.  The proprietor is very friendly and I haven't tried the breakfast but I won't be coming back."
5,"To be quite honest I don’t really like any European breakfast coming from the US but my friend told me of a spot with good portions, amazing service, and a super random location.. so I came under a bridge and ending up coming to my favorite place! I mean I still don’t love the UK breakfast BUT this is for sure the best breakfast I have had in the UK and will come back every time I’m in London. I absolutely loved this spot, from prices to food to service. Everything was amazing. And sorry I didn’t take any pics I literally demolished the food once I got it haha but I got the full Monty and it was great!"
6,"This place is a hidden GEM! And when i say hidden i mean it’s located directly under a bridge, nestled into the wall but well worth the adventurous find! Get The Full Monty !! I promise you won’t regret it i couldn’t even believe how much food u get for how well it’s priced! Only 7 pounds for a full plate of everything you’d want! I substituted the fries (chips) for hash browns and the owner is absolutely the most accommodating person ever! So kind and patient and makes sure you have everything you need! Makes you feel at home seriously! He also made me the best cappuccino ever ‍ highly recommend! U won’t regret"
7,"Average food. Average cafe. I was very disappointed on my plate of food, mostly it was burnt and oily. I don’t think I’ll be coming back."
8,"Good food, enough variety to give us some choices and the owner is on site and manages a very tight ship. We were there for breakfast and they had enough items at much better pricing than the hotel around the corner. Excellent for locals and anyone visiting the Tower area of London. It's a bit of a hole in the wall so look it up first."
9,"I promised I would review this fabulous little place after a London visit in October and so sorry for taking this long! What a find this place was! My boyfriend Mick came across this place a stone's throw from The Tower of London. I was expecting a good but likely pricey breakfast. Instead we got an incredible huge and delicious breakfast which was really good value for money! The owner was wonderfully friendly - wow he could teach a lot of people about customer service! This man made us feel so welcome and like nothing was too much trouble. If I lived nearer I would be here more often! Thanks again and if you celebrate it Devine, have a wonderful Christmas!"
10,"Came across this fantastic place today when looking for breakfast near the Tower of London today, hidden away under a bridge, the owner was very friendly, polite and efficient. We felt welcome from the moment we walked in and everything was spotless. The tea was piping hot, as were the tasty English breakfasts and bap we ordered. The prices were spot on, an amazing find for the centre of London, highly recommended."
11,Great breakfast in an out of the way spot. Extremely friendly staff and reasonably priced. Just around the corner from the Tower. A great way to start your day!!
12,Great service and warmth from the De Vine crew. Good size portions. A friendly welcome and traditional english breakfast met us.
13,"Amazing food, very friendly people! Took a typical english breakfast and it was delicious. The people have been very friendly. I can raccomend this place!"
14,"A perfect way to start the day near the Tower of London. Fantastic service and equally fantastic food. Both meals were perfect, delivered fast and the service couldn't have been better. For anyone looking for a warm delicious breakfast at an excellent price to power you through this end of London, Devine is it."
15,"We stopped by DeVine twice during our week in London. Both times for a relatively quick breakfast to ensure we had plenty of energy for a day of exploring London. Our kids (aged 10 and 7) thoroughly enjoyed the eggs (scrambled plate and then the variation of the English Breakfast). We enjoyed the quiet out of the bustle atmosphere and the attentive owner who remembered out how we liked our morning coffee. Highly recommend for those looking for a well priced, tasty breakfast with a welcoming host."
16,"We had breakfast here , great value and quality breakfast and coffee. Very friendly staff , recommend this , it's well worth a trip and breakfast so.m7 h better than.tge hotel offerings in the area."
17,We visited DeVines Restaurant at the last day of our trip to London. The only downside was that we could only have breakfast there once! Food and drinks were delicious and also special wishes that could not be found on the menu were fulfilled (important when traveling with a four year old). We'll definitely come back as soon as we visit London again!
18,"One of the best breakfasts we had on our trip to Europe. Absolutely the best one we had in London. The staff are incredibly accommodating and kind, they make you feel like family. The food was amazing with great portions and the owner doesn't lie when he says it's the best coffee in London, it was the best one I had tried while over there. My partner and I both ordered the English breakfast and were delighted by the flavour and freshness of the food brought to our table.  After our meal the owner made sure we were full and stated that the two rules of the place were that you leave satisfied and with a full stomach, both promises were fulfilled. The owner then told us the perfect places for taking photos on our last day in London. Will absolutely come visit again during our next stay!"
19,"A very nice place for a good start of the day. Breakfast was delicious, cost-quality in perfect balance and a very nice environment thanks to the personnel. Keep up the good work and food! For sure we will keep in mind this place😁"
20,"Great food, atmosphere, service, excellent value for money. Authentic, local customers, very friendly owner. The best full English breakfast."
21,"Really friendly welcome and great food when we visited here last week. Extensive list of menu options, fast service, incredible portion sizes and good value. Next time we’re down in London, we’ll definitely be paying a return visit."
22,We went to have breakfast and the owner gave us an excellent service and also recommend us really good meal options. I will come back for sure again in this trip
23,Fantastic service/Fantastic Food and always a lovely welcome. great prices and food is so fresh. The location is close to Tower Hill and very easy to find.
24,"Saw the great reviews and led my friends here to get our first taste of a full English breakfast. Let me tell you, it did not disappoint! The staff was amazing and recommended dishes, so personable and attentive. We left happy and full! Thank you for the genuinely great food! I can tell locals and newcomers alike love this place."
