,opinions
0,"Always pleasure to eat to Devran , great atmosphere hot place , great service especially by waitress Gerta ! Chicken platter is our favourite."
1,The service of the devran restaurant was awesome. The food was traditional Turkish. We came in a birthday party of mine. All staff welcome us with birthday song. We enjoyed that day. The manager is professional and good behaviour
2,"Food was great and service was absolutely fantastic. Hasan made our experience special, great customer service and he even gave us Turkish tea on the house. Definetly recommend coming here. The vibe was good and also the music."
3,Hasan's service was excellent! He is a real credit to this restaurant and made our visit really pleasant. Salim was also very friendly and the team of talented chefs left us so so satisfied! This is my second visit and I will definetly be returning again...
4,"Food was alright and the presentation was nice. The service was amazing, we were served by Gerta :))"
5,I was there with my family I really enjoyed for the party thanks for lovely Hassan we ll back soon thank a lot xxxx..........
6,Hasan is best waiter ever. Thanks for the help we ll back again thank a lot super hasan see u soon..
7,We are visited Devran first time and really enjoyed food was amazing and very friendly service of the waiters specially who looked after us Salim.Thank you so much hopefully see you soon
8,Excellent choice. Would defi come again amazing service and tast of food. This is a must try and will defo return.
9,My family enjoyed a devran special platter and drinks tonight our waitress Gerta so lovely girl and very helpful happy service . BIG THANKS
10,Coming here couple of times and every time perfect service lucky to be served by our waitress girl Gerta. Food always best level 10/10
11,I went to Devran today to eat and was very happy with the service and the food. Efficient and quick service by waitress GERTA thanks
12,"Wow the waitress was so kind and helpful, food was really good as well as always. Long time since I’ve been here and it looks as good as before"
13,Great service from Gerta! Very friendly and helpful! Amazing food! Will definitely be back! Thank you
14,Devran Team was amazing. Efficient and quick and friendly at the same time. Highly recommended. A.Marin and Salim and the rest of the team
15,"The food was perfect. We got the family special platter for 4 as well as some halloumi bites and hummus. We received an amazing service from everyone at the restaurant, particularly Gerta who was amazing.  I would highly recommend if you're feeling for Turkish food or in the Stoke Newington area."
16,"A lovely and warm enviroment, food is great. We have been eating here for few years, the staff is very friendly and attentive .We have always had great service and fully recommend it."
17,Excellent food and service especially our efficient waiter Hasan .See you very soon we will back soon.
18,A great 👍 service in a nice atmosphere. Hassan was very patient with me and always smily. Super hasan
19,Very good service very quick and very welcoming food was also excellent kebabs was nice we ll back 100percent
