,opinions
0,"Good food, big portions, wonderful music and staff nice and friendly.! Price not high, and marin, one of the staff, is a gentleman."
1,It was amazing perfect for a groupe of friends ! thank you Friendly staff thanks you Olena and Cameron
2,"Kenan, Nadyr and Luci made it a great experience! We went to the bar with friends and had a great time. Great beer and great shots!"
3,"Great spot in the 16th for beers and snacks! Excellent service, especially Nadyr, Luci and Kenan. 👏❤️"
4,"Great spot for a few drinks with friends, met some great people here and the staff was super friendly. Shout out to Kenan, Nadyr and Luci! 🥳"
5,"Kenan, Nadyr, Lucimar provided great service. 10/10 made our experience so great and would come back!"
6,Kenan Nadyr Lucimar was amazing! He took care of us the whole night. Very kind even though we didn’t speak French! Definitely request him if you can!
7,"This place is amazing. I loved the service here, they are very kind and attentive. Kenan, Nadyr, and Lucimar gave me and my friends the best service. They truly made me feel like home. I come from California and they really gave me the best experience ever. Thank you Frog XVI, I Will come again and reference this place to other people!"
8,"Thanks to Martin, a very kind server who took the time to explain the differences in the beers, we had a great night."
9,Affordable pub near the Eiffel tower. Goid draft beers and finger food. Go there and enjoy Shoutout to Jason and Aubrey best barman/women ! Cheers
10,"Small but pleasant, the staff had been charming and the location on one of the most beautiful avenue of Paris"
11,Great burgers and fries!!! Also a very relaxing kinda retro venue. Easy spot for lunch and huge windows to take in the scenery while you eat. English is spoken here for those that wonder. Our service and food were excellent.
