,opinions
0,"The burgers and tartares were amazing, savory d’extravagance. Super friendly and fast service. Definitely coming back to try the rest of the menu."
1,Best burger I’ve ever had. As an American I’ve loved cheeseburgers my whole life. I eat them all the time back home. The people are amazing and it’s reflected in their food as well. I want to try everything on the menu before I go home. Thanks for having me!  -The King of Connecticut
2,"It was great food, really friendly staff who was nice to us about not knowing much French - thank you for a great time!! Also good music!"
3,"Burgers: 10/10 Fries: 10/10 10/10 Ambience 10/10 Service 10/10 Cost 10/10 Honestly, great food with prompt and courteous service!"
4,Very good Burger Place and and excellent Mousse au chocolat! surely to try out. A little outside of center but worth a visit. If I'm not wrong almost everything is homemade.
5,"a little bit removed from Paris's main tourist attractions, yet easily accessible via metro. Excellent burgers and a helpful, friendly service."
6,"After a day touring Versailles we stopped here for a late lunch. We all ordered burgers, the Cheddar, the Bleu and whatever the burger of the day was. All 3 were so tasty! The fries were great too. Even better was the friendly staff who all welcomed us with a smile."
7,"Located a little bit far from the main places of interest in Paris, but easily reachable by metro. Friendly and kind staff and absolutely outstanding burger."
8,"Burger Fun Fun Burger Joint which is Unpretentious and a Great Place to Hang Out. Seems to be in the student quarter (though admittedly my knowledge of Parisian districts is limited)  Positives • Big portions • Very friendly hostess, staff, and bartender • Really appreciated their accommodation of our late arrival and general friendliness  Negatives • Wine recommendation was decent but perhaps the palettes did not align • A bit out of the way to get to and in a university area • Food was not the draw, but rather the friendly vibe"
9,Fantastic food!! 😋 Delicious steaks - cooked to perfection 3 kids burger meals....no waste so must've been great Great chat/banter with the hosts ....they knew where Wales was....gets an extra star ⭐ Highly recommended 😄
10,"We had heard so much about this place and took a 40 min cab to get there for our last meal in Paris before flying back to New Zealand. We ate the burgers, beef tartare and salmon tartare - it tastes absolutely sensational, by far the best we’ve ever had. Was well worth the visit!!"
11,Visited here on our last night in Paris. Amazing atmosphere and absolutely amazing burgers. So welcoming and helpful. Thank you
12,"On our last trip I had wished to have lunch here, but was unable to do so. My husband and I decided to give it a try this visit to France. The burgers were outstanding and the service friendly and timely. I would highly recommend the restaurant if you love burgers. There are many varieties to choose from."
13,"We got the burgers based on recommendations and they did not disappoint. If I ever go back, I would try the one with the egg on top. (I saw it on my neighbor's plate :) ) Servers were very attentive and helpful!"
14,"My husband and I came here for dinner on our first night in Paris for our honeymoon. Literally the BEST burger I have ever had in my life. The service was so great as well. Owner greeted us right away and even asked where we were visiting from. Our waiter was super nice and very friendly! 10/10 recommend! And if we ever take another trip to Paris, we will be returning!!"
15,It was probably the best burger I had in my life! Especially the waiters were really friendly and asked us always if we need something! Highly recommended 🙏🏼
16,The best tartar I have eaten! So fresh and flavorful! My husband had a cheeseburger and also agreed that the beef was superb. French fries were crispy and the environment was comfortable and friendly.
17,"We were in Paris for a long weekend looking for somewhere to eat, we checked on Tripadvisor and found this restaurant “Etait Un Square” which was highly recommended on Tripadvisor. We were very close so decided to give it a go. Wow! this place is above & beyond!! It was absolutely packed out when we arrived with a fantastic atmosphere, we managed to speak to Gerard who turned out to be one of the owners and he went out of his way to squeeze us into a brilliant table. I had the burger one word “wow” my husband had the Steak Tartare which he said was amazing. The service, the food, the atmosphere, 10/10 could not have been more pleased with our choice. Highly recommend."
18,I have tried till now burgers. Steak tartares and crevices ! All are just perfect! Best French fries and ketchup in town !
19,"My brother and visited Il Etait Un Square in Paris, having been encouraged to go there by the stellar reviews and we were not disappointed. The staff are delightful and gave us a very warm welcome. The burger was excellent; I ordered the Cheddar, served well done (probably a rarity here) and it was, as far as I am concerned, perfectly executed being succulent wile still being well done. Everything else was excellent too. Chips were cooked to perfection, the Cretan Salad and egg mayonnaise (I believe the mayonnaise was home made) were also excellent as was the ketchup (of a type I have not seen in the UK) and the trimmings. Even the wine recommendation was well judged. We really could not ask for more. Strongly recommended - I intend to return."
20,I visited twice on an extended stay in Paris. First time I had the Napoleon Burger which was excellent. Second visit I has the Gascon tartare which was also fantastic. Burgers as good as the best I have had in the US and Europe. If you are a burger fan this place is a must visit. Service was friendly but not overly intrusive and for the tourists there is no snootiness if French language is not your forte.
21,I came with my brother for the day to Paris and booked Il Etait Un Square as it was so well rated. It was definitely worth it - delicious food matched by charming service and the owner made us feel so welcome. We'll be back Merci pour tout!
22,"I only review when a place is truly exceptional, beyond 5 star, and here is one such. The food and the staff were truly wonderful. I had been amazed that a burger place could be rated the 2nd best Paris restaurant of 19,000 on trip advisor, so I had to try it, and it stood up. I highly recommend, and even to make a detour. I was a little concerned when I arrived as there was no-one yet there, but it quickly filled up. The staff were perfectly attentive, confident and jolly, without in any way getting in the way; and the burgers and steak tartar (my first of the latter) were of a quality that I rarely, if ever, tasted. Exceptional quality of meat, melt in mouth. Bravo. The burger I had was the Napoleon 1er, (because am English and Waterloo) and the tartar was 'Hongroie', a special. So good"
23,Excellent burgers coupled with reasonable prices. Great atmosphere and lovely staff. May require a reservation but not necessarily.
24,One of the best burgers I have ever eaten and my partner agreed. Very welcoming host and staff! Explained everything to do with the restaurant and how they make their burgers. Very personable host and the food was absolutely delicious. Reasonably priced and well worth every penny. Would 100% recommend if you are visiting Paris.
25,"Very very good. Great food, good service, overall pleasant experiance. And I eat a lot of burgers. Certanly the best burger I've eaten outside of my home country (Slovenia has high burger standard :p). I also liked the menu: diverse, wide enough to have a choice, but not overwhelming. Would recommend. Next time I gotta try steak!"
26,"The Burger was great and the melted cheese sause plus the fries was the best i ever had! Well worth an visit when in Paris, will come back!"
27,"One of the best burgers we had until now.  As we approached the restaurant which is located on the corner of a quite neighborhood just a few minutes walk from the metro train station and entered it, a friendly face greeted us asking if we had a reservation as the restaurant was packed, this was on a Tuesday night.  We confirmed that we did and politely asked if we were able to seat outside noticing afterwords that there were no available tables outside but only the one which was reserved for us inside the restaurant.  In a time frame of 2-3 minutes they arranged a new table and four chairs outside as requested, without even arguing that our reserved table was inside etc.  We got seated and the menus approached. Burgers and tartars of all kinds and twists at very reasonable prices.  No need to say that the food was excellent as well as the service.  Our daughters kept thumps upping the owners as this were one of their best burgers they had and unfortunately for me, better then mine ! :)  We thank you for your hospitality, we had a great evening and we wish you all to continue with the same passion and quality."
28,The food was just amazing! One of the best burgers I’ve ever eaten. The hostess was very friendly. I recommend to everyone that travels/ or live in the city to go to this place!
29,Definitely worth visiting. If you are in town on vacation take the trip over here. Such a quaint area. The staff here are very friendly. The food is amazing.
30,"If you are looking for super hamburgers in a cosy restaurant with very friendly service, this is definitely the right place!"
31,"We tried 3 burgers - Le Bleu, Le Cheddar, Le Chedo Pepper, and a Curry Burger that was the Daily Special. We cut all 4 into 4 and shared them around the table. The Chedo Pepper may have gotten the most accolades and Le Bleu was the least favorite. That said, we polished them off, licking our fingers. We all said it was one of the best burgers we have ever had.  We arrived at 2:15pm and were told the kitchen was closing. Neverthless, we got a nice window front table and the owner talked to us for a long time. He had visited the US and had lots to share about his experience there. Super tasty and friendly place for lunch."
32,"Fabulous place to go particularly with a family. Excellent service, friendly, welcoming, fun staff and the food is incredible. Simple on one hand but so delicious! Went as family for daughters birthday which they acknowledged with fun and kindness, worth a trip to Paris to just go here!!"
33,"Arrived to be greeted by the friendly owner and his team. With tables both inside and outside the atmosphere was relaxed and the staff took us through the menu including burgers, steak and tartare. Opting for the Napoleon burger, spicy and the beef steak, we were not disappointed. Desserts were a homemade treat. Would definitely recommend."
34,Great lunch place! Plenty of outdoor seating. Burgers were delicious after a day of walking around. I can see why it's gotten such terrific reviews!
35,"They are very kind and welcoming, the food is very tasty and you can find a great variety of burgers and meats. Good beers. We will came again!"
36,"I came here due to all the great reviews. The food is good, but way off the beaten path and in my opinion, not worth going, unless you are in the area. The wait staff was very friendly, however the food was just average. I had the recommended burger with fries and it was good. Lots of empty seats when I went, so not sure if reservations are really needed."
37,The food was amazing and the burger is a start and the staff were very welcoming...the dessert also a must try... Definitely a good choice...
38,Amazing food and good service. Will definitely come back again. Had an humborger and tartar. Also an amazing starters.
39,The restaurant is in a calm area so it’s nice to sit outside. Staff is really friendly and helpful with the menu. The food is more than ok but not something I would call amazing. I would recommend it for the overall experience.
40,"Located away from the busy city centre of Paris this eatery is well worth a trip  Waiting staff were welcoming to all and speak exemplary English , making the experience very comfortable.  The restaurant specialises in burgers and Tartares , I opted for the chedd pepper , a bacon and cream peppercorn cheddar cheese burger with caramelised onions, I truthfully have never had a better burger anywhere.  The relaxed atmosphere , excellent food and dutiful service make this a must try for burger lovers.  Pricing was very reasonable for Paris , a Belgian beer , soft drink , coffee and main meal came in around 30 euros , which at this quality felt like a bargain. Highly recommend."
41,"The best burger we’ve ever had—and we’ve made it our mission to find the best burgers in our lifetime. Nothing will top our experience here! High quality food, more than fair prices, relaxed environment, friendly people."
