,opinions
0,"Britain's Prime Minister Boris Johnson (R) listens as Indian Prime Minister Narendra Modi (screen) addresses the opening session of the virtual US Leaders Summit on Climate from the Downing Street Briefing Room in London, England, on April 22, 2021. https://businessinsider.com/photos-indias-crematoriums-have-started-to-melt-so-many-bodies-2021-4?r=DE&IR=T#the-latest-surge-has-prompted-several-countries-like-the-uk-to-impose-travel-bans-on-india-23…"
1,I was in a London England hotel room with Indian takeaway and warm beer. @TheresaLalonde was sleeping as it was very late at night when Joe touched them all. I said “wow” very softly so as not to wake her. Still the greatest moment in Jays history.
2,"Delicious food, exciting vegetarian options, really friendly service. Would definitely come again if I lived closer. Maybe I will anyway…"
3,Empty due to it being lunchtime in January BUT the food was great. The manager was very affable and helpful. The onion bhaji was especially good.
4,"I’ve been eating here for 10 years and it remains my favourite curry in the world. Today may have been the best I’ve ever had here, consistently great, wonderful attentive and friendly staff, lovely atmosphere, I would go on but if I’m honest, I don’t want it to get any more popular as I’ll struggle to get a table."
5,"Good food with proper Indian spice taste, amazing service and good vibes. Good place to hang out with friends or colleagues"
6,Great food with amazing service and great ambience !! Do visit with your friends and family !! Overall a great restaurant
7,Food was really good. Madras chicken and garlic Naan were delicious. Place is nice and cozy. Service was really helpful.
8,"Incredible service, food, atmosphere. Very attentive, quick and delicious food, so many options. My freinds and I had a lovely time. Will be back very very soon!"
9,"Delicious food, warm atmosphere and welcoming staff. We were blown away by the goan curry. The most tender prawns in the world. The most tasty rice ever. And oh boy the Peshwarii naan was to die for. Every one had a large smile on their face - what more could you ask for? I know - peshwarri naan! 5/5 thank you Rinku for the great service."
10,"First time visiting the Indian Room and we were very happy with our visit. Food was great, service impeccable and we were looked after very well. We will be back!"
11,Unbelievable food and they looked after us really well!!! Will definitely will be going back that’s for sure! Happy new year!
12,"Food was excellent. Staff were welcoming and great hospitality. If you get a chance, do go and taste their yummy food."
13,Staff were super kind and the food was super yummy!! They answered any questions and went above and beyond x
14,Great curry with a great group of friends. We did our secret Santa gifts - feeling very Christmasy. Thanks guys!
15,Great meal at Indian Room. We will definitely be back! The staff and the food were excellent! And the shots of Baileys at the end topped off our celebration.
16,The food was brilliant and great service from Sha. Lamb rogan Josh and Karahi recommended by Sha were very good. Will be returning.
17,"Wow. Simply unbelievable. Food was perfect and the service even better. Would recommend for any occasion, even your nan’s birthday. 5/5"
18,Delicious Indian food with wonderful staff. Incredibly helpful and speedy service. It is always a pleasure to pop down to the Indian Room.
19,Restaurant is always full. Food is always fresh and delicious. Service is fast and 5 star! We’ve visited Indian Room a few times and will keep coming back.
20,"I have tried many Indian restaurants before, this is hands downs the best food I have tried in London. Even dishes I have ordered countless times, they manage to excel and give a twist! Looking forward to next visit!"
21,"Amazing food, great atmosphere, brilliant staff. Would absolutely recommend to anyone visiting Balham. 10/10"
22,Excellent experience! Delicious foods and even better service. Highly recommend Kali Makhani (for the veggies!) and Palak Aloo. Thank you Ringku!
23,We had our wedding lunch here last month and the food was superb. Lateef was very helpful with planning the menu and the service on the day was excellent too.
24,Being of Indian origin we are particular about authentic Indian food. We have tried many restaurants in S.W. london but Indian Room wins hands down. Their flavour is authentic and service is unparalleled. Rinku is particularly attentive and makes the atmosphere homely and welcoming. Will keep coming back. Thank you. X
25,"A friend and I came here to celebrate her promotion at work and I am so impressed by the food and the service. The range of curries available were all exquisite and our server Rinku really made our evening by being so attentive, kind and funny! Always making sure everything was okay with our table and making us feel welcome! We will absolutely be coming again and will make this our new regular Indian restaurant :) thank you so much for a lovely evening"
26,"ringku was a fantastic waitor, he needs a pay rise. incredible wine and wiskey selection and the perfect portions. all food was sublime and I shall be coming again with friends. Incredible establishment."
27,"Genuinely lovely food, buzzing atmosphere and friendly hospitality! Even a shot of brandy on the house! I will be back again!"
28,Excellent atmosphere with dishes from a range of areas in india. Service was fast and came with a smile. Best curry I've had in a long time. No notes
29,"Very tasty food, excellent service and Sha was a perfect host. Couldn’t fault them at all, and thank you for a wonderful night"
30,5 out of 5 This is the second visit I made after 4 months Same food and wonderful staff Loved to be here !!! Amazing Thank you will Be back soon
31,"Came for dinner with my parents and absolutely loved it! The food was genuinley divine, could taste the individual spices in each curry, and even the fennel in the pilau rice! Delicate flavours mixed with soft textures (the garlic and corriander naan!). The staff were always on hand, and the food came in a very quick and timely manner! Great place to catch up with freinds and family or even for a romantic date night. Will definately be back, the food, service and decor were all a 10/10! Also, the side mint, yogurt and chutney sauces were a great accompaniment! Thank you! Never been so glad to part with my money!"
32,"My friends and I had a great evening eating their delicious Indian food. The ambience and the service was fantastic, and the prices are very reasonable : )"
33,"The food was excellent and one of the best Indian restaurants I have ever been too. The staff was super friendly, explained the dishes to us and even gave us a 10% discount in the end. We will definitively come back!"
34,"Rinku was a very kind and gracious host, and he went out of his way to make us feel comfortable. The food was incredible!! We will definitely be back soon."
35,Amazing food and service. Can’t wait to bring my housemates here. very quick service. Food was hot and delicious.
36,Thank you so much for the awesome evening with my husband! Delicious food and nice restaurant with lots of options
37,"I can`t fault the quality of the food and service, they were excellent. However the portions were small and in my opinion very overpriced. The bottom line is you can get the same quality and larger portions up the road in Tooting where you are spoilt for choice!"
38,"Our first time long overdue visit to this restaurant was an absolute gem! We were blown away by the quality and taste of the starters and main courses! The onion bhajis and lamb samosas were exquisite, as was the lamb dhansak. Great attentive and personable service too, within very pleasant surroundings - thanks to Rinku and colleagues. We’ll be back here soon for an evening dinner."
39,"Visited Indian Room for the first time today for group lunch. Food was excellent and Rinku and staff were extremely friendly, welcoming and attentive. All 6 of us enjoyed all dishes and will be returning. Would definitely recommend."
