,opinions
0,Director Jeffrey Lo moves TheatreWorks Silicon Valley’s production of “Little Shop of Horrors” from New York City’s skid row to an alley in San Francisco’s Chinatown.
1,New York is really a beautiful city you are absolutely right everything is buildings its famous Park and its remarkable little alley take Care of yourself especially kisses
2,Shanghai cuisine for dinner at Little Alley.#NewYorkCity
3,@NYCMayor I've been to your city it's not fair it's certainly not safer it is dwindling down to be a garbage alley. At one time New York City stood for so much now it stands for very little mostly debauchery shame on you
4,Thank you for sharing this story. My grandfather who was born in 1898 told us stories of back alley abortions in New York City when he was little in the early 1900s. It is an absolute shame and a crime #scotus made this choice!
5,"Then why bother half assing it? Its so little effort to just take it outside in a real alley, the movie was filmed in new york city."
6,—a dark alley. He thought for sure this might have been even a little more challenging but what do you honestly expect for New York City. Everyone is so preoccupied with themselves and their lives they barely notice what is going on around them.—
7,"Favorite place to bike in the city?Alleys. My favorite alley is in Irvington, between New York and Leslie Streets, east of Ritter. It is a short little thing, maybe a 1/4 mile at the most, but it feels like another world back there."
8,The Location in Oswego City New York wasn't do too well for you guys anymore there is a little bit of Property near KFC for sale where the Bowling alley was
9,"I’m being partially facetious—I know what I suggest is unrealistic. But it’s insane that it’s unrealistic. It’s normal in a lot of cities, like London, New York, Paris, Tokyo, etc.Even with little frontage, could have an alley/atrium, or just larger retail like grocery"
10,"I love that alley...drop 5 gallons of H20 and they will scramble away right quick...New Orleans, NewYorkCity, how we did it. No harm, no foul, just a little water"
11,"The phrase ""Too little too late"" is in my head as I see Facebook posts of a WEDDING hosting over 150 guests taking place in New York City. And that's nothing compared with a restaurant funneling diners into their place through an alley side door. N.Y. doesnt take it seriously."
12,Stuart Little 2:- Association football- Ball - Model airplane- Silver lining - Serinus- Peregrine falcon- Fledge- alley cat- Barge- New York City Taxi- Central Park
13,"I honestly have been thinking about this for a little. New York City definitely has alley ways  ,right?"
14,(cont'd)-most interesting champion with a diverse team (sorry cynthia i find you very boring)-there's so much shit to do in this region i love it-perfect take on new york city and i like the little alley cafe -idk honestly i just like using psychic types the most
15,I’m open to do abortions you don’t have to be a doctor professional in New York to do abortions so I think I’ll get me a little room in an alley and I’m open for business New York you are now treading on dangerous ground it seems your city has no morals #NewYorkAbortions
16,"Jersey Alley off of Mulberry Street, between Prince and Houston Streets. The Old St Patrick Cathedral's graveyard is behind the fence in the background. Over that fence was the home run zone.  Leonard Freed - Stickball in Little Italy, New York City 1956"
17,"Jersey Alley off of Mulberry Street, between Prince and Houston Streets.The Old St Patrick's Cathedral's graveyard is behind the fence in the background that was the home run zone.Leonard Freed - Stickball in Little Italy, New York City 1956"
18,"One of the smallest museums in New York City is this one room place, not even on a street but in an alley a little west of Chinatown.@Mmuseumm#NYCTuesdayTourChat"
19,"Wondering what Little Alley, New York City, NY is like? Here’s my @TripSkyscanner postcard: http://bit.ly/2oDNsSe"
20,"@Global_Gaz Gaz, thanks for following.  You'll get daily #NYC #travel and #tourism updates & pics.http://oconnorgreentoursnyc.comThe smallest Museum in New York City is just one little room in an alley near Chinatown.#Mmuseumm"
21,"Little Torunn hid quietly, she had found a hiding place on Midgard. She had run off from home.. into a cold and dirty alley way in the city of New York.@Rogue_Mischief"
22,Found this little #devil this morning in #newyorkcity ;) in a hidden driveway/alley #grafitti… https://instagram.com/p/BIH-aJYAoJu/
23,RT https://twitter.com/AspiringMedia/status/688190498058571776… A little bit of #newyorkcity in a #Eastvan alley #streetcolour #streetphotography #str… https://instagram.com/p/BAQJr_SjsTq/
24,A little bit of #newyorkcity in a #Eastvan alley #streetcolour #streetphotography #streetart… https://instagram.com/p/BAQJr_SjsTq/
25,RT https://twitter.com/AspiringMedia/status/685206463581667330… A little bit of #newyorkcity in a #Eastvan alley #streetcolour #streetphotography #str… https://instagram.com/p/BAQJr_SjsTq/
26,I'm a sucker for holiday stories and love New York City and little gem sounds right up my alley. It's only $1.99! http://amzn.to/1TFCYIG
27,Alley Theatre's Little One drawing raves in New York City - http://goo.gl/alerts/aJwC #GoogleAlerts
28,"New York City, June 3, 2015: ★★★ A sunbeam came through the mottled cloud cover and found the little alley whe... http://bit.ly/1QuEgUc"
29,"@davidbadash Tornado watch? In New York City? That's a bit odd. But having lived in Tornado Alley a while, a ""watch"" means little to nothing"
30,Last Saturday we lunched at Little Alley. I had eaten here several times and wanted friends to enjoy the food too. Carole ordered the Shanghai Pan Fried Noodles which unfortunately did not have enough vegetables but consisted mostly of thick noodles. Eden had an Eel dish that she enjoyed. I savored Crystal Shrimp Dumplings with delicate translucent skin that melted in my mouth. For a main course the sautéed green beans with pork and dried red chili was both pungent and aromatic. The ladies had lychee martinis which wasn’t traditionally made and I had a glass of rosé wine. We stayed to enjoy a lovely meal where the service was good.
31,"Excellent Shanghainese gem in Murray Hill. The soup dumplings are delicious - great taste, soup and the right proportion of filling. The sausage fried rice is not oily at all. The pak choy was really fresh and nicely stirfried. Chicken dumplings were also really good. Just don’t order the shrimp dumplings - as expected it is not Shanghainese food so not of the same quality."
32,"Back to Little Alley after two years on our first visit back to NY - certainly wonderful to see that it's weathered the storm of the pandemic. We were meeting some friends who'd never been here before so it was also good that the place accepts reservations. Inside it seemed the decor is a bit different, maybe simpler than before, and at least on this evening didn't see anyone at the dumpling station making them on the spot although the station is still there so maybe they still do it on certain days.  This is the week when most pandemic restrictions are eased but the tables here still seem more distanced than before which is good. On a weekday evening at 6 it was relatively quiet but by the time we left the place was full. We ordered the soup dumplings (very juicy), ma lan tou (good presentation but the greens not as fragrant as I expected), bean curd wrap, Shanghai Shuma (very good), sweet and sour pork (very crispy), chicken with hot chili and griddle prawns - the last two were super spicy, you wouldn't expect such heat from a Shanghainese restaurant, the griddle prawns had enough chili peppers in them to flavor a couple more dishes (which was what I did - packed up the leftovers with all the chili which provided abundant tasty seasoning for a couple of veggie dishes back home). Prices seem a bit higher than before - we averaged about $45/pp before tip."
33,Came here with my mom who grew up in Shanghai. We both absolutely loved the food and she confirmed that it is truly authentic Shanghainese style.  The waiters were super nice and very attentive. The cutlery matches the restaurant style and decor.  Long story short- a restaurant that should be on your NYC restaurant bucket list!
34,"Extremely friendly staff, clean restaurant, great ambiance and the food is amazing at a reasonable price for NYC. I recommend it for business or family diner/lunch."
35,Little Alley had always been on my list of Chinese restaurants to try. Now as they are featured in the 2021 Michelin Bib Gourmand awards I thought it was best to try it. Both visits I had the soup dumplings. The skin is far too thick unlike the excellent ones at The Bao but the meat and broth are quite tasty. A lunch special of green beans with ground meat had lots of red chili skins in it. It wasn’t hot for me but I felt that the meat was not enough although the beans were nicely blustered. Hot and sour soup and a spring roll came with the lunch. The brown rice was tasty. Service is attentive here. The interior lacks charm but now they are in the Michelin Guide which is a plus point. Regular menu items are quite expensive.
36,"Sorry we did not find this previously - now only get to nyc yearly. Former residents of the area - need to get our ""city fix"" whenever we can."
37,"Meeeh. Good food but this is NYC...there are plenty of better Chinese restaurants in town. And compared to what it offers, way overpriced. Sorry..."
38,We have been here about four times and everything we have had has always been delicious. My favorite dish is the minced mushrooms wrapped in tofu skins.
39,A nice and relaxing ambient where to eat delicious dumplings. Fried or steamed. Veggie or meaty. Dry or juicy. The mune offers many choice.
40,"We tried their dishes twice recently. One time at the restaurant one time take out.  Xiso Long Bao was acceptable, Stir fried beef was soggy, we anticipated a crispy dish. We have now learnt that always ask before order.  For the take out we ordered pork dumplings - awful dish with thick dough cover. Fried rice - nothing special Spring beans with minced Pork - bad Sautéed Chicken with Chili - really not very much chicken - 90 % chili and small burnt chicken pieces!!!  The rating has improved from C to A the food and dishes has gone from B to D!"
41,"This restaurant is described as ""a Shanghainese chef's place for soup dumplings & traditional plates in a brick-walled setting."" While visiting NYC, this restaurant was recommended by a friend. The food is outstanding!!! We ordered marinated cucumbers for the appetizer. For lunch, we ordered shrimp dumplings, pork dumplings and Tsunami Shelter Garlic Shrimp. Everything was so good, service was great. It seems that some of the wait staff speaks Mandarin, which was a pleasant surprise to an older couple that came in for lunch after we were seated, and had a grand time speaking Mandarin with the wait staff."
42,"The service was good but the food is only OK: nothing wrong it with it, but nothing was great either."
43,The food is very good and tasty. Tried the scallion pancakes and the soup dumplings. Enjoyed all of them. Service was prompt and friendly and the restaurant has a nice ambiance.
44,"Our first day in Manhattan we met our buddy who works in town for lunch. He found this place on Zagat and said let's try it. Yea, team! We got there about 1:30 so not crowded. We had the crab soup dumplings to start $10, yum! My wife and I had the Pork in Garlic Sauce ($11 each) which we loved. Our friend had the Eggplant in Garlic Sauce (10) which I tried and give a thumbs up. Our dishes came with Spring Roll, rice and a baby cucumber soup as a rice for my wife (she loved) With tea, diet coke and chardonnay for my wife we clocked out at $71.33. In my mind a brilliant use of money. I give it a five for delicious great value."
45,"The service was prompt, but the food leaves tus be desired. It was so so but everything we ordered was rather bland. The least bad was the wonton soup. I had potential to be much better."
46,"What a surprise to find this wonderful little restaurant with Shanghai cuisine in midtown Manhattan! Some of the best soup dumplings I have ever had, made fresh daily by a lady in the back of the restaurant. Delicious and different creative cocktails. Extensive menu with dishes that one rarelty sees in Chinese restaurants. Really enjoyed the perfectly prepared cod with mushrooms and ham, as well as the perfectly prepared pea shoots sauteed in garlic. I cannot wait to return to try other dishes, vegetables and dim sum."
47,We were in NYC experiencing Christmas time and looking for a place for quick food. We googled and chose this place just two blocks away. Such a cute place with very friendly service. The food served very fast and we were super satisfied.
48,"Great Chinese/Shanghai food. Most of the dishes we tasted (we were 6 and ordered to share - which is recommended) were great, if not outstanding. Kind of nice vibe in the restaurant, casual, family friendly and service was very on point. Not the best service in the world, but very good. Recommend as it is also not too expensive."
49,"Little Alley offers delicious Chinese food with an emphasis on dishes from the Shanghai region of China. The menu is large with appetizers, entrees, rice and noodles dishes as well as dim sum. The restaurant is small so reservations are essential. In one corner of the room a chef is preparing dumplings which are then sent back into the kitchen for steaming. All of our choices were very flavorful. Make sure your chopstick skills are practiced before you go. There is a full beer/wine/cocktail menu. Service was very professional and prices were reasonable."
50,We visited this restaurant the first time last year. The food is not bad but why the C rating? This C rating has been all the time since they started to get rated. Why do they take away the C rating sign quite often?  I asked them regarding the rating and was told it was because that the staff in the kitchen did not have a cap or a hat on!!! C rating means in this case 37 violations. Is it safe to visit this place?
