,opinions
0,"Having visited twice it was time for a review. Superb traditional style London cafe in cosy surroundings with a log burner in the downstairs dining area. Very friendly staff and genuine, home cooked food. There is also an upstairs dining area.  The choice of breakfasts is amazing and from the set menu you also get toast and a hot drink for around £9.00.  Be warned, its a very busy little place and very popular with a wide range of people from locals, tourists to construction workers and is well deserved. So you may have to wait to find a table. Afiyet Olsun."
1,"I have just spent the weekend in Central London celebrating my 40th birthday. Our group was staying down hhe road from Spitalfields, so we came across Cafe Nora when we were looking for a place for breakfast.  This cute little cafe is very cosy and we were unsure if they would fit our group of 7 in, but they did. The menu was quite extensive, with a range of drinks to boot. We quickly made our choices and our orders were taken shortly after. We were not disappointed!  Several of us went for the Turkish Hash Brown and it was delicious! A great balance of potato, eggs, halloumi and sucek was a treat. Others of our group went with a full english and scrambled eggs on toast and everyone finished their food. The freshley squeezed orange juice, coffees and teas went down well too.  On top of this, the staff were lovely and it is just one of those places which are often quite hard to find in the heart of a commercial area.  The cafe was so good, a group of us went back again the day after to try different food, this time we squeezed in upstairs (a handful of tables up there).  Thank you so much for accommodating us and providing two days of great breakfasts: We will definitely be back if we are in the area."
2,Amazing little cafe with food cooked to perfection and lovely staff. Went for breakfast with the family and all of us loved it. Definitely we will visit again.
3,Came here for an English breakfast after reading the reviews here. Everything is good and the staff are really friendly. A comfortable place with fair price.
4,Really lovely food. Well made plenty of it. A good variety on the card. A small and super cozy place. The staff was really helpful.
5,"We have just been here for breakfast after reading the reviews. It was lovely, great choice of breakfast, big mugs of coffee and amazing service. No hesitation recommending this place"
6,"Nora’s cafe probably the best service I have rated in London! I requested for a fully cooked egg, nothing raw. I think I might use the wrong word, instead of fully cooked, I should ask for well done egg, my bad. The staff wearing a mustard scrunchie did something amazed us. She asked to translate in Google to make her understand what is a fully cooked egg; when the dishes served, she followed up with me if I’m fine with the egg, she asked kitchen to prepare a plate of scrambled eggs just to ensure I have the well done egg for breakfast! Shop was decorated like a lovely living room with dining tables in it. Everything is soooo good and make us feel home. Keep it up your good work Nora’s cafe <3"
7,Tiny little cafe punching above its weight space wise to serve excellent breakfasts and warm hospitality. Great little find whilst staying in E1.
8,we came for brunch and we’re not disappointed. the dishes were really good and so tasty. the staff are friendly. 👍 very cosy place. fair price.
9,"we traveled all the way from Heathrow for a random Sunday breakfast after reading reviews and thought we must try this. it was a well nice hidden cafe. we got a table in under a minute and the staff were very attentive even though they were busy. from the beginning to end it was all good and great. my 8 year old son was looked after, and enjoyed the sweet treats and the end at the till when leaving. a very friendly, busy bustling cafe, and great service does not go missing. its a cosy cute place and everyone there knows a great breakfast it seems. I was not alone. nice family run cafe and upstairs was a good thing. will return for sure one day again."
10,We had breakfast at this cosy cafe. Ordered the breakfast sets that were £7.95 each. All well cooked and we were pleasantly surprised that the cafe lattes we ordered were included in the breakfast sets. I only had to top up £0.75 for the soy milk in my coffee. Overall fantastic value. Will way here again the next time i visit london.
11,"I’m so delighted we stumbled upon Nora this year. The most homely and welcoming cafe in the whole of London, and I’m confident it’s the best fry up too.  We always look forward to our weekly trips here, everyone is so lovely. Amazing every time ❤️"
12,"Excellent breakfast - again! Have visited many times, always very satisfied - friendly staff, very good choice of meals. Highly recommended the the set breakfasts"
13,"A beautiful cafe with great tasting food , love the freshly squeezed orange juice to the big cup of coffee 😄. This place is fast becoming a lunchtime venue . Great value for money and the staff are friendly ."
14,Good value for the price. Fast service and really good and big coffee that comes with it. The only minus is the bathroom which wasnt the cleanest without toilet paper but at least it was there.
15,"Great food, service and value for money. The inside dining area is warm and and Thoroughly recommend."
16,"Visited this delightful Cafe today and had a delicious range of breakfasts, coffee and freshly squeezed orange juice. Thank you to all that looked after us today."
17,"At last, a proper café serving a decent, filling breakfast. No frills, just good cooked food with a friendly welcome. So glad I found this place after reading TA reviews. My veggie breakfast and a cup of tea with change from £10."
18,"Nora's Café is literally place to be! Old school interior, lovely personal and really good food for super affordable prices."
19,"We had a choice of this or another cafe across the street. Thankfully we chose this one. Good service, lovely food, nice surroundings and it's in a bustling part of London. Cannot say anything bad about the place. We'll remember this for next time."
20,"Nora’s Cafe has the best breakfast and coffee in Whitechapel. We stayed in London for a week and visited this cafe many times, trying different dishes - and they were all delicious. The owner is very charming and witty, and made us feel very welcome."
21,"I have visited Nora Cafe on many occasions between 6 June 2021 and 18 September 2022. I have ALWAYS found the staff to be most welcoming, friendly and helpful. The selection of food is extensive, the taste delicious and the prices very reasonable. Nora Cafe is an absolute gem and so it must continue."
22,Was at Nora’s twice during my stay - totally enjoyed the exceptional hospitality of Nora and her team and the homely ambience of the cafe. Food is great too but its so much more enjoyable because of her hospitality !
23,"We were fortunate enough to spend 3 nights in London and find this cafe a few minutes away. We ate all 3 breakfasts here and enjoyed each one. The Eggs Benedict were the best I’ve ever had and you must try their fresh squeezed orange juice. We also had paninis on the last full day. The café always had lots of locals which I think is a good sign. You want to eat with a locals eat. Prices were reasonable, the portion size was great, everything was fresh and tasty. Highest recommendation for this cafe."
24,"Delicious food, great service and very reasonable prices. Would recommend the cooked breakfast with bubble and squeak."
25,Great experience. Went based on strong TA reviews. Very pleased. Had the Spanish hash. Very flavorful. Good coffee. service was friendly. Strongly recommend
26,"Just to start off, the food was brilliant. After lurking around on this website and since I was in the area for a meeting later, I had to visit. There did seem to be a lot of workers like me and the staff were nice to everyone which was welcoming. I asked if I could have bolognese with my omelette and they said they were happy to tell the chef. Honestly the food made me feel like I was back home in my mum's kitchen. Also, the orange juice was the freshest I've had at a cafe! I'll for sure visit again when I'm in the area again.  Thanks Nora!"
27,"Found by chance as down a side street and doesn't look that desirable area, BUT GO, fantastic people great food amazing value just great, we stayed at Travellodge round the corner and ate breakfast each day here #superb"
28,"We’re staying just around the corner at Travelodge and decided to give this little cafe a try after seeing some good reviews. What an absolute gem of a place, delicious home cooked food and the staff were lovely and friendly. Everything we saw looked amazing. We’re here for one more night and will definitely be back. Just one thing, it’s quite small inside so if more than 2 people it might be worth calling ahead to reserve a table. No fotos sorry we were too hungry"
29,"What a gem, super friendly, delicious food, plenty of choice and all in cosy surroundings. A pity our stay in the area wasn’t longer!!!"
30,"what a wonderfull place to eat perfect foods and drink delicious coffee. Staff and Nora are so kindfull . Prices are little, dishes are big. When i go to the spitalfield market , i usually eat here . Thank you all of you Nora Cafe"
31,"A great place for a quiet, traditional British fried breakfast. Very friendly staff who make you feel very welcome"
32,Excellent choice of breakfasts. Lovely cafe with friendly service. Really close to travel lodge city centre. Good value too.
33,"Was wondering down London with my daughter when I stumbled across this lovely cafe. It’s aesthetically pleasing on the outside, and immediately caught my eye. It is a traditional English cafe, with the inside being just as nice on the outside. Loads of choices to pick from on the menu, and even though it was very busy, the food arrived promptly. Very fresh and delicious. Everyone seemed happy with their meal in the cozy environment. Will definitely visit again and recommend to anyone and everyone. Thanks Nora☺️ see you soon."
34,"3 of us visited for breakfast on each of the 3 mornings we were in the area. Very handy for Travelodge residents.  Extensive menu, something for everyone, served by friendly obliging staff. The Potato Hash was wonderful.  We would definitely return when next in the area."
35,"Comfortable and friendly cafe with lots of choice on the menu, including good veggie and vegan options. We will return."
36,I come at least once per week here and I am always welcome. The food is amazing and the customer is excellent I recommand 100%
37,Had a bacon and sausage baguette for breakfast. Good quality food and a perfectly sized portion for a fair price. Coffee is nice as well. Will be back
38,"In London for a long weekend, and always stay at the PI at Aldgate. Looking up TA to see were there any cafe's locally, and Nora come out tops !!  An amazing find just off Middlesex St, ( the far end of '' Petticoat Lane ) a warm welcome, superb coffee, and wow the breakfast. First day I gave the poached eggs and salmon, and returning on the Monday just went for poached egg and bacon. First class produce well presented. Must mention too the '' Freshly sqeezed orange juice '' and it IS ....  Long to return when next in London, in October for a concert"
39,Perfect place for breakfast. There is lots of choice and everything was very tasty. Full cooked breakfasts are around £8 and they have smaller options which are pretty big! E.g. my wife ordered toast with eggs and bacon for around £4. The drinks are large and well made. The staff are very nice as well.
40,"Always great food especially the omelettes and breakfasts. Very good price and always quick. Off the main streets so not too busy but always a good stream of people enjoying their food and drinks. Friendly staff, food cooked to order and a sweet when you pay!!! Perfect! Love our regular weekly visits to Cafe Nora!"
41,I love this place. The food was excellent and the waitstaff was so nice. I highly recommend it if you are in the area.
42,"This small hidden gem has amazing food, fair prices, and very friendly staff. I’d definitely recommend stopping in for breakfast at this comfortable and cute little cafe! I ordered eggs and toast and the portion was large, delicious, and under 10 pounds. I’ll definitely be a returning costumer, great service!"
43,"Finding comforting locations to orient yourself to while having your needs met can be a daunting task when traveling abroad to unfamiliar territories. Fortunately, TripAdvisor is apt at assisting individuals to set their bearings when straying far from the nest. If you are looking for a wholesome breakfast amongst a cozy milieu, Nora Café will suit you well. The clean and unassuming atmosphere offers exceedingly friendly service. It is always reassuring when establishments are able to accommodate severe food allergies as well. I will certainly return."
44,"I was in Nora Cafe with my family, we enjoy a lot, the food was super nice and Elif was super friendly. When we back to London, we are going come again!!"
45,"Very friendly service! Both ordered paninis. Sandwiches were a bit more charred than we’d prefer-burnt really. I’m sure had we asked them to be remade, they would have without complaint. The waitress really seemed to care that her customers truly were enjoying their food, but we had tour tickets and needed to go. Would come back and try something else from menu. ❤️"
46,"Frequently visit for lunch. Great choice on the menu, good value and friendly service. Highly recommended and we always come back…"
47,"We visited the cafe yesterday for breakfast based on reviews and we were not disappointed. Lovely little cafe, big portions (in hindsight we could have ordered less) and the pancakes were a huge hit with my boys. I would highly recommend and would love to go back. Service was super friendly too."
48,"What a lovely little cafe this is, we were looking for somewhere for breakfast and found this on Trip Advisor, it lives up to the many 5 star ratings, there was loads of choice for breakfast. The food was very tasty and cooked fresh to order. It was so nice we came back the following morning too."
49,"Nora Cafe has become a must for breakfast every time we’re in London. The welcome, atmosphere and incredible breakfast knocks spots off any hotel breakfast - which we now give a miss! Highly recommend as part of your visit to London - definitely adds to the experience"
50,Always great service and of course wonderful food! Best cafe in the city! Breakfast lunch and dinner ;)
51,Amazing cafe near Brick Lane. Truly outstanding food at bargain ( for London ) prices. Had the breakfast hash which was a taste sensation. The ingredients were all top notch quality. My wife had the avocado mills smash which was nice but I did catch her envious glances towards my dish! Even the tea was lovely and only £1.50! Two great brekkies and drinks under £30. Can’t wait to go back !
52,Literally one of the best cafes where i had breakfast/ lunch! lovely staff and a nice environment :) Really cheap and delicious.
53,"Called at Nora's at lunchtime and was welcomed by very friendly staff. I ordered the breakfast potato hash and it was amazing... sublime.. I could talk about it at length because I just loved it. When I return to London it will be a priority to get back to this gem. My husband ordered chicken salad and he loved it. I am sure other dishes on the menu are incredible as well as dishes that other people had ordered looked lovely. Finally, I went to visit the toilet upstairs which was very clean."
54,"Elif was extremely accomodating to mine and my colleague's request to be sat upstairs, going that extra mile to make this experience an amazing one! Food and coffee was of course spot on, thank you very much!"
55,Great fresh food.. Polite and helpful staff.. Massive portions.. Can have a full English or spag bol or eggs benedict.. Really good variety.. Thanks and keep it up!
56,"Me and a friend were looking for places to eat breakfast in London and decided to try Nora Café due to its proximity to Liverpool Street and its positive reviews. We decided to eat our breakfast outside and were greated by the lovely smell of a spicy omelette from the gentleman behind us. We were also surprised by the low prices of the food items on the menu for a London Café and the large array of choices. Even before eating, reading the menu was an incredibly heartwarming experience. Many of the food items including bubble and squeak and fried bread reminded of the delicious breakfast my mum makes when I am at home. I ordered the set 2 breakfast with fresh orange juice and tea and my friend ordered the set 5 breakfast with a can of Tango and some pancakes. The waitress who took our order was very pleasant and attentive. When our drinks came, I was extremely presently surprised to find that the orange juice was freshly made and not from a carton as seen in most other cafés. This is exsacty how my mum makes freshly squeezed juice at home. When the breakfasts came, we found them to be tasty and really good value for money. The portion sizes were perfect and the price of the breakfasts also included bread and butter or toast. The fried bread was also especially delicious and was just like my mum's fried bread at home. We were both surprised that our bills came to £11 per person for everything we had, especially in London! For many years, I have been unable to find any café which serves a cooked breakfast as good as my mum's breakfast. I have however finally found a place which makes me feel like I am at a home away from home thanks to their delicious breakfasts. This hidden gem near the bustling city financial district of Moorgate and London Liverpool Street Station, serves up the best full English breakfast I have ever eaten in a Café. It reminds me of my mum's delicious breakfast at home and I urge anyone in London to go here, no matter where you are!"
57,"So we went for breakfast but everything I saw I wanted to try, Homemade meat pies, burgers, pizzas and more. The waitress was friendly and had a excellent rapport with her customers who appeared to be regulars. Most people seemed to be workers and not tourists. One man wanted a meat pie and our waitress assured him that she had reminded the cook to make them, so that there was one for him."
58,"Being a coffee enthusiast or should I say ADDICT. I have stopped at many cafes either just on a walkabout or around my working locations (I am a temp, so i've been to lots of areas in London). I have to say Nora Cafe provides the most superb service. Whether it is breakfast, lunch or dinner, the food is cooked to everyones taste and so delicious and not forgetting the mention of coffee, well it certainly gets my highest vote. I have heard other customers comments to the staff whilst dining and they all seem happy and content with a full stomach. I have recommended this diner to everyone I know whom have visited this area and they have been grateful. Thank you to the owner, Elif and other staff for providing the best standard of dining."
59,Fantastic little cafe that serves some of the best food in the city. Me and my colleague go a few times a week for the omelettes and the smoothies. Well worth a visit.
60,"Another nice lunch at Nora Cafe, we come a couple of times a week as food and service all great, and good value for money. Pie and chips especially goes down a treat with my work colleague!!"
61,"Friendly, tasty, affordable! The café is small, but there's more seating upstairs. Vegetarian and vegan options exist. Had the vegetarian breakfast with home made bubbles and squeak, and it was well worth the price!"
62,"What a great place. Good food, reasonable prices, nice people and charming service. I highly recommend the hash browns and the Eggs Benedict Thanks !"
