,opinions
0,"#grandimaestridarte""Il mio scopo nel dipingere è sempre stata la più esatta trascrizione possibile della più intima impressione della natura""#EdwardHopper Edward Hopper - Soir Bleu (1914)Olio su tela: 91,4 × 182,9 cm.Whitney Museum of American Art, New York City"
1,Vegan pizza at Olio e Piu.  #vegan #NewYorkCity #vegetarian #summer #friends
2,"RT EaterNY ""Have you heard of Olio e Piu? It's the number one restaurant in New York City — according to TripAdvisorhttps://ny.eater.com/2019/12/5/20978234/tripadvisor-best-nyc-restaurant-rankings-scam…"""
3,Have you heard of Olio e Piu? It's the number one restaurant in New York City — according to TripAdvisorhttps://ny.eater.com/2019/12/5/20978234/tripadvisor-best-nyc-restaurant-rankings-scam…
4,"This restaurant, Olio E Piu, in Greenwich Village definitely has an old school Roman Holiday feel but with a modern twist on the dishes! #greenwichvillage #newyork #newyorkcity… https://instagram.com/p/BllUUH2jysg/?utm_source=ig_twitter_share&igshid=q4tw6uauxzzg…"
5,I like restaurants that feel like this. ...#newyork #newyorkcity #travel @ Olio e Piú https://instagram.com/p/BhzmOxXACdy/
6,#oldschool #greenwichvillage #italian #olioepiu #newyorkcity @ Olio e Piú https://instagram.com/p/BP84TegDEas/
7,"Wow what a city (@ Olio e Piú - @olioepiu in New York, NY) https://swarmapp.com/c/47k4ZOC3jaJ"
8,Malbec & pizza for lunch. Why not!  #newyorkcity #westvillage #olioepiú @ Olio e Piú http://instagram.com/p/xj8oAODL4P/
9,Gonna miss you New York. You truly are a SPECIAL city. Touchdown Dubai... @ Olio e Piú http://instagram.com/p/rJHPN7tr6G/
10,"New York, NY | OliO Pizza e Piu: Forget about Ray’s Original or Original Ray’s, the best pizza in New York City is... http://bit.ly/bBpdOH"
11,"OliO Pizza e Più - New York, NY 10011 - West Village Restaurant - NEW OPENING City Guides - 212-243-.. http://bit.ly/d3cYTZ"
12,"Late night pizza in New York City- Olio e Più opens Thursday, July 22nd in NY's West Village #pizza #ny"
13,I’m a regular at olio. Food is consistently top notch. Bolognese and carbonara are a must! Adam at the bar is great.
14,I couldn’t be more effusive with praise for this West Village situated Italian restaurant gem. It was wonderfully conducive for a romantic date. The food was delectable all around.
15,Such an amazing experience at Olie E Piu! We arrived around 9:45pm on a Sunday and were greeted by the kind hostess who promptly sat us. The atmosphere was lively yet suitable for a date night with soft music and beautiful lighting. Our server Adam assisted us with our ordering selection and his recommendations did not disappointed! The Burrata & Lemoncello Ravioli was delicious. And I also order Fusilli E Manzo for a second option. It too was absolutely delicious. Looking forward to my next vist!
16,"I liked the food the atmosphere is pleasant and cozy, the prices are good and our waiter Leandro had a very good service super attentive"
17,"Super cozy and the food is absolutely amazing! . Really nice Staff , waiter leandro is always cordial and super friendly! I recommend! would definitely come back."
18,"Let’s just say we were having a bad day and I came on trip advisor app to find a place which is warm, has good food and alcohol ( hey it’s Saturday !) and I have to say this place was THE BEST thing that happened to us during this weekend trip to NYC ❤️ let me start with the wine … Chianti was perfect pairing with the food, it was suggested by one of the warmest server I have met ( and I have travelled enough to say this … lol) Maria was kind and warm and detail oriented, thank you Maria for turning our day around ! Ok so back to the food the arugula salad was fresh and spot on and the pasta made me feel like I was at an Italian home …. Yet to have the desert … lol"
19,"The meal was fantastic and authentic, much like in Italy, which I adored. Excellent service was provided. The management and personnel made sure we had a wonderful day. We'll most definitely return!"
20,Loved eating at olio e piu! Had the margarita pizza and the sphagetti carbonara! Both amazing! Loved the service! Davidson was an amazing server and helped us with ordering!! Ashraf was also amazing!!! Will be back and next time I’ll be getting the lobster ravioli
21,"I was craving an expresso martini but not your typical vodka base ., i wanted jameson and after 3 fail attempts from local restaurants i found my new spot to bring friends and family! Adam the bartender was extremely helpful and made me what i asked for! The drink was delicious and satisfying.,  Will come again.,  Adam is the best"
22,Went here for a birthday dinner in December. Service is always great here and the food is amazing. Our fav place to eat in NYC. The pastas are so amazing. Only downside I would mention is I wish they had better desserts. Can't wait to go back!
23,"I had a great time in Italy, and the food here was authentic and delicious. The service was fantastic... The staff and management made certain that we had a pleasant visit. We will definitely return!"
