,opinions
0,"@petite_boucherie @claraicollins #moveoutnyu @nyutisch @ New York City, N.Y. https://instagram.com/p/CdZeJQMrOR8uKQZSg-Xv0TTcKGDK5mHSx1u6Zs0/?igshid=YTgzYjQ4ZTY=…"
1,Duck confit hash at Petite Boucherie before COVID-19. Brunch is an omelet at home for now! #nyc #newyorkcity #brunch #covid19
2,Cute little restaurant in the west village. Stumbled upon it with my best friend is visiting the city. Great drinks and welcoming staff. I will have to bring more friends in the future.
3,"It was a Great experience! Great Food, excellent Service and a Cosy atmosphere !!! A Perfect recommendation!"
4,Tiny little restaurant but it packs quite a punch. Onion soup is a must and I would also recommend the spicy shrimp linguine. 10/10 experience from the wait staff to the desserts. Will try to come back next time I’m in NYC with my wife.
5,In a calmer area of NYC - this little cosy restaurant is perfect for a bite. Loved it - good quality food and well priced !!
6,It’s a great spot to go with your partner for a date. Beautiful atmosphere and great service. The burrata was delicious. Coming back for sure
7,"We seat at the bar and the service was great, we share the mussels and the onion soup, one of the best we ever had definitely."
8,The server was so great and I enjoyed every piece of food at this place. Highly recommended both for lunch and dinner
9,Beautiful restaurant and delicious French food. Very nice atmosphere and very professional and nice server Dan. Thank you for this wonderful experience. I recommend.
10,"Me and my friends we went to this French bistro and we loved their food and drinks. We had an amazing time and definitely we will be back. One thing you must try is trout, very very tasty"
11,"A great experience, super fresh food and excellent service, the place is very well decorated in the French style, I loved it, 100% recommended"
12,"Highly recommended!!! Delicious food, efficient and friendly customer service, especially Evica , and great atmosphere! In other words, a place to enjoy and make memories!"
13,"When we were visiting America, in addition to other beautiful places, I have to mention you as a renowned restaurant, that day when our relatives brought us for lunch, I am a big fan of roast pork, you amazed me with your skillful cuisine, a wonderful atmosphere with your kind staff, big praise for your esteemed Eva, with a big smile on her face you served us impeccably and tirelessly. I highly recommend and every next occasion is inevitably my presence again with my family  have wonderful moments"
14,"We were some friends, and had full courses. The waiter was really nice and on point and took good care of us, and the food was fresh and tasty. The wine, also worth it!"
15,Amazing place to enjoy dinner and lunch the staff are amazing excellent service and Evica is an amazing person with her team. Highly recommend the restaurant.
16,"Definitely one of the best places I've been in New York.The food is delicious and the staff cannot be more polite,helpful,fun and most of all professional. Kudos to all the staff especially the blond lady Eva who made sure our family had unforgettable experience."
17,"Going in Petite Boucherie in NYC it made me feel like I am in Paris in a same time . Such a cozy place, staff is so warm ambience is amazing . They have the best cocktails highly reccommend La Vie En Rose and must try the french onion soup ! Thank you Eva ! We will come back"
18,"My family and I visited Petite for dinner and we had such a great time! The food was delicious, so flavorful. We ordered the escargots, the lamb chops, and the linguini pasta. The servers were super accommodating and kind. The atmosphere was lovely and it was not too loud either. 100% recommend! Thank you staff of Petite, we’ll be returning back!"
19,We come here every time we come to the city !!! My most favorite spot. The staff is sooo welcoming and professional. One of the best hamburgers I have ever had. I also love the charcuterie plate. Oops and the Pinot Noir! Please stop by. Excellent!
20,"On our last visit to NYC, we stumbled onto Petite Boucherie. From the second we walked in, we knew we found a gem. The restaurant is small, quaint very cozy and reminded us of our favorite bistro in Paris. What makes this restaurant so special is the staff. Dan and Paola, we love you. Our last visit was one year ago to the day. We will definitely be back on November 27, 2023. As for the food, the rack of lamb was crazy!!!!"
21,"My partner and I have been to boucherie many times and it was our first time at the petite location. I absolutely love the ambience at this location. This one has around 15 tables and is very intimate. You can tell how much detail each server puts into each table here. My favorite thing here is definitely the ravioli, if you like truffle is a MUST! Before moving back to NYC it was the highlight of my trip. Special thanks to Eva, as she made our date night very special. She knew we were celebrating and even brought over one of their boucherie books that now proudly sits on our coffee table! I love how much each person enjoys working here and how kind they are. I can’t recommend boucherie enough, and now I have to say go to the petite location!"
22,"Excellent service, the place is lovely and the food is delicious. Ask for Daniel when you come in. You’ll love it."
23,Really yummy thanksgiving meal!! Great service and great food in a very cute area of West Village :)
24,"Merely awful….. Nothing in this so called restaurant is worth the huge amount of bucks you will leave in… The most significant thing is the poor quality of meat. Would it be with the burger (which litteraly stinks) or the Tartare, which is so salted that is suspicious, this restaurant’s reputation, if a y, is far from beeing justified. It took me nearly one day to get rid of that awful taste in my mouth, and since, I’m praying not to get sick about."
25,Great classic French food! Very good service ran by Ozzy and William! Wonderful setting and location! The escargot and pate were incredible
26,"I went here with a group of girlfriends to celebrate a birthday, and it was a perfect quintessential New York night. I’ve been living in New York for many years, and I love going to Petite Boucherie, the service is always on point, the food is always delicious, and it is just the right size to feel the energy of those around you and feel the energy and personality of the village, without being overwhelming or too loud. I absolutely love the location, as it is a perfect walking distance from the subway, along with many other local attractions that make for a perfect girls night out. We loved the charcuterie board, the burger, and of course the onion soup and escargot which, in my humble opinion, are THE BEST IN THE CITY. if you’re traveling through NYC, be sure to stop here for brunch, lunch or dinner."
27,Dan was super friendly and accommodating! We ordered the onion soup as a starter and had the Ravioli as a main course. The crème brûlée was so yummy. We’ll definitely be back soon!
28,"The place is so romantic, especially at night time. I went there with ny best friend last night and we had an incredible time."
29,"High price for mediocre food. Ordered a couple steaks with frites. The meat was unevenly cooked, and the fries with ketchup tasted like McDonald’s. Furthermore, the mussels was of medium quality, but for a twist suprise the ravioli was really good and boosting this review to a three star instead of two."
30,"Cute little restaurant with delicious food. We had the lamb which was perfectly made and very tasty. Called in advance to reserve a table, probably not needed for the Monday when we visited. Friendly waitress and an overall romantic experience. Would absolutely recommend!"
31,"Great brunch experience with my family, escargots and Steak frites it’s a must to have, thank you so much Boucherie for being so special with us"
32,"My husband and I were walking in the area and stopped by for an early lunch. We had a croque madame and a croque champignons, each with a poached egg on top. They were both delicious and accompanied by a small salad. We had a glass of rose each. Very good service and wonderful atmosphere and food!"
33,"It's the American version of a French restaurant, but never comparable to a real French restaurant. The sauce of the Bourguignon was so strong that we everything else on the plate 'disappeared'. The Stake Tartar was very boring, comes with a quail egg, not even a mollet egg. Not tasty at all. The fries are very American, with a lot of oil, and served with a regular ketchup. Pricey and very bad. Don't trust this foolish rate on TripAdvisor. The place and atmosphere although is good."
34,"This place is great! Fast service, kind and helpful staff, and delicious food! I had the steak aux oeufs, and I can’t wait to come back!"
35,"Beautiful ambiences, delicious food and drinks, fast and friendly service. A west village gem and would recommend to anyone"
36,"I sat at the bar and enjoyed a meal and aperol spritz in such a lovely ambience with upbeat jazz playing and a cool breeze. First I had the warmest welcome by the hostess, Clarissa, then I was served kindly and attentively by the bartender, Daniel. It was overall a great experience and can’t wait to be back!"
37,"the atmosphere and service were phenomenal, food and excellent drinks. ideal for dinner or dinner……. Really I’ll come back"
38,"We were there on a rainy Saturday and although we could only get a table outdoors we still enjoyed our lunch. The service was excellent and the food very good. We enjoyed the onion soup, escargot, steak & fries, creme brulée and chocolate cake. Reservations a must."
39,This is place is amazing ! Steak fritz is just  Atmosphere is so cool and relaxing even though you are in the west village …. I will come back
40,"Amazing experience! Sat at the bar to have a drink and I ended up having a 3 course meal! Great service from bartender Denny, he was very attentive and sweet with me and everyone at the bar. Food was very good too and came out o perfect timing. Definitely coming back to this tiny and cute place in west village."
41,"We had a delicious dinner, with excellent service. We sat in the outdoor area and it was cosy and atmospheric. A good time had by all!"
42,I visited with a friend and first start to finish the service was fantastic! Claudia was our server and she went above and beyond with great recommendations! She recommend a beautiful Chardonnay and lemon tart. Will definitely be back here!!
43,Great service. Great good. Lovely atmosphere. Lemon tart for dessert was divine. Loved the Le vie en rose cocktail also.
44,"such a lovely place with amazing food and ambiance ❣️ Paola gave exceptional service, I’ll be back to this charming corner"
45,"Great attention!! excellent food and cocktails! The bartender was awesome!! If you are in nyc, that place is a must in the bucket list"
46,Visited from Seattle and stopped here for a couple drinks! And it ended up being one of my best experiences in nyc! Food and drinks are amazing + staff gave me the best service I’ve had! Must try if you are around! Ask for Daniel the bartender!
47,"Very cute looking place but what is the most important the service was immaculate. Friendly staff and delicious food, a perfect combo!"
48,"The atmosphere was amazing. Daniel was our Bartender and took great care of us. Made amazing cocktails. We ordered the Ratatouille and the Burger, was phenomenal. The manager Jelena hustles to make sure she talks to all the guests and the experience is top notch. Will definitely be back Next week for my weekly friends get together!! Thanks guys!"
49,The service could not have been better and the atmosphere was stunning. The drinks were delicious and the bread is next to none. I would highly recommend here to anyone.
50,"This is always the perfect solution to the eternal question “Where to go?” Delicious food, paired with exquisite cocktails (the Provence Martini is a must-try) & warm and welcoming staff make this spot perfect for the everyday meal and for special occasions alike."
51,"We have visited France several times in the last year, yet this French Bistro tops them. My wife had the Chateaubriand ( she’s from Texas and kowns her beef) and said it was the best steak she’s had in years! All our meals were delicious, the cocktails satisfying ( La rose en vie was a highlight) , and the shared desserts a perfect ending. We called the manager ( Eva) over at the end of the meal to compliment her on our overall experience. She approached the table with trepidation, because who bothers to say anything positive anymore… she was giddy in her reaction , and the whole team deserves it. Highly recommend!"
52,Excelent service food and drinks amazing Luis and Daniel make it better we have some drinks and food !!
53,"Good food, good drinks. We sat at the bar initially since we arrived early for our reservation. We got the steak tartare, moules frites, and burrara salad."
54,Great service from Claudia! Beautiful place to hangout. The Boucherie Old fashioned it's just a must.
55,"Such a lovely experience - really delicious food, lovely atmosphere. Server Claudia was brilliant and so friendly!! Really recommend."
56,As a French person I was very impressed by the quality of the food at Petite Boucherie. The burger is phenomenal and so are the mussels. To top it all off our server Antonio was absolutely lovely. Highly recommend!
57,Amazing atmosphere! The food is incredible. The staff are so friendly and accommodating. My favorite spot in the city.
58,"A very cute French restaurant with intimate settings, dimmed lights and delicious tasting food. I had the lamb ratatouille and mussels that were phenomenal. Will def me coming back!"
59,"The meal of mussels and lamb sausage was delightful. Our server, Roberto, went above and beyond to show us wonderful time. Will be back again"
60,Wonderful experience and good service! Had the mussels and onion soup and it tasted amazing. Definitely would recommend!
61,"The food was really great! I had the French onion soup and the ravioli, and for dessert, the lemon tart. Will definitely come back again!"
62,"Excellent, menu choices top shelf, excellent pie hole watering area, big branch down the street, I’ve done both, 1 bathroom though……."
63,"The bartenders and staff. Obviously this is the best vibe in NYC, but the staff truly makes it. Daniel is our favorite and we only go when he is working! Everyone is so friendly, genuinely. And the food and drinks are SO GOOD."
64,"We went with a friends for a dinner. We were in the city for a few days. The whole ambience , cocktails, food were outstanding . The lady who served us Paola she was fabulous. Thank you Boucherie Team thank you Paola !"
65,"Lovely spot! One of my favorite in the west village. Cocktails are so good. The staff is always so welcoming, would recommend for a romantic dinner or brunch with friends on the weekend."
