,opinions
0,#piccolacucina #newyorkcity #newyork @Cucina_Piccola #yummy #foodstagram #instadaily#instamood #restaurant #nyc @ Piccola Cucina Estiatorio https://instagram.com/p/BnH1GPDFLPk/?utm_source=ig_twitter_share&igshid=1tbi96zyxkwcb…
1,"I’ve been here a few times already with different friends and family, and it’s always been an excellent experience! The food is just delicious! Great service and atmosphere. As an Italian who lives in NY, I highly recommend this restaurant as one of the best and authentic Italian restaurants in the city."
2,This place is so amazing! The quality and service are top notch. My favorite Italian restaurant in all of NYC. The servers are so kind and the chef comes around to check often - he is very kind and passionate!
3,"… Yes please! Service was impeccable, food was delicious. Yes reservations are required. My only one tiny complaint is that it was so hot inside for me, I should have worn a tank top Even though tables are super close to you, it doesn’t feel intrusive. It is very loud so your conversation can still somewhat be private. The artichoke appetizer was divine as well as whatever my sister got but I can’t remember ! It’s in my pic ;) Would definitely return and recommend."
4,"The service, staff, and food are incredible and the atmosphere is lovely. Have been going for years a"
5,"I was ecstatic to enter this well regarded eatery. Visits are undoubtedly worthwhile for the food. We ate lasagna, cacio e pepe, and a Greek salad. Both delicious and filling. The only issue would be the loud music, which felt more like it belonged in a nightclub than a restaurant. The server was also excellent and I will go back."
6,One of my favorite restaurants in nyc. Food is delicious and staff is just the best. Highly recommended for any occasion! My go-to spot in Soho!
7,Piccola Cuccina is one of my favorite restaurants in NYC. Love all their locations. Great food and service.
8,"This place is full of warmth, charm, and italian love. Food is amazing and this is our 3rd visit when we are in the Village and has become our favorite. Must go and plan accordingly in advance. You wont be disappointed, you'll meet new friends, and experience the authentic, fresh, deliciousness of Italy. Great for cold nights, cozy and warm! Amore!"
9,"My love story with this restaurant starts in NYC 4 years ago and since that time I've shot them all, even Ibiza and every time it was amazing! Chef Gioele is the top, a 100% Italian restaurant, it took such a place in the world! Go eat in this place!!!"
10,"Excellent food and vibe! The taste is really Italian, small and cute place for a date with your partner or friends. The chef and the staff are so friendly and welcoming. I will come back for sure!"
11,"We had a really good service. The octopus was great and soft, different from all the places I’ve tried in NY. 10/10 recommended"
