,opinions
0,"My family visited the restaurant for dinner and had the 9-course meal. Mathias (I really hope that I’m spelling this correctly) was very professional and kind, and the food was phenomenal. We sat right next to the open kitchen and that was a great experience too. Everyone was very welcoming and kind, and it was great to be able to speak to chef as well. Would definitely recommend this place, and would love to visit again in the future. Thank you for an amazing experience!"
1,"Excellent, high quality dining experience. If you are looking for an outstanding dinner experience, then this is the place!!! The food was exactly what one expects from a great French Chef. Plates with the perfect combination of contrasting flavors, each one served more elegantly than the next. We have traveled the world over the past 40 years, and this was clearly one of our best overall dining experiences. The staff are equally attentive and cater to your each and every need! The service is very well orchestrated, and done in a sophisticated and elegant manner - top notch!! We also had the wine pairing, which was also delightful."
2,"In Pur, I had one of my favorite dinners ever. The multi-course ""Carnet de voyage"" tasting menu with complementary wines was what I ordered. It was excellent! All of the courses were delectable, artfully presented, and exquisitely paired with wines. Excellent service was provided. Nina and Camille were really kind, considerate, and professional. This place is fantastic for a classy evening in Paris, in my opinion."
3,"My fiancé and I had dinner in between Christmas and New Year's Eve on our engagement trip in Paris and it was a wonderful experience. We indulged in the special holiday 9 course tasting menu and also splurged on the wine pairing. All of the food was excellent - the flavors were complex yet not overpowering, and every single dish was delicious. The service was also outstanding - our server was charming and attentive yet not overbearing, and explained every dish in an approachable manner. The wine pairing was also excellent and the sommelier, I believe his name was James, was terrific. The restaurant manager, I believe his name was Jean-Baptiste, was also warm and hospitable, and allowed us to take photos in the kitchen after the meal. This was a memorable experience and I wouldn't hesitate to come back. My only nitpick (and it is a very small one!) is that the 9-course meal was a bit too much food. All of the dishes were delicious and rich, but they were all healthy serving sizes. However, everything was so delicious that I did end up eating it all (and gaining a waist size)."
4,What a treat. Enjoyed the 6 course chefs menu. With such attention to details the craft on the plate was exotic. What a lovely experience with such service. great selection of wines. Open 5 nights only. Reserve in advance.
5,"When my wife & I arrived for dinner at PUR, we were warmly greeted, and this was the start of our most romantic evening in Paris. This is fine dining with exquisite dishes. The staff was professional yet extremely friendly along with the wine steward who helped me make the perfect selection to complement our seafood and meat entrees. Overall, our meal was outstanding…it is the Best!!! We highly recommend this restaurant and look forward to returning."
6,Amazing gastronomic journey with high end service!!! Many thanks to Mr Romanos (the sommelier) for his support and wine proposal. Must visit!!!
7,Our favorite meal while we were in Paris. Everything about the experience was amazing from beginning to end. The food was all beautifully prepared and delicious. The wine pairings went perfectly with the dishes. The service was top notch. Even the restaurant itself is a unique and fun environment to be dining in. We will definitely be going back when we're in Paris.
8,One of the best fine dining experiences we have had! We opted for the 6 course menu and it was perfect from the beginning to the end. Apart from the taste and presentation what stood out was also the smooth service and timing. We did not have to wait long for the next dish to come in spite of the fact that the restaurant was full. Overall fantastic and we will for sure go again.
9,"The staff was professional yet warm and extremely knowledgeable. They explained in detail every course as well as the wine pairing. The food was inventive with seasonal flavors that were well balanced from start to finish, the desserts were delicate and seductive."
10,"I guess it should be good at those prices; but the service was tremendous and everything was truly “special” The six course dinner came with four amuses bouches, great rolls. Langoustine scallops squab etc. Prune and plum desserts to die for. We thought the wine flight was worth the money. But.... Wish Paris restaurants would ease up on what they charge for bottled water. The mark up is too much. Hard to see how a country so fixated on what’s “green” wants to waste money on bottled water. But i felt it was too tacky to ask for “une carafe d’eau” at a joint like this. Not many parisians. Mostly tourists."
11,"C'était parfait! We were looking forward to the 6 course/4 wine pairing experience, and it did not disappoint. Everything was wonderful - the food, the wine, the atmosphere and the wonderful service. Thank you for making my birthday so memorable!"
12,Amazing dinner! The meal was so interesting & one of a kind. The service was top notch. We could not have had a better experience.
13,"We had a fanatic meal at Pur that went way beyond our expectations. After a week of fine dining in Reims we were not sure we could fit in another large meal on our last night in Paris, but we are so glad we persevered! We opted for à la carte to make the meal a bit lighter and both chose the sea bass which was cooked perfectly and a really good sized portion. The cheese trolly, for me, is always the highlight of a meal in France and this was no exception, a vast selection to choose from. The service, atmosphere, food and wine were perfect, and all staff were very welcoming and genuinely attentive. We visited for my birthday and the little touches to make it special really made my night. Thank you so much to all at Pur for a fantastic and memorable birthday meal. We would certainly love to return and try the tasting menu!"
14,"This was a special occasion meal and we were not disappointed. Absolutely blown away by the food, the service and cannot recommend highly enough! We had the 9 courses and every dish was faultless and so was the wine. We were so well looked after, nothing was too much trouble. Thank you so much."
15,Me and my fiancé came here a couple of nights ago for a celebratory evening meal. The service was second to none and the food was absolutely impeccable. The atmosphere was perfect; not too quiet and not too loud. The staff were extremely friendly and met our every need. We did the 5 course tasting menu with the wine pairing which we would definitely recommend. Would 100% come back here again.
16,Absolutely awesome experience at Pur. We had the 9 -course menu with the wine pairing. Food was excellent and service was exquisite. First wine was maybe not for us but the rest paired nicely with the menu items. An experience highly recommended.
17,On my last trip to Paris I had the chance to dine at this top of the line restaurant. It really is the top of the top.
18,"Wow! We wanted somewhere special to celebrate our silver wedding, and Pur' certainly was special. This really is fine dining: exciting food in elegant surroundings, with highly professional front-of house staff. They were efficient, yet amiable, witty and completely put us at our ease. This was the most expensive meal we have ever had, but we don't regret that for one moment."
19,The service and the foods are top rated. I ordered the 6 couse menu and it’s fantastic. The quality of the foods are outstanding.Must try in Paris
20,"Excellent, nothing else to say - Service, Ambient, Location, Food - The experience was fantastic - Prepare the wallet though :)"
21,"Good- but overrated… We looked forward to our dinner at Pur , but were disappointed in the menu. There were only four entrées to choose from and one was a cheese platter. The other entrée choices were sea bass , wyagu beef and sweet breads. My husband wanted none of them however he chose the wyagu beef. The sauce for the beef was excellent and he enjoyed it however at €135 it should be more than very good . I ordered the Seabass and found it adequate. The risotto with curry that came with the beef also had an excellent sauce. Some of the servers, including James and Amin, were very good. Leopold never brought the citrus vinaigrette I requested and seemed to completely forget it. He also had to be asked to serve us bread. There were many “extras” that were provided at no charge,but being very gourmet,required a receptive palate. I loved the artichoke appetizer bite with curry,but my husband didn’t care for any of them. We ordered a la carte,but with a €90 bottle of wine ( which was the least expensive Bordeaux on the menu) and coffee, our bill before tip was €333. We are world travelers and have stayed at some of the best hotels. Overall, I would give the food a B-. My husband gave it a much lower rating than that. If we had ordered the six course fixed menu with wine, the bill would have been well over €600. You would have had the same four entrees as well. Interesting experience, but we would never go back."
22,"The team at Pur made my 30th birthday an amazing affair. From arrival the service was second to none, and to have a table with full view of the kitchen was a spectacle to behold. The team are as you can imagine a well oiled machine, and you can see the passion both in the kitchen and on the plates. The dishes each held their own magic with the balance of flavours as you would expect perfect. I would highly recommend visiting if you are looking for an experience like no other in a breathtaking setting as you'd expect in Paris.  A huge thanks to the team again, we shall be back.  Amy"
23,My wife and I had the privilege of eating at a handful of different Michelin starred restaurants ranging from one to three stars during our recent visit to Paris and London. Pur was our absolute favorite. Not to be missed!
24,"We dined with two friends, who are also critical foodies. The atmosphere, the gentle and attentive staff and excellent sommelier all contributed to the very pleasant and memorable dining experience. Chef JF Rouquette personally introduced some of his courses, which added an extra cachet . We choose the 6 course signature menu. Without a doubt , each course was delicately prepared and embodied the chef’s philosophy on fine dining courses. The pastry chef’s rhubarb creation resembles a sushi dish and is a feast for the eye as well as a real delicacy. This will become one of my favorite places in Paris for personal and special business events. Pur deserves more than 1 star Michelin."
25,It was absolutely lovely evening. The staff was so kind and friendly even though we arrived slightly late.  The textures and flavors were exquisite.  Would definitely visit again.
26,"It was the most romantic evening with my wife!! Our sommelier, James, and the staff were absolutely wonderful attending to our every need!! Must dining experience if you are in Paris!!"
27,"What a great meal and experience. The food was terrific, and James the sommelier served up the perfect wine pairings. Bravo Pur!"
28,So kind nice and warm service specially from James the sommelier! Definitely will come back Thank you
29,"Amazing restaurant, amazing food! Amazing service..James the Chef Sommelier made this dinner excellent - we defiantly come back."
30,Visited during our trip to Paris and elected to have the 9-course experience with wine pairing. What an amazing experience this was. Everything that was prepared was done so by what seemed like a cooking god. I don't even like Foie Gras or Fennel and I ate every single bit of the food that was prepared. Overall it was about a 4.5-hr experience. It did not even feel that long though because the staff was always there for us to refill our glasses the moment they were empty. By far the best dining experience I have ever had.
