,opinions
0,The venue is beautiful but It wouldnt be enough without the amazing staff. Cocktails and food top quality ...... Good music and a very attentive staff giving the customer and evening to remember.
1,"We dined at the restaurant on Friday evening and had a most enjoyable time. Not only was the food excellent, but we had the delightful service of the waitress Luminata who really made the occasion with her friendly, attentive and professional service.  We absolutely loved the DJ's music vibe, which helped create a lively, but not too loud atmosphere (and we were seated quite close).  We enjoyed pre-dinner drinks, a 3-course menu and excellent cocktails to round the evening off. Delightful evening and we will be returning when we are next in town."
2,"We went for a pre-theatre dinner. The decor is nice and initially the service was good. However, as the restaurant became more busy the service was lacking. We chose the 3 course set menu and placed our order for all 3 courses, the starters came out quickly, but we were left waiting a long time for the main. The starters were nice, but the main wasn’t so good. As the service was so slow we didn’t have time to have dessert! Being a set menu they couldn’t deduct the dessert, so we asked if they would remove our drinks from the bill and they were accommodating. I’m not sure if I’d return."
3,"Given the prime location of this restaurant, I was expecting good food and good service. Disappointed on both accounts. After an initial good start with a waiter giving us some information about the food on offer and the chef's recommendation of cooking (steak), we then had to wait 45 minutes to place ur order, and only then after I had to request that our order be taken. However, while waiting I tried on several occasions to get the staff's attention, only to have the two female members of staff, make eye contact with me but continue to ignore me in favor of leaning on the DJ booth and slapping each other's backsides. Because of waiting so long to order we had to forgo getting starters and desserts so went straight for the mains. The children had the steak strips, very nice and well cooked. We had the Porterhouse 900g £113.00 to share. Very disappointing, less than 250g of meat and after all the fuss with the chef's recommendations, they didn't even cook it as requested. It came out medium of the requested medium rare, so in my opinion overdone. I had to scavenge around the bones to get a few morsels of medium-rare meat. All in all not worth the £357.19 paid and I would defiantly expect trained and respectable staff in an establishment charging those prices. Just wish we hadn't had the inforces time constraints as I would have defiantly sent the steak back. Very disappointing, but the silver lining was, lovely creamed spinach so I filled up on that."
4,"The food and service were amazing, this is our second time and the food never disappoints. Thank you to Luminita for looking after as so well and helping us when we had questions.  Will definitely be coming back soon!"
5,"Lovely drinks, perfect food, amazing service from Luminita! Great location too! Can’t wait for our next visit…"
6,"We are in London to see Harry Potter at the nearby Theatre, and were worried that we didn’t have a restaurant booking for the interval, but we managed to get in super last minute to STK, which was a relief as we had visited the Westminster STK last year and thoroughly enjoyed our experience there. Our server, Luminita, was very friendly as well as efficient in making sure that we were in and out with time to spare, whilst not feeling rushed. The food was great, and we received complimentary brioche to start. Would recommend."
7,"We were staying at the Westminster hotel London and decided to eat at steak for the last night we were in town. We were asked if we wanted water when we first was seated, this water was put on the bil for almost 6£. The steak i ordered was almost without taste and verry poor with only a couple mini potatos on the side. At the end a regular meal for 2 ended up costing 110£ for food that wasent Even good. On the pluss side it was good service and we got some free bread of some reason (but the bread wasnt good either). I would not recomend it or think about going back."
8,"Myself and 3 friends had an amazing night at STK! Great vibe , our very attentive server Dario was superb! We couldn't of ask for anything more! Anything we needed Dario was our man. Cocktails nice and strong ...received promptly, food delicious.. brilliant night had by all! Will be back for sure."
9,"Came by with colleagues, food was not that great, very average, and for the price I would expect better. Atmosphere is that of a nightclub, very loud and not the type of vibe you would expect for dining."
10,"We had dinner and celebrated a birthday for my wife, we had a splendid dinner - really enjoyed the meal, the service and the ambiance  My short rib was done perfectly, it didn’t have any fat in it, it was literally falling apart on the fork and was well balanced with the source and the creamy potatoes  The steaks my family has were done to perfection, not even a gram was left  Fabio was our waiter, he was lovely, caring, and funny  It is indeed pricy however compared to some other restaurants it’s actually worth the money  I will certainly come back"
11,"I went back to STK Steakhouse as I hadn’t been there in a while and it never fails! The food was fantastic, the staff was brilliant and made us feel really welcome, and the music was amazing and you get a real club vibe feel. I’d definitely come back to STK again and again!"
12,Was keen to try this location as have eaten at them before in the US and have always been impressed. Large restaurant area and very loud. Live DJ Friday and Saturday but fortunately not on this night. We asked to move to a slightly quieter area in the restaurant which they did. Service was friendly and excellent. Steaks were top dollar but I’m afraid didn’t justify the price. Mac n Cheese superb as was the wine. No burger option was strange and other selections if meat isn’t your thing were limited. Sadly not one to return to. London is now awash with seriously excellent steak restaurants who just do it better.
13,"Myself and 8 others were out for a friends birthday and 6 of us ordered the Oysters. The next day all 6 of us who ordered the oysters were then extremely ill - violently vomiting, shivering and in severe pain. This is absolutely unacceptable for a restaurant of this calibre and we shall never be returning. We also waited more than 2 hours for our food. Extremely disappointed."
14,"Had an absolutely appalling experience here, which was unexpected as I have had multiple good experiences dining at other branches of STK.  Firstly we were sat in the corner where it was so cold we had to retrieve our coats from the cloakroom to keep warm, bear in mind I was wearing a full long sleeve and long trousers jumpsuit so shouldn’t of been cold inside. The restaurant was very busy but when I saw an open table I asked if we could possibly move to which the staff member agreed and informed us he would prepare the table.  About 10 minutes later a different lady from the reception team with what sounded to me like an Italian accent appeared and informed us in an aggressive manner that it was not possible for us to move as they had other guests booked on that table. The music is loud so her shouting may of been understandable but her tone was point blank aggressive, she was ranting and raving to the point where I had to interrupt her to ask her if I could speak. She agreed it was cold and told us she too was cold as she had to stand there all day (shouting at me as though that was my fault). I didn’t want to make a scene so took it no further however, I was left shaking and in shock that someone had spoken to me like that and for the first time ever I asked for the service charge to be removed which was a shame as our waiter and the food was great however, that experience could have completely been avoided had she been apologetic and calm as opposed to down right aggressive and rude. May I suggest that this staff member has further training or takes up employment at an establishment more suited for her level of customer service skills, perhaps a weatherspoons."
15,"very polite staff very helpful , always helping with your needs and fast with your drinks especially Dario that serves our table . Recommend coming here if your celebrating a special occasion or coming for some fun with your fiends absolutely stupendous"
16,It is an okay restaurant  What I’ve experienced is far less in quality than what I’ve heard  Service hasn’t been the greatest….few arrogant waitresses…lacking discipline  Waiting time for the main dish has been too long  Would I go again?  No
17,"I took my mum here for lunch as a birthday treat. She had the steak and I had the lamb which both were delicious and the portion sizes of the sides were huge. Our waitress T. Fenyvesi (Trudie) was amazing, so attentive and ensured we had a fabulous time, she is excellent at her job. She really made us feel special and brought out a cake for my mums birthday which was very thoughtful. I can’t wait to come back and try more things on the menu."
18,If you want to eat and drink in possibly the noisiest restaurant in London this is the place due to thumbing loud music combined with paying through the nose for drinks and food this is the place
19,Fantastic service from luminita she gave Fantastis service and made our day. We absolutely love her service. She was A*
20,"What an amazing experience we’ve had! The food was incredible, everything was so tasty and the meat was delicious. Our waiter, Csaba, was super attentive and knowledgeable and Domas made some of the best passion fruit martinis I’ve ever had. The ambience was fenomenal and I cannot wait to be back!!"
21,"Honestly amazing, one of the best lambs I’ve had ever!!!! Definitely recommend Amazing service from Rui please ask for him on your visit here."
22,Rui was an excellent waiter!! Honestly couldn’t ask for better. Lamb was good alongside the Mac and cheese
23,"I went for dinner with my partner tonight and it was absolutely amazing! The hostess Monica and our waiter Fabio were amazing and an asset to the company, thanks to you both for making our dinner and evening so memorable. The food was delicious and honestly I couldn’t fault anything (which I usually do..) The ambiance and service was brilliant!! We both had a really lovely evening and we have booked to return on his birthday later this month, honestly I can’t wait. I would highly recommend anyone to come here, you really won’t be disappointed. Huge thanks to Fabio again for making us feel welcome and extremely special, see you soon."
24,"We went here for a girls night out on our trip to London. We had Fabio as our waiter, an absolutely lovely guy! A lot of humor and good tips about the city were very nice. The food we ate was very good. It was a great evening and we felt well looked after. A little too loud music to be able to talk together at the table, but that was the only negative for us."
25,"Probably the WORST meal I have ever had.  Took my boyfriend here for his 22nd birthday. We went to the STK in London, opposite the novella theatre (the Strand I believe).  I paid £226 for 2 starters, and 2 mains with 3 drinks. Our starters were bland. Our mains (the sirloin steaks, £45 each) were 60% fat and spend our time spitting it out into the napkin provided.  As two younger customers, we were treated differently. Waiters had 0 time for us, but was very chatty and friendly to the older group of 4 next to us.  Real shame."
26,"Amazing service for my girlfriend birthday very polite waiter called Luminita, she was polite, helpful and just overall lovely"
27,"Mixed.  It looks great. They had a lot of trouble finding our booking (10 mins). They wouldn’t allow a friend who’s recently had an op, to sit with us but not eat from the £70 fixed price menu.  Starter and sides really really good. Steak; WAY over cooked!!!! Like properly well done when asked for medium.  Service is nothing special. Music REALLY loud, so couldn’t really chat. Wouldn’t return."
28,Amazing service from Fabio and great food ! Would 100% return again. Perfect for a celebration or special occasion. Really enjoyed.
29,Our waiter Fabio was a big part of our night. He was so welcoming and friendly. The food was amazing. Overall a great meal complimented by an amazing atmosphere. Well done Fabio :)
30,"Absolutely amazing, great and friendly staff and one of the best steaks I’ve ever had Would 100% recommend"
31,"I have been at STK for a friend bday celebration and we felt very welcomed by the Rui’s service, he went above and beyond at all time from explaining the menu until we leave with a great and well communicative environment at all time, checking on us each time to make sure we were happy and satisfied. Thanks Rui for looking after us, we will definitely be back and hopefully we will looked after by you again."
32,"Amazing experience at STK, great atmosphere, delicious food and great service from Rui that looked after us table. 100% recommend I will be back soon!"
