,opinions
0,Amazing place ! The waiter was very nice. It was busy but quiet. The food was really good. We got accepted even without a booking for brunch on Sunday! I highly recommend.
1,excellent food!! came for my friends birthday and they were wonderful! the staff are super sweet and helpful
2,16 birthday party at scarlett green. super good food and wonderful staff! definitely returning soon :)
3,"Fantastic brunch and booze, lovely staff and great atmosphere! Would recommend the dirty daisy and the pancackes"
4,Great bottomless brunch. Staff are lovely and very attentive. Prosecco is tasty. Food also great. Good variety of food options
5,"The bottomless brunch here was sooo tasty, had a brilliant choice of dishes and the service was fantastic!! I could not recommend it more!"
6,"What an outstanding brunch we have had! The food was delicious, drinks were free flowing and the service was impeccable! Will certainly be back again! Highly recommended!"
7,"Visited here with my partner whilst in Central London, and the food and service was brilliant. Veronica and Stefan were great hosts. We will be back!"
8,"These guys were fantastic! Great food, great service and fun hosts. Even took our group picture without asking!"
9,Came here for a joint birthday bottomless brunch with a group of friends and it was fab! 2 courses and unlimited Prosecco included. The food was delish and our waitress Alexandra made sure we were never out of drinks :) great atmosphere- would highly recommend!
10,We came here for our birthday celebrations and had an amazing time! Alexandra was our waitress and made our experience fantastic. Would definitely recommend!
11,"Amazing food, with refreshing variety. Lively atmosphere, we didn’t do bottomless lunch but the mimosa and berry smoothly were delicious. Highly recommend."
12,"Best brunch I’ve had in a long time - great atmosphere, beautiful decor, and delicious food. Like being in Manhattan or Melbourne!"
13,"We enjoyed our brunch enormously, great portion sizes, good service and good variety instead is just English breakfasts. Daughter very happy with the smashed avo and son with his fritters. My baked eggs excellent. Would recommend if you are after a flavoursome breakfast in the soho area."
14,Taken care of very well by Stefan. Food was great and big portions. Would definitely recommend for friends wanting to bottomless brunch.
15,"Really amazing. I will be back again !! Great bottomless brunch, nice staff and very clean. Thanks so much xxx"
16,Nice place good food good value. Would come back with friends or family or even work. Not bad for somewhere so central
17,"Very good food and very good service, lovely atmosphere! Salsa was very attentive and friendly. Definitely recommend for a group looking for a good day out in London."
18,"Came to Scarlett Green with friends for brunch, the food was delicious - I had the sweetcorn frittas and banana bread, would recommend! Shout out to Salsa our waitress, she was so friendly and accommodating :-)"
19,Attended for a friends birthday! Staff really friendly and helpful! Good for large groups there were 11 of us! Really delicious pancakes
20,"Had a great time, with lovely cocktails and great brunch food. The pornstar martini was delicious and the staff were really friendly !"
21,"We had a great time here, the perfect brunch place in London! Delicious food and great atmosphere- we will be back!"
22,"Came with a group of 10 for a friends birthday. Service was fantastic and the food! Lots of different options, my food had so much flavour and cooked perfectly. Really cool setting too. Definitely recommend"
23,Food and drinks are amazing! Lovely vibe! The staff are also really friendly. Will defo come back! Xx
24,"Lovely food and vibes, I ate the dirty daisy which was delicious. Thank you the waiter Stefan was very helpful to us."
25,"Came for a friends birthday and had the best time! Lovely staff (Stephan in particular was amazing), the food is great and the space is fab! Definitely recommend"
26,"This was my fourth visit to Scarlett Green and I'll deffo be increasing that number for sure! Food (most importantly) was delicious, our table had the meat platter and the vegan platter. I’ve had the chops, ribs, sausage before and it’s amazing. The vegan option, which we ordered because we are on vaganuary was so good that we couldn’t even be tempted by the delicious meat our mates were devouring. Dessert was so nice and amazingly presented. The PS Martini is a fab cocktail. Our servers were excellent and attentive, great hosts and made the experience that more enjoyable; Alex Binod and the team are great, 5+star! Thank you Scarlett Green :)"
27,"Two courses and bottomless mimosas, best service, especially Stephen! Would 100% recommend to any group of friends!"
28,"Visited on a Friday with a friend and 2 children. Incredibly child friendly with an adult vibe. The were extremely accommodating and gave us a lovely big space for both prams. The food was incredible, tried both savoury and sweet dishes (thoroughly recommend the banana bread!!). The staff were amazing… Stephan was particularly attentive and friendly. The atmosphere was great and I would recommend to anyone!"
29,"We just had a very good typical british breakfast! The eggs were perfect and the waiters so niiiice ! Special thanks to Stephane, the manager WHO made the experience even better <3 i highly recommend it !!!"
30,"Simple and amazing, in all senses of the words. We arrived with no booking, but it was around lunch time on a Mon.  Greeted by Stefan, who was smiling and incredibly friendly, to be then shown to the table. The decor was rustic but Stefan couldn’t have done any more to accommodate my partner.  The food was lovely, we had the ‘fancy bacon roll’ (which was bacon, egg plus avocado and I added halloumi), which was delicious and very well presented.  Next time we are in the area we will certainly return. The advise we were given was that on Fri and Sat they have live music, which we would enjoy, so for those less inclined it might be worth marking and avoiding."
31,Went for brunch with girl friends and had such a fab time. Waiter was wonderful and food fantastic. Recommend!!
32,"Had a lovely brunch celebrating a birthday here, service by Stefan went above and beyond with a flaming candle on the pancakes. Great for a midweek celebration"
33,"Love it! Really like this place, lovely food! Lovely severs and food is great. This is my third review and every time it gets better. The sweetcorn fritters are great."
