,opinions
0,Queen of Sheba http://visitmytown.com/visitlondon/listing/queen-of-sheba/#.XGytTrga4pY.twitter… #London #England #Travel
1,@SunCity104_9FM receiving loud and and clear in chilly London- England#soundsperfect Hi to Queen Sheba and unique crew...
2,We booked through the Fork and had a discounted meal. Delicious and very filling food. Rashid was a great server.
3,"We were in London for a short break to celebrate my birthday and found we were only a ten minute walk away from Brick Lane. This means we had to have a curry on my birthday in Brick Lane, it’s the law you know. So looking at reviews online I picked Sheba as it had the highest score. As a bonus they are running a 50% off food offer, so sorted. They did charge a £6 service charge though. Anyway, the restaurant rang me to confirm the booking and a few hours later the wife and I rocked up to the front door to be greeted by a friendly chap who confirmed we were at the right place and showed us to our table. My wife after ten minutes or so wanted to move tables which was no bother at all to the staff. The staff were all friendly and even kept to my instruction of not singing ‘happy birthday’ to me, much to my relief, and possibly the other diners. My wife is a fussy eater and has a phobia about butter so has strict instructions about ‘no butter’ anywhere near her food. Sometimes her instructions can get lost in translation and many a time she has ran out of restaurants just at the mere smell of it, much to the puzzlement of staff. Luckily, on this occasion, her instructions were followed to a ‘T’ and no histrionics were needed. The food was lovely, I had prawns, my wife had chicken handy. The staff were attentive but not overbearing and the whole experience was very enjoyable. We would definitely return if in the area"
4,"We booked after reading the reviews on line and I'm glad we did as it was so busy. As we were walking to the restaurant we noticed that all the other curry houses nearby had very few customers (if any) but this place was rammed. Although it was super busy and somewhat chaotic we did get looked after by the waiters. Service maybe a bit slow but to be expected as it was so busy. We had mixed starters to share and then I had a madras which was great. A few beers later we were on our way. A good night, decent service and a great curry!"
5,Had a wonderful time with my family today at Sheba will recommend all my friends and family to go and try it I've been to a few in brick lane but Sheba is the one that stand's out
6,Great food. Delicious curry. Highly recommend. Very fresh and great service. Kids love it and we had a great time.
7,"I went there with my family to have lunch led by the google reviews. Turns out the food was flavorless, portions were too small (barely any protein in our curries, had literally 4 chicken “nuggets” in my chicken curry) and the service was the worst! Had to wait over an hour to get two curries. Turns out most of the reviews are fake! Prices where not cheap at all either. So ended up getting a flavorless, small and expensive lunch. Very disappointing! Stay away from this place"
8,"I loved the curries my wife and I ordered here. Just be careful of the items that have at least two peppers next to them — I can handle a lot of spice, and while the dish I had was delicious…it was HOT. Had two peppers next to it, just cannot remember the dish name; BUT, it was delicious, as was everything else we ordered.  But, what took a good experience to great was the hospitality shown by one of the managers, Shahid, who had a lovely convo with my wife and I before offering us complimentary shots of delicious liquor at the end of our meal. I’d highly recommend this place to anybody who wants delicious curries in the heart of Brick Lane."
9,"good food, nicely done. Tandoor chicken was moist and well done. Sheek kebab had great soices but a bit dry. Service was good and efficient. Chairs were pretty old and cracked, distracted from the crisp table linens. Toilets were pretty bad. Good experience though, nice surprise."
10,"I used to come here every Friday in the late 80’s, food is as excellent now as it was then, as was service (Rashid I think?..)"
11,Slow service and average food. Price was not worth it. The service was *far* too slow even when it wasn't that busy . I wouldn't recommend and won't be coming back
12,Highly recommend this wonderful restaurant. Chosen based on other reviews . Charming service and great selection for vegetarians. Also not oily and seriously tasty. Thanks I’ll be back
13,"Amazing downstairs room, amazing time with very nice service. Delivious food for a decent price. Recommand"
14,Been around the world and this is the best. Invited into the kitchen. Really nice people who loved their work and making people happy
15,"Absolutely amazing evening celebrating our anniversary. The food was incredible and the staff respectful, warm and friendly thank you so much ❤"
16,Went with my family on a recent trip and had an awesome experience! We enjoyed delicious food and had a wonderful time chatting and laughing with the staff. We were able to watch some soccer while we ate and had an incredible dining experience!
17,"I booked the restoran 4 weeks in advance through the Fork booking service for a party of 20 participating a medical educational meeting. At the beginning of the week of our planned visit to the restaurant I phoned 3 times to say that we would be up to 25. I last phoned 3 hours before coming to the restaurant and I was told it was not a problem and that my amendment was noted. When we arrived the restaurant was so full and still admitting people that there was absolutely no chance they could fit us in. They kept telling us to wait 10, 15 and then 20 minutes while all of us standing outside in the cold. After half an hour we left and went to another restaurant. All along I was being accused of being at fault for exceeding the original booking, even though I phoned many times and was assured that was not a problem. This restaurant would carelessly accept any booking in the full knowledge that it would exceed their capacity. This is so rude and careless. I would advise to avoid this establishment."
18,Excellent food. The staff are fantastic. Came for my friends birthday and we will 100% be back. The fact it is BYOB is even better.
19,Arrived at our large party booking to find our booking had not been taken correctly. What followed was a frantic scramble to find us an appropriately sized table with other large parties being sat ahead of us despite our party arriving earlier.  Eventually after much deliberation concerning where we would fit we were seated. Our food arrived 2 hours after we arrived to our booking. No issues with the food itself but the prior issues overshadowed the whole experience.  The restaurant is small and tables are moved to accommodate people resulting in a squished sardines affect.  There are people queuing outside therefore the door is constantly opened with the cold air hitting you each time. There are no baby change facilities either.  Overall despite best efforts to improve our experience I would not recommend this place and will not return.  It seems ok for after work meals or an off the cuff dinner if you are in the area and willing to wait but for a relaxing dinner not so.
20,"we went here because of the reviews and because of London's reputation for excellent curry. but the curry here was really bad. super sweet, minimal use of fresh peppers, lots of filler. it was the Indian equivalent of bad Chinese food. $6 Indian restaurants on 6th Street in Manhattan in the 80s. . they microwave the rice. even the mango Lassie was bad. don't believe the reviews."
21,"Best Indian in London, you've got to be joking! Mediocre at best. Uninspired, small portions, disinterested staff. Resting on their laurels."
22,If I could have put 0/5 I would have! Booked this restaurant for a special family occasion only to be told on arrival they had no reservation! So annoying after doing my research. Went next door and had a wonderful meal…
23,"Waited over an hour for food. Average at best upon arrival. Portions of meat very small, smothered in a more watery type sauce than one is used to. Very busy, staff stressed, maybe not a good time. May go back? But lovely area full of great restaurants. Plenty of choice."
24,"Wanting to offer an international group the authentic Brick Lane curry experience we chose Sheba from the reviews online. And we weren’t disappointed. Great food and excellent service (especially Kabir, what a gent!), plus a buzzy atmosphere. Everyone went home happy."
25,Amongst the best curries I’ve had in the UK. It’s a very busy curry house and that tells you everything you need to know. First class curries and friendly staff. Lots going on but you will definitely eat well. Homemade mango chutney with the popadoms is the best I’ve ever had.
26,Came here for a monthly social with 15 friends post university. We do this every month and this curry house was the best curry house we have been to since we started this monthly occasion. Rashid served us and delivered excellent service all evening. Great value for money for big groups
27,"Visited last night been waiting a few months after watching a few rave reviews on YouTube, friendly door staff gave us 20% off achohol card at the local shop ,this Resturant does not sell achohol.The Poppadoms tray was decent the starters were OK nothing too special ,the mains were a little dissapointing mine a Jelfrazi the onions were half cooked and the chicken wasn't as tender as I would like .another grape was the service charge was half -way up on the bill I actually missed it until my friend pointed it out .Wasn't awful but don't understand all the hype about this place had much better Indian Food at my local one."
28,Literally look no further! This is THE SPOT :) Food = 12/10 Service = 12/10 Curry was out of this world & I hope everyone can experience this food. @neeks93 on insta :)
29,I have never been to a curry house before that had no popadoms and no onion bhajis! Small portions and slow service. Apart from that all good.
30,"Marketed the ‘best curry house in London’. If this is best curry house in London, I’d love to see how bad the others are. Christ.  Three bits of chicken in my curry, naan was dead, drinks poured out of a two litre bottle from the Co-op round the corner… the waiter looked like he’d just found out his missus was cheating on him - face like a sour lemon.  Nice flavours - I will give them that. Then again, there are nice flavours in an M&S curry meal deal for two and at least I’d have enough sauce in that to dip my naan into.  Won’t be returning."
31,"Went for dinner based on the Time Out review. It was all delicious, raucous, and everything I wanted it to be. If you're looking for tasty, Bengali-British favorites in a casual, warm environment, come to Sheba."
32,Fantastic food and atmosphere! The staff was very friendly and lots of fun. Highly recommend the lamb tikka - best I’ve had!
33,I had planned a visit for weeks with my partner.We bought vouchers for the meal from Wowcher but when we arrived at restaurant they refused to honour them..an absolute disgrace of a company and legal action will be initiated
34,"Lovely place food was fantastic , good for money and staff were brilliant would definitely recommend !!! will be back myself."
35,my family arrived at the restaurant as reviews looked good. my curry lamb nagu arrived cold and very little sauce. the parathas looked and tasted as if they were deep fried. the food was horrible the waiter was not interested everything seemed to be a bother. 5 out of family were sick during the night. I would definitely not recommend this place.
36,Host/water was awful. Acted like we were a bother and was argumentative and as unfriendly as could be. Food was terrible as the house specialty lamb dish was all bone and grossed. We advised the host/water and his reply was that’s the way they get it. Avoid this place as there are many better options all around.
37,I originally booked the restaurant for 7pm on Thursday 4th August. I then called to change it to 7.30. I received confirmation AND somebody called me on Thursday morning to confirm reservation. All good. Or so I thought. The booking was made for a friends 60th birthday celebration who had never been to Brick Lane. We turned up at 7.30 and the restaurant was full. We were told to wait outside for half an hour and they would get us in. There are no seats outside and no offer of refreshment while we wait was made until I asked. They were too busy and just didn't care that despite confirmation that day they could not fit us in. We went to Aladin two doors away where the food and service were fantastic. Not sure how Sheba were awarded 'Best Curry House' if that's their don't care attitude!!
38,Absolutely 5 stars.Service was amazing - good was incredible and every last scrap of it. Loved the finishing touch of the free drink. Definitely going to become a regular and try every single thing on the menu - thanks :)
