,opinions
0,The cocktails are the best in NYC. The bartenders are so nice. a MUST visit place! Me and my friends come here all the time and are never disappointed with the level of service and atmosphere. 🔥🔥🔥
1,"We had an excellent meal at The Consulate last night. The atmosphere is terrific, with a real European vibe, beautiful bar area and a comfortable dining area. Decor is great. I had the duck, served with mashed potatoes and a delicious sauce, extra heirloom veggies on the side. Fantastic! Our waitress, Staka, explained everything and was always attentive when we needed anything. Plus they have live jazz - amazing place!!"
2,"We love love loved it! All was just perfect! Beautiful people, charming atmosphere and great food and service! We can’t wait to go back"
3,"My husband and I came in for a fantastic brunch! We sat at the bar and had the grilled cheese at the recommendation of the awesome bartender George - he certainly didn’t lead us wrong! Great food and great cocktails, highly recommend!"
4,"We booked a Table for 3 via Resy prior to arriving in New York for Xmas. The Subway Journey & Walk to the Restaurant was a good distance from our Midtown Hotel & we wondered whether we'd made the right decision!!! Upon opening the door to enter we we're met with a raucous wall of noise & not only a full restaurant but also customers waiting to be accommodated. The only downside was that it appeared that the management 'might' have taken too many bookings that they were struggling to seat, nevertheless we were greeted with Champagne on the House whilst seated at the bar & apologies all round. Once seated, staff were friendly, knowledgeable & looked after us really well. The Menu offered a variety of options & we had a super evening in a really busy destination restaurant. A great evening."
5,"Bad experience. The food is normal and the service is terrible. Doesn’t match the quality service/product for the price. You are totally forgotten inside and it seems that all the waitresses are making you a favor. I just don’t recommend, specially because of this bad service."
6,Great martinis/atmosphere and great bartender George! Nice and welcoming spot on the upper west side
7,"We stumbled across this lovely cosy restaurant when holidaying in New York over Christmas Day. Loved the decor, low lighting and atmosphere. Amazed they could seat us on the spot. Food was nice."
8,"Beautiful decor, great drinks, great staff! George was a great bartender and had lovely service! This was the perfect experience for my first visit in the city. 10/10"
9,"Beautiful drinks & atmosphere, as well as wonderful holiday decor! George, the bartender, was great & super helpful!"
10,"Great location, pleasant atmosphere, delicious food … Staff are so professional and friendly … Our server Staka , great girl , helping us with menu and orders for kids. Highly recommended !"
11,Doing the classics right! This is one of the top spots in the upper west side. There aren’t a ton of cocktail bars in this area and this is highly recommended.
12,Great restaurant great vibe and great bartender! Recommend for any occasion! Can be 10am or 8pm great place for kids or just party with friends
13,"Although staying at a hotel o Times Square we used the metro very easily to travel to this restaurant for my Birthday. The food i had was great - mostly seafood - the octopus to start and clam pasta for main - both excellent. My husband was slightly disappointed by his food - too much oil on the shrimp and the bread oiled too and his wagyu burger the same - a little too much oil on everything but I guess its a personal preference. Good cocktails, ambience and service."
14,Great food and great service! Thanks Staka! Had the Frise salad and pineapple upside down cake. 10/10 would recommend. Atmosphere was also great!
15,What an absolute gem of a restaurant! The brunch knocked my socks off and don’t even get me started with the cocktails! George made sure it was an experience of a lifetime and I can’t wait to come back!
16,"Had the lobster Benedict and was super good. George was great and served really good drinks, especially liked the French 85"
17,"We had a lovely meal here on 11/15/22 at lunch time. The food was great, the server was wonderful and the atmosphere was lovely. I ordered the buffalo chicken burger and it was too spicy for me, so the server exchanged the meal for the burger without the sauce on. I really appreciated this as it was my own fault for ordering something too spicy and they didn’t have to change it, but it they did without hesitation. It was really great service. Thank you!!!"
18,"Beautiful atmosphere of Upper West Side. Delicious food, with interesting combination of spices. Very good selection of wines. Extremely polite and friendly staff. A little bit pricey, but it really worths it."
19,"We made reservations a month ago for a birthday dinner this week a few hours after we will be arriving from JFK. Then, 48 hours before our dinner we get a call that they are having a private party and are canceling our reservation. Just like that. No apology, no accommodation, no nothing. THE WORST! Never coming back. They do not deserve your business."
20,A Saturday brunch with family. Promptly seated. Active and friendly vibe. Service was excellent and food top notch.
21,Stumbled across this place on a Sunday afternoon and super happy we checked it out! The vibes + decor are cute and cozy and the cocktails were great. Our bartender George was so friendly/attentive and made us such delicious drinks . Got the Safe Word cocktail (right in picture) and it 10/10 and refreshing - def recommend!
22,"Decided to take a brief trip to the UWS to do some Halloween Sunday shopping when we were in dire need of a drink. Stumbling in here, George greeted us with a generous smile and decadent cocktails. Amazing stop making for an amazing Sunday."
