,opinions
0,"New management, food and staff are fantastic. I would definitely recommend for lunch or dinner if in the area. Great value too"
1,I have been here 2 times since they opened on Monday. What can I say excellent food all freshly cooked and very friendly staff. The chicken 65 is something different but very tasty and the main Lamb shank biryani and Chicken Jaflong was excellent as well. Thank you once again to Joy and the staff. Keep up the good work and we will see u soon.
2,Had a wonderful time time and the staff made us feel super comfortable and the food was fantastic I would defo recommend to other
3,"Friendly polite and fingerpicking food. Made great recommendation what to choose. Good atmosphere, great experience"
4,"Delicious food. We had the Set Menu between 2 and it was great value for money. A wide range of items on the menu. Friendly and attentive staff, even made a birthday celebration extra special. We’d come back again!"
5,"Fantastic food, service, and a very lovely environment. Would highly recommend! Staff are super kind and we had a great evening."
6,"The food tasted amazing, they have a big variety so there is enough to choose from! Also the staff was very friendly"
7,The India is the best Indian place I’ve ever tried!! Lovely naan bread and tandoori! Personnel is great! They are so welcoming and willing to describe the plates and guide you to choose if you aren’t confident with Indian cuisine! Our waiter Joy was just great - he explained everything and he was really attentive! I definitely recommend this!
8,Excellent Food and flavours! Throughly enjoyed it! Good service and all round good experience. Highly recommended!
9,Great food! Amazing service! After asking for something spicy they got me a special dish upon request which was unheard of.
10,Everything we ordered was amazing. We particularly rated the fantastic Chicken 65 starter and the cheese nan was to die for. A nice sweet touch at the end was having warm wet towels to clean up. 5/5 without a doubt!
11,Best food wver ill be nack hwre with my family the service was ten out of ten will dfeintuly be back
12,"What a great place - food was absolutely delicious and the staff friendly .., what more could you want … can’t wait to go back and would definitely recommend. ❤️"
13,Came with a group of four and had a fantastic dinner here! Staff are so lovely and attentive. Really lovely atmosphere with a super fun vibe. Great to come with a group of mates for a fun byo drinks + curry night. Will definitely be back! Thanks to the team at Bengal Village - best Indian on Brick Lane for sure!!
14,the best curry house i’ve get been to the staff and the food was amazing! highly recommend coming here
15,Excellent food and good service. Would definitely visit again. Close to barbican so very handy. New place and trying hard to please
16,Super amazing service and it was very authentic! The food was amazing and it was just a great experience !
17,"Had to visit again for a quick dinner and it was nothing short of amazing. Was greeted by the hostess at the front, very friendly and welcoming. Service was prompt and food was packed with flavour. Would highly recommend the Agni fire wings if you can handle spice, had to order a second portion.  10/10 for service and food and money well spent."
18,"The food here was the bang bang! Got recommended to come here by my friend who came here with his family, the chicken madras was 10/10"
19,Visited on a rainy Tuesday. Great welcome for a lone eater! Good food and service. Would come back……
20,Tiger on the foot of the restaurant can mean flash. But the food does not disappoint. The food was melt in mouth. From someone who eats curry all the time.  Great staff and reasonable rates. I would highly recommend. I’ve had curries all over the uk but this is in my top 5.  Nothing to downgrade them on.  Thanks guys. See you soon!
21,"We had amazing time. started with tandoori chicken, duck shashlik for main which I loved how presented. The waiter was very friendly and nice to us. I definitely recommend this place"
22,"Can’t fault it food was lovely, service was excellent, highly recommend. Would definitely return here"
23,"Best indian restaurant in London, We been there for our lunch, Very friendly, great customer service and food tasted great, Chicken tikka mass & the other curry my partner has was delicious, very reasonable price. They were very helpful too and knowledgeable about the menu as we wasn’t sure what to get but they recommended great things! You must not miss their testy & yummy food."
24,I visited The India 2 and I must say the experience was amazing. Top level customer service and the food was splendid. Will visit again soon.
25,"I don't usually like Indian food but this place changed my mind, great quality food, decent prices and excellent service - I would recommend the chicken 65"
26,Lovely experience at the restaurant. The service was great and Joy was a very accommodating waiter. Will be back for sure!
27,"Very good experience, the staff was very friendly and helpful, special mention to Joy who took care of us very kindly. The food is good, quickly delivered. I would definitely recommend a visit to this restaurant."
28,"I had a lovely experience with my family for my son’s birthday! The staff at the India 2 made our night great. We loved all the food from the naans to the tandoori chicken, our favourite was a dish called Olli’s special which was superb and also I can’t forget the chicken tikka roll Yummy.  I will come again and I highly recommend this restaurant."
29,"I visited this restaurant for a family meal, the dishes were absolutely amazing, very flavourful and full of spices and also very worth the price! Staff and chefs are also very polite and friendly. Joy attended to my family a lot and his service was excellent! Definitely would recommend and will revisit soon!"
30,"very tasty food once again, this 2nd time i visited with my family, excellent food, Mouthwatering lamb shank biryani, oli’s jhingery signature dish, very friendly staff quality service can’t ask more. best Indian restuarent in city. thank you all of india staff. see you soon…."
31,"Last minute trip to London for work. Having checked out the reviews for this restaurant l, I was not disappointed. Great food and service. Nice surroundings too."
