,opinions
0,Visited London Cabaret Club list night to watch the Christmas Gatsby Show. Truly spectacular performances and the most divine food & drink experience. Loved every minute of it.
1,"I went to London Cabaret Club for the second time last week and once again it blew me away! The show was fantastic, the food was incredible and the staff made the entire event seem like a party you didn't want to leave. It's an experience you have to try if you're in London or visiting! 10/10, can't wait to go back!  - Tahlia Coutinho"
2,"Excellent location, venue and entertainment. Just a pity that the food was not great which prevented the evening from being perfect. We were a party of 6. All 6 of us had the onion tart starter, 3 people had the turkey roulade main and 3 had the vegetarian sweet potato gnocchi, 3 had the chocolate torte & raspberry sorbet for dessert & 3 the fig & honey cake. Everyone concurred that the starter and chocolate torte were average, those that had the turkey main & fig & honey cake thought they were delicious and those that had the gnocchi thought it was awful and barely touched it so were left hungry. Such a shame that such events never manage to provide a tasty & filling vegetarian option because otherwise the event was fabulous."
3,"Last weekend, my husband had a birthday, so I wanted to celebrate with him somewhere where we've never been. So I looked around a bit and decided to go to the London Cabaret Club. Trust me, I couldn't have made a better choise, everything was better then I expected, from the venue itself, the amazing show, then the service and food and finally, the after show DJ party. This place is just a ""MUST SEE"" and I would highly recommend it to anyone, for any type of occasion. It was such a beautiful experience and we couldn't have enjoyed it more"
4,"We love our annual Christmas visit to The London Cabaret Club for my birthday weekend to London. From the moment you step inside the entrance door you feel a sense of magic. Staff are amazing and Sooo attentive, food was divine and the shows just keeps amazing us. Best night ever ❤️"
5,I was not sure what to expect but we had such a great time! Looked after well from start to finish. Amazing acts such a talented bunch. Thank you!
6,Had a great night. The show was excellent The staff were very friendly and attentive which really added to the evening. We would recommend a visit to anybody.
7,"Had a night out here as a couple, amazing show and music ,tables for two felt a bit squashed against the side wall but okay, waiters very attentive if you need a drink, unfortunately we were missed on the dessert course and got ours when everyone else had finished, didn’t like that they insist on taking and keeping your payment card until then end of the night, but the performers are amazing and very talented"
8,"Fantastic night, great show and food was good dancers were amazing great night out deffo recommend nice service too"
9,"We surprised a friend for her 40th and really had a great night! would 10000% recommend!  We arrived at the venue at 7.15pm which was perfect timing, we had a drink with some pre show entertainment and then were let in the room at about 8pm. The food was really nice and they cater for food intolerances too, which was great!  The show was sensational, the dancers, singers and acrobats were so good! Great vibes all around, definitely a memorable night.  We booked through Groupon so we were able to secure a nice offer but we all agreed the full price ticket would be worth it and we will be back for more :)"
10,This was an amazing evening. Wonderful food and the staff were very attentive. The show was spectacular! Outstanding cast. Really something for everyone. Highly recommend!!
11,"We had a meal as a group of 10 and the food and service was fantastic all evening, the staff couldn’t do enough for us. The food was beautiful and the entertainment was fantastic. Overall we had an amazing night and would thoroughly recommend to friends, Victoria was amazing all evening and went above and beyond to accommodate us."
12,"We paid for the more expensive ticket which got us a few extras. Service was good, lots of entertainment, even before show starts. The singers, dancers and acrobats were all great. Food was actually quite good. The atmosphere was also good ( been to something similar elsewhwere where everyone was talking over the acts and doing endless selfies) and everyone seemed to enjoy the show. Would go again."
13,"I'll be honest .. I do love this kind of shows.. but honestly I did not expect I will be so mesmerised.. the show ... hot , fun , sexy and literally brings you the shivers .. the singing the dancing the acrobatics left me speechless.. going to the service... from the front desk to our lively and lovely full of smile server Dean to the manager Nasos who really helped us with everything and went the extra mile.. I will 110 % recommend it for both show and service"
14,"This place is an absolute must for londoners or tourists alike! The ambience, the customer service, the food/cocktails and of course the performances were flawless. We went to a Halloween special and they had really gone to town in transforming the space. Thank you for a fantastic evening!"
15,"We came here with some friends for El Dia De Los Muertos. We had a golden ticket which means some pre-show entertainment and 3 course meal.  The pre-show started at 7pm and the entrance to the ballroom was at 7:30. We arrived close to 7:30 so unfortunately we had no pre-show and we couldn’t even get a drink at arrival at the bar. We were left standing outside the pre-show area and just seated after a few minutes into the ballroom.  Dinner was served at 7:45 and there was a bit of entertainment before the real show started. I personally didn’t enjoy it much. A bit flat, a bit boring.  Food at this point started to arrive. Food was ok. You want more bread? You have to pay for it. Some of my friends complained that the food was cold at arrival. I am dairy free and I had difficulties believing that they didn’t add some sauces that contain cream. I asked the person managing our table to double check.  To be honest, if I would go back, it wouldn’t be with food included, but just for the show.  The show was really good. Lots of singing, dancing and aerobic performances which I really enjoyed.  After the show there was a Dj playing really great songs, and we danced for a few hours. The downside of this unfortunately was that we had no were to dance. You either dance near your table, which means you will always have people passing by, or you move away from your table but again, you are in a very restricted area. Maybe they should move some tables, or allow people to go on the dance floor which part of it was restricted as the Dj was there.  In general I liked it because I was with friends, but there are many things that they should be improving if they want people to go back more than once.  General value: 7/10 Food value: 5/10 Performance value: 8.5/10"
16,"I booked the London Cabaret to celebrate my hen do with some dear friends This place is a dream. The show was ""The queen of roses"" absolutely breathtaking. The dancers and singers are so talented. I will definetely go back!  The food was also deliciuos. We had diamonds menu'!"
17,"We booked tickets 6 months prior for a West End Musical Brunch. As they only give you the venue a few days before, it's impossible to arrange transport until then. We had booked for their 5 November function which unfortunately coincided with a train strike. As the 3 November one was cancelled at short notice we hoped this one would too, but then it wasn't. We explained the situation to them and they don't give refunds (and you have to give 7 days notice for exchanges which we were not able to for the reasons stated above).  So, unless you live in London and don't have to be dependent on trains, be very wary of booking one of the West End Musical Brunch events tickets until the last minute.  Also, read the smallprint - the event is 5 hours, but you only get unlimited drinks for the first hour. The food choices are also very poor - either a vegan burger or a regular burger - very underwhelming and hardly a 'brunch'.  I will definitely not be booking with them ever again."
18,"This was by far the best highlight of our trip to London. My sister and I went to the Cabaret to celebrate a birthday, we booked the Royal Diamond Experience and it did not disappoint. The entertainment was phenomenal, from the singing to dancing and everything in between there wasn’t a moment where we lacked for entertainment.  The food was great quality and they even remembered our food allergy, taking special care with our requests.  We highly recommend the experience, something to do at least once in your life.  Thank you to the staff, you all did a spectacular job!"
19,"I have given 4 stars as the entertainment was excellent, the singers and dancers were thoroughly entertaining and talented. This is where it ends and I’d probably give the service 1/2 stars. I think unless you have money and are ordering the expensive champagne, you will probably be forgotten. The couple next to me had their champagne poured for them more than enough times through the night, but I couldn’t even get the correct drinks order or a drink without waiting a long time. The food was actually very good, but I would say it took too long to come out with starters after 8pm, mains around 9.30pm then dessert sometime after 10pm. Although we had been seated around 7.30pm. Drinks prices are very expensive, watch out if you are not saying ‘single’ measures of spirits.. they will just give and charge you for doubles, even if you didn’t ask for it.. which is £6.50 extra per drink. When queried the waiter said that we never asked for singles….. really? Such a shame that the service really really lets this place down, as it has potential be a great experience. Probably wouldn’t return & would spend my money elsewhere."
20,We went to the club for Halloween and had a fabulous time. The service for the food started of a bit slow but I could live with it as the entertainment was so good. All the acts were brilliant especially the singers. The food was ok and the drinks are on the extortionate side but for a special occasion I would highly recommend it.
21,"The show was absolutely amazing, the performers were top notch, multi talented. The acrobatics were also quite fantastic, they showed great strength done with so much ease, I was left speechless. It was a perfect birthday gift."
22,We had an amazing time here last night with our friends entertainment was amazing the food was lovely but a bit on the small side also drinks are very exspensive but overall was amazing experience and somewhere you need to visit
23,Great singers dancers and acrobatic acts. Real energy in a great location. Well done to all involved. Some very talented people performing here.
24,"Shocked by the 15% service charge applied to our bill, which was not highlighted at the time of booking the tickets or stated in the terms and conditions on the website. We were just verbally informed by the waitress of the service charge at the end of the evening! However, there was no service charge added when I came to see a show at this club last autumn. The price of the drinks + side menu was extortionate, even for a London venue, ie £4.00 for one very small bread roll + a portion of butter! Overall, the entertainment was good, but I think the show should have concentrated more on the supposed theme of British queens, which was of minimal content, and therefore disappointing in that regard. A very expensive night out, so unfortunately I won't be going again in a hurry."
25,Can’t express how much of an amazing evening we had. The show was bursting with talent and we were simply blown away.
26,"Absolutely Fantastic from start to finish. Venue, food, staff and entertainment were amazing, couldn’t fault a single thing and will be recommending to everyone. Please open up a place in Birmingham!"
27,My husband & I had the most amazing time here on Thursday night act’s/singer’s/dancer’s truly brilliant as we’re staff especially Evandro our waiter. If you get a chance please go wonderful experience.. 5*
28,"Queen of Roses show was a masterpiece, the deco, dancers and the show was non stop outstanding. Food was amazing , just incredible, chocolate, beef and crab was delicious Service great"
29,"Went with my three daughters to the Queen of Roses show. We couldn't fault a thing about our evening. From our three course meal which was delicious and the non stop entertainment, which ranged from singers ( boy can they belt a tune) ,dancers, to drummers to acrobatics and much much more. Yes drinks are not cheap but hey its the west end !! and considering you get a three course meal and a full on show its still value for money for a great night. Really don't understand the negative reviews.. Whole thing was truly amazing."
30,I don’t k ow were to start paid almost 200 for three people the food was a disaster raw lamb and I like rare meat blood all over the plate food stone cold and desert was liquid not set complained to the manager who has no customer service skills he was very rude .tickets being sold half price . Still waiting for the drinks we paid for Half bottle of champagne and beers missing .we think staff keeping drinks back for themselves .Disgraceful shame on you. Never even poured the wine Waiter service was a disgrace disinterested to busy posing . The show was just ok lots of gaps between acts and not that good singers weee good big dog appeared didn’t quite get that l intend to inform environmental health regarding the raw cold and uncooked food as these kitchens really require an inspection . We could not eat this meal as we would have been sick . Word of caution don’t waste money on this experience if we had the top package I hate to think what was on offer for others . Final point we were three people to be sat at 2 separate tables you couldn’t make this up what a poor show . Spend your money going to a professional theatre production and a restaurant that serves quality all in a if I could give zero stars I am still trying to find out who to make a complaint to as the manager would not help with this process horrible service horrible experience
31,First time in this palce. If it wouldn't have been for Viktorrja our experience would not haven been so beautiful. She is the best ever. Thank you!! Niko best dancer ever!! We will come back for you!!
32,Absolutely shambles with the food. Service was mediocre. I booked this for my wife's birthday and we never even received our desert! We made a formal complaint but was ignored several times despite chasing. Would never go there again.
33,"Had a brilliant time at the London Cabaret club for my 30th birthday. Performers were amazing and I thought the way they split the performances up with the parts of the meal interspersed throughout meant it felt like you were always well entertained. I would say the drinks were very expensive, £100 for a bottle of Prosecco! You can pre-order drinks to get 10% off but even so I’d say the drinks were very overpriced. Other than that though we had a brilliant time!"
34,"Cabarat was ok, although my partner and I felt there was no flow..too many breaks In between the acts.. Service was good, as one would expect, as you get charged for service. Bottle of House wine £40, service £6..  At the beginning of the show a large dog was brought on stage, Why ? A bit pointless!  Overall, we didn't really enjoy it, it lacked continuity, and felt breaks too long ."
35,Our waiter Jonathan was another level of amazing- what a credit to the team he was!!!! The performers were great and provided great entertainment for the evening! The staff were great which led to a fab evening. Jonathan thank you so much! My grannys 80th was superb!
36,"We went for a special birthday celebration. The staff were so welcoming and made the evening very special. Thank you to Jonathan, our server, who was very attentive and friendly. The cabaret was out of this world. The singers were super talented. Such a fun, lively atmosphere. We loved the DJ afterwards. Just a shame about the food. You could only choose between meat option or vegetarian. The starter was raw salmon, the main was tasty roast chicken and the dessert was some sort of strawberry puree. You will spend a lot on drinks but it is a a great night out for a special treat!"
