,opinions
0,"I'm at Verse Toujours in Paris, Île-de-France https://swarmapp.com/c/dSslciHK7uo"
1,"晩ごはん。想定してたより大量( ; ゜Д゜)味は満足。 (@ Verse Toujours in Paris, Île-de-France) https://swarmapp.com/c/j0aLk4BJ2KR"
2,"Petite terrasse au soleil entre collègues ! (@ Verse Toujours in Paris, Île-de-France) https://swarmapp.com/c/4jsBBhwxqa2"
3,"I'm at Verse Toujours in Paris, Île-de-France https://swarmapp.com/pasquale2b/checkin/53e5fb1d11d251d3fdc401a4?s=ZiOfxDwwDTg8KsBIIR7GSXIBn-s&ref=tw…"
4,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/1mNjAvc"
5,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/1cL68Ss"
6,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/1fxQgET"
7,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/17sE4A4"
8,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/15mfIsk"
9,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/13kv7Gr"
10,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/12G5106"
11,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/15usSFf"
12,"I'm at Verse Toujours (Paris, Île-de-France) [pic]: http://4sq.com/WTJYoE"
13,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/TVOyi8"
14,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/Qc9BC0"
15,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/SqvDxh"
16,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/UKgcTp"
17,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/NeYZQl"
18,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/O4hcB2"
19,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/N3Z9ZW"
20,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/LnjFAx"
21,"I'm at Verse Toujours (Paris, Île-de-France) http://4sq.com/Lil63b"
22,"Cozy place with friendly staff, the first impression was dynamic and gave the base vibe for the night. Then we had a 3 course meal, every course was amazing and tasted wonderful. The staff was very helpful and we had one of the best experience in our visit of Paris."
23,"Wonderfull food, and drinks, very very tasty, peacefull place with a lot of attencion to service and all details, very well presentes dishes and with a large option, Keep UP with The good work."
24,"My other half booked this place for our first night in paris. It was lovely. The environment is welcoming, staff so friendly and attentive, the food was exceptional. Really lovely. The aperol spritz was also perfect.. thankyou!"
25,"Verse Toujours is a must-visit when in Paris. Food comes out so quick and it is so delectable. Service is also impeccable. If you want a relatively inexpensive authentic meal with a great ambience and great service, look no further than Verse Toujours."
26,"Amazing experience from the moment we stepped in. We were greeted with a huge “welcome, how can I help you?”. The atmosphere was really cozy and warm. The waiters were helpful and polite, and ready to translate the whole menu if we needed it. The food was really great, simple dishes but very well done and perfectly sized.  All in all, a really lovely restaurant with heart and warmth, great food and a staff that really cares about the guests!"
27,"Thank you Olga and the Waitstaff! You were all fantastic. The food was great, my favourite beverage was available and the ambience was fantastic too. Highly recommended."
28,"The menu offers a wide variety of delicious starters and main courses that will appeal to youngsters and adults alike. Everything we ate was fresh and delicious. The tastiest tartar I ever had! The service was great! Owner of the restaurant is very nice, friendly - made our evening fantastic! Totally recommend!"
29,As soon as we walked in we were so kindly greeted. Service was great and the food was excellent. We wanted to try more but we’re so full from the mains.
30,"Verse Toujours is an absolute gem - with its quirky decor, thoughtful drinks menu, amazing food (in hearty portions!) & wonderful staff (especially Olga) who were always on-hand with suggestions and offers of ‘secret’ dishes from the kitchen . We went as a family on a quick Paris break over Christmas and it was the highlight of our trip!"
31,"I entered and had a salad with fish. Everything in the salad was fresh and flavorful, and the food arrived quickly. It was delectable. Without a doubt, I would return."
32,Excellent restaurant run by a nice hostess Olga. Ate there with friends and would advice it highly! Great atmosphere and delicious food.
33,"I live in the neighborhood and always rely on this establishment for excellent food and drinks. Everything on the menu is reasonably priced, the restaurant has a great ambiance and all the staff are friendly and helpful. Highly recommend!"
34,"We were in Paris for 1 week and ate at this restaurant twice.....that's how good the food is. Besides the amazing food, the staff were the kindest people we came across our entire trip, the drinks were delicious and the atmosphere was very warm and welcoming. When we go back to France, we will definitely be going back to Verse Toujours!"
35,Great food. Great atmosphere. Delicious cocktails. Great service. Great prices. Would absolutely recommend anyone traveling to try this place!
36,"Bilingual English, French. Great service, delicious food, desserts & drinks Would absolutely recommend as a place to stop if your looking for a nice dinner."
37,"Very pleasant diner. Nice, informal atmosphere with helpfull staff. Wine to taste and compare before ordering. Good food (Well cooked, nice presentation, good size) and drinks. Price-quality superb (2 persons: cocktail, entree, main, wine, water, coffee <€100)!"
38,"We were in Paris for a week and this by far was the best dining experience we had. They have enough seating for almost any size party (we were party of 6), they spoke English, were friendly and attentive, and THE FOOD. We basically ate family style, and tried 6 different meals, 4 different desserts, and 5 different drinks. Everything was immaculately prepared and a pleasure with every bite. Bartender was particularly fun and made everyone feel welcome. Will return!"
39,A must for your trip to Paris. The place is packed with charm in the heart of Paris. The staff were extremely attentive and polite. The food was excellent! Try the cheese board …it’s divine. Food was served very quickly and piping hot! I would recommend this place without any doubt.
40,Nice neighborhood Paris Bistro. The food was well prepared and flavorful. The service was attentive. It is a quint spot off the beaten path
41,if you want to have dinner at reasonable prices with french neighbors and the possibility to sit outside you are absolutely right here. We had a nice dinner and will definitely return.
