,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
0,Nigel Walsh ,@nigelwalsh·1月1日,2023-01-01,"Im a fat of Boucherie on Union Square (just down from Hillstone), also Minetta Tavern",,,,305,en,Boucherie Union Square 
1,GMS,@GMS_MCMI·2022年11月20日,2022-11-20,Just posted a photo @ Boucherie Union Square,,,,en,,Boucherie Union Square 
2,Seed Oil Scout,@SeedOilScout·2022年11月16日,2022-11-16,"7. Boucherie Union Square, Rating: 4/5, Views: 318    Review: ""Largely safe here, avoid the deep fryer. Tartare is good to go with EVOO, all meats are grassfed. Hudson valley foie gras, farm raised organic eggs and..."" Website: http://boucherie.nyc",1,1,4,en,,Boucherie Union Square 
3,Alex Smile,@alex_7mile·2022年11月11日,2022-11-11,worry about the excuses u will have after the fightwith that being said check Boucherie Union Square,,,1,en,,Boucherie Union Square 
4,Myriah Gould,@MyriahGould·2022年11月4日,2022-11-04,Boucherie Union Square,,,1,en,,Boucherie Union Square 
5,Lisa,@HarrerTomi·2022年10月17日,2022-10-16,"I have been to Boucherie West Village twice, I prefer West Village to be more cosy, but both are beautiful, it also has Union Square and the same menu as Petite Boucherie in West Village",,,,en,,Boucherie Union Square 
6,Ben Deutsch ,@BenLikesMovies·2022年8月2日,2022-08-02,Win a dinner for two at Boucherie Union Square from @doNYC  http://donyc.com/r/0PgKxz/events/13143341?utm_campaign=giveaway&utm_source=share&utm_medium=twitter… #nyc #donyc #giveaway,,1,,en,,Boucherie Union Square 
7,Azad Yakatally,@AYakatally·2022年6月22日,2022-06-22,"In no particular order: Miss Lily’s, La Lanterna di Vittorio, Boucherie (Union Square), Cathedrale, OBAO (Hell’s Kitchen)",1,,2,en,,Boucherie Union Square 
8,Roger Tully,@rogertully·2022年6月17日,2022-06-17,Happiest of birthdays my love. Fun cavorting around the city with you last night. With @cathy__johnson @ Boucherie Union Square,,,,en,,Boucherie Union Square 
9,Daisy ah,@Merlene82307570·2022年5月10日,2022-05-10,"French food to eat the mood, over the eyes, half of life is fireworks, half is poetry, enjoy the time of food is happy, eat what you like to eat, live an exquisite life, welcome to Boucherie Union SquareExperience a different kind of romance",2,5,14,en,,Boucherie Union Square 
