,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
0,creativequotes,@freeusaquotes·2022年12月24日,2022-12-24,Boucherie West Village,,,,3,fr,Boucherie West Village 
1,Jake Reynolds,@pastrygoth·2022年12月20日,2022-12-20,I went to Boucherie west village and Thomas Keller wasn't there what gives,,,,22,en,Boucherie West Village 
2,Putaforkinit_,@ig_putaforkinit·2022年12月16日,2022-12-15,"Boucherie  Your Above Average Butcher Shop••@boucherienycWest Village, NYC•• @ Boucherie West Village",,,,5,en,Boucherie West Village 
3,Raven__ous,@MelinaPavlakou·2022年12月9日,2022-12-09,Boucherie West Village and La Vie En Rose cocktail...το δικαιούμαι! Cheers!,5,4,28,und,,Boucherie West Village 
4,Nanaka ,@nanaka9·2022年11月24日,2022-11-24,Just posted a photo @ Boucherie West Village,,,,en,,Boucherie West Village 
5,creativequotes,@freeusaquotes·2022年11月19日,2022-11-19,Boucherie West Villagehttps://classifiedsmarketing.com/?p=952&feed_id=17584…,,,,fr,,Boucherie West Village 
6,creativequotes,@freeusaquotes·2022年11月10日,2022-11-10,Boucherie West Villagehttps://classifiedsmarketing.com/?p=952&feed_id=11194…,,,,fr,,Boucherie West Village 
7,Tog emot nya svar,@mariabrostrom·2022年10月31日,2022-10-31,"Har varit där fyra gånger! Kul med NFL, det har jag inte upplevt.Om du inte testat pizzan på Roberta’s i Brooklyn rekommenderar jag det varmt! Och frukost/brunch på Viand Coffee Shop på Madison Ave eller Boucherie i West Village.",1,,1,sv,,Boucherie West Village 
8,Lisa,@HarrerTomi·2022年10月17日,2022-10-16,"I have been to Boucherie West Village twice, I prefer West Village to be more cosy, but both are beautiful, it also has Union Square and the same menu as Petite Boucherie in West Village",,,,en,,Boucherie West Village 
9,Mark Zinni,@MarkZinni·2022年10月2日,2022-10-01,Spectacular Saturday selfie in the city. @ Boucherie West Village,,,2,en,,Boucherie West Village 
10,Always Green Carpet Cleaner NYC,@nyc__cleaning·2022年9月30日,2022-09-30,Do you want to revive your dusty and worn carpets at an affordable price? Call Always Green Carpet Cleaner and our  steam cleaning will make your carpets look like new again. In this video we are cleaning the carpets at Boucherie West Village. #carpetcleaning #steamcleaning,,,,en,,Boucherie West Village 
11,mel misses harry ,@sunflwermelody·2022年8月29日,2022-08-29,Boucherie in West Village has really good almond croissants and waffles!,,,,en,,Boucherie West Village 
12,Tog emot nya svar,@mariabrostrom·2022年8月26日,2022-08-26,"Gotham Bar & Grill, säger jag då. 28 dagars hängmörad stek, om de har den kvar. Bästa jag ätit i hela mitt liv.Pizza ska ni äta på Roberta’s i Brooklyn.Boucherie i West Village eller Viand Coffee Shop på Supper East för frukost/brunch.",,,1,sv,,Boucherie West Village 
13,Felito__144,@Kasanova144·2022年8月26日,2022-08-26,"Scalini Fedeli, Boucherie west village,Momosan (if you like ramen and sushi), Pastis, Scarpetta, Chart House (great views of the city, Porto Leggero. Let me know if you need more. I gave you a few of each kind of dish.",,,1,en,,Boucherie West Village 
14,Lynn,@LRick1960·2022年8月23日,2022-08-23,NYC two weeks ago Boucherie West Village. Porterhouse for two. Absolutely the best steak we had ever tasted. From appetizers to dessert to wine the whole meal was memorable. Service was impeccable.,,,4,en,,Boucherie West Village 
15,mel misses harry ,@sunflwermelody·2022年8月21日,2022-08-20,Boucherie in the West Village has great waffles (kind of expensive  $16 waffles but house made jam ) ad almond croissants! Battery park! The Met (would do on same day as central park),,,1,en,,Boucherie West Village 
16,ANI - youngyogi.eth,@youngyogi96·2022年8月4日,2022-08-04,Boucherie in the west village… very romantic spot if you’d like to join,,,,en,,Boucherie West Village 
17,Gamma trader,@csteve360·2022年8月2日,2022-08-02,#nyc #boucherie @ Boucherie West Village,,,,fr,,Boucherie West Village 
18,𝖇eci ,@simpkkuno·2022年6月7日,2022-06-07,"wooo have fun!high line, dumbo area, and west village are all pretty places to visit!soho, hudson yards, and midtown if you like shoppingeats: boucherie (french), pecora bianca (italian), rubirosa (pizza), five senses (korean), friedmans (brunch), 12 chairs (middle eastern)",1,,41,en,,Boucherie West Village 
19,PrachyaKlong,@PrachyaKlong·2022年6月4日,2022-06-04,"05282022 West Village, Manhattan, New York, NY USA#klong #thaitayan #travel #lifestyle #westvillage #manhattan #newyork #ny #newyorkcity #nyc #usa @ Boucherie West Village",,,,en,,Boucherie West Village 
20,PrachyaKlong,@PrachyaKlong·2022年5月29日,2022-05-29,I checked in at Boucherie West Village on #Yelp,,,,en,,Boucherie West Village 
21,jpmuzz,@jpmuzz·2022年4月16日,2022-04-16,West Village. #motoguzzi #petiteboucherie #westvillage #jpmuzz @ Petite Boucherie,,,,fr,,Boucherie West Village 
22,𝓝𝗂𝗑𝗂𝖾 𝓘𝗏𝖺𝗌𝗁𝗄𝗈𝗏.,@whatcverittakss·2022年3月24日,2022-03-24,"En ese caso puedo recomendarte el ""Boucherie West Village"", es tranquilo, tiene un estilo relajado y familiar. Se come muy rico, espero te sirva.",1,,,es,,Boucherie West Village 
23,NYC ALL DAY 24/7 ,@nycallday247·2022年3月18日,2022-03-18,Brunch at Boucherie West Village.https://meetup.com/big-apple-beauties-30s-50s/events/283933826… via @Meetup @BoucherieNYC#Boucherie #WestVillage #NYC #BoucherieNYC,,,,en,,Boucherie West Village 
24,brandonbeckhardt,@bebeckhardt·2022年1月18日,2022-01-18,"Harry’s in FiDi, The Standard Grill, Boucherie West Village, Raines law room Chelsea for drinks",,,1,en,,Boucherie West Village 
25,Dusty Pee,@DustyPee·2022年1月11日,2022-01-11,"Boucherie, West Village. Oui!",1,1,1,fr,,Boucherie West Village 
26,Sha Sha,@francescatututu·2021年12月29日,2021-12-29,Update: I met him at Boucherie in the West Village. Food & drinks were yummy. We sat outdoors in a heated spot. No other people.I love seeing my baby.I’m good.Thanks all who sent me advice.,,,12,en,,Boucherie West Village 
27,𝐱,@stoopsound·2021年12月27日,2021-12-27,Which Boucherie is better? West Village or Union Square?,1,,,en,,Boucherie West Village 
28,McMillan D.M.T.,@McMillNY·2021年12月16日,2021-12-16,"In NYC, Balthazar and Boucherie West Village.",,,,en,,Boucherie West Village 
29,Lorraine & Bob Jacobsen,@LorraineAndBobJ·2021年12月13日,2021-12-13,Have you ever been to Boucherie West Village? Would you recommend it? https://yelp.com/biz/boucherie-west-village-new-york-3?adjust_creative=oL3IFSLKuAvBuqJLVWV6Dw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oL3IFSLKuAvBuqJLVWV6Dw…,,,,en,,Boucherie West Village 
30,miss bad mama jama ,@Curls_n_Tumbao·2021年11月26日,2021-11-26,It’s Boucherie in West Village! Super cute and poppin’,,,1,en,,Boucherie West Village 
31,nestor,@lildvlpr·2021年10月31日,2021-10-31,Boucherie in the west village is pretty good,,,1,en,,Boucherie West Village 
32,jpmuzz,@jpmuzz·2021年10月21日,2021-10-21,West Village Wine…. #westvillage #petiteboucherie @ Petite Boucherie,,,,en,,Boucherie West Village 
33,Paul Masson,@paulmassonbrand·2021年10月14日,2021-10-14,"My brother-in-law was denied entry to Boucherie West Village (pre-pandemic) for wearing a t-shirt that read ""BORN 2 SH*T / FORCED 2 WIPE"" because it was against the dress code, so yes, the stylish/unstylish binary is a ""violent hierarchy"" (to borrow the terminology of Derrida.)",,,,en,,Boucherie West Village 
34,By.Lavache,@ByLavache·2021年10月9日,2021-10-09,I checked in at Boucherie West Village on #Yelp https://yelp.com/biz/boucherie-west-village-new-york-3?pt=check_in&ref=twitter&utm_campaign=CheckIn&utm_medium=twitter&utm_source=ishare&v=4b…,,,,en,,Boucherie West Village 
35,mom of a terror tot,@prplehaiz·2021年9月28日,2021-09-27,Soooo happy for the first IRL event!  (@ Elite Event: Happy Hour at Boucherie West Village) on #Yelp https://yelp.com/biz/elite-event-happy-hour-at-boucherie-west-village-new-york?pt=check_in&ref=twitter&utm_campaign=CheckIn&utm_medium=twitter&utm_source=ashare&v=4b…,,,,en,,Boucherie West Village 
36,THEESPNHATER,@theespnhater·2021年8月15日,2021-08-15,Boucherie in the West Village area.,,,1,en,,Boucherie West Village 
