,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
0,Chrisb Marquez ,@chrisbmarquez·2022年12月30日,2022-12-30,IPANEMA RESTAURANT https://behance.net/gallery/158067169/IPANEMA-RESTAURANT…  > Get in the game  https://bit.ly/34VkuFb,,,,101,en,Ipanema Restaurant 
1,Trending Topics Worldwide,@TrendyTopicsNow·2022年12月30日,2022-12-30,"IPANEMA RESTAURANTIpanema is a family-owned Brazilian restaurant in the heart of Midtown Manhattan. Originally opened on Little Brazil street in 1979, the restaurant, over the last four decades, has entrenched itself as the quintessential destination f… https://ift.tt/sfge7AW",,,,21,en,Ipanema Restaurant 
2,Juanjo Nogueira,@juanjonogueira·2022年12月30日,2022-12-30,IPANEMA RESTAURANT   https://bit.ly/3ImepDk  #diseño #design #diseñadores #creatividad #creativos #creative #art,,,,9,ca,Ipanema Restaurant 
3,Winston Smith,@crim_thought·2022年12月30日,2022-12-30,"I partied in Rocinha multiple times. Pretty safe. Originally felt nervous around the masked gunmen, but over time it was fine. By the end of it I was taking public bus from the base back to Ipanema at 3am. Great sushi restaurants with views and all, great prices too!",1,1,21,"3,191",en,Ipanema Restaurant 
4,Sebastián Fernández,@sebastian3k·2022年12月29日,2022-12-29,Hace algunos años en #RiodeJaneiro fuí a comer a un restaurant japonés en Leblon y después caminé casi todo el malecón de Ipanema. Me acuerdo que disfruté inmensamente.  Ese día me propuse celebrar un año nuevo en #Copacabana y el año menos pensado lo haré! #Brasil #BUCKETLIST,,,7,525,es,Ipanema Restaurant 
5,blushingcupid,@_blushingcupid·2022年12月26日,2022-12-26,"They clung to each other as they walked the crowded beaches of Ipanema and Leblon, ignoring the happy voices around them. They had late, quiet dinners in their favorite restaurants. When they spoke, the sentences were soft and short. The long conversations ended in tears.",,,,39,en,Ipanema Restaurant 
6,Shari ,@sharichadd·2022年12月13日,2022-12-13,Have you been to Ipanema beach? The beef is incredible at the Garota de Ipanema restaurant where the song was written.,1,,1,en,,Ipanema Restaurant 
7,Ready for Polyamory ,@ready4polyamory·2022年12月13日,2022-12-13,This restaurant just played a manbo no 5 remix back to back with a rap situation over a girl from Ipanema track and I have never felt so seen as a 1980s child of Brazilians in the states,,,16,en,,Ipanema Restaurant 
8,Galerie Yeche Lange,@Yeche_Lange·2022年12月12日,2022-12-12,Laughing alone at the restaurant the tip is equal to the weight of the waitress smile in platinum cough drops by @jaredmadere1 (2022)Floating crepe stand in Ipanema @jaredmadere1 (17 generations remain this hour),1,,,en,,Ipanema Restaurant 
9,John Patchoski,@JPatchoski·2022年12月11日,2022-12-11,Rumor has it that Ipanema Grille is one of the best Traditional American restaurants in town. Do you agree?John Patchoski https://yelp.com/biz/ipanema-grille-scranton?adjust_creative=oL3IFSLKuAvBuqJLVWV6Dw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oL3IFSLKuAvBuqJLVWV6Dw…,,,,en,,Ipanema Restaurant 
