,Name,User_name,Date,Content,Comments,Forward,Like,language,1,Restaurant
0,Djamal Benalia,@benaliajimmy·1月1日,2023-01-01,65% des forces de la  libre était des africains *« une petite partie » ?Oui mon père c’est engagé dans l’armée française pour pouvoir manger pendant que les colons ce gavait comme des cochons! Il a survécu a la boucherie sinon je ne serai pas là! « Misère du bled »?Salaud vas !,1,,1,36,fr,Petite Boucherie
1,azerty,@azerty_56·2022年12月31日,2022-12-31,"Merguez vegan de ""Ma petite boucherie vegan"" et des PST en médaillions revenue dans l'huile et de la sauce soja. Légume (au choix), pois chiche, semoule avec un bon morceau de ""beurre salé"" (st Huber) cannelle cumin sel poivre.",,,,17,fr,Petite Boucherie
2,Juliet Morin,@juliettemorin45·2022年12月31日,2022-12-31,Tient juste pour te donner une petite idée de la boucherie que tu envisages.,,,,30,fr,Petite Boucherie
3,Tilyk,@Tilyk_p·2022年12月30日,2022-12-30,Ça c’est juste parce que tu veux me pécho au HF avec ta petite chemise,1,,2,42,fr,Petite Boucherie
4,Starfleet Engineer,@Escargophones·2022年12月29日,2022-12-28,Et c’est pas des petites fautes. On était sur une belle petite boucherie,,,,65,fr,Petite Boucherie
5,GUTS idriss,@monkey_driss·2022年12月28日,2022-12-27,je note les move c'est trop du caviar j'ai hâte vraiment je pronos une petite boucherie pour le prochain fight,1,,1,155,fr,Petite Boucherie
6,Don Walker ,@Elcamer237·2022年12月21日,2022-12-21,"KYKY de BONDY est en mission 2023 sera une boucherie mais par pitié trouvez une petite à Mbappé, Kylian il faut te détendre mon gars doucement",,,5,"3,067",fr,Petite Boucherie
7,L'inactualité,@inactualite·2022年12月20日,2022-12-20,"Selon les Ukrainiens, Bakhmout est une petite ville de rien du tout sans le moindre intérêt militaire...Il semble donc que la boucherie va continuerRappel: 9 canons russes pour un canon ukrainien sur la ligne de front, de l'avis de militaires ukrainiens...",,,,90,fr,Petite Boucherie
8,DUTERTE IN PARIS,@5aiiga·2022年12月18日,2022-12-18,"3-0 pour la France , une petite boucherie de province",,,,65,fr,Petite Boucherie
9,GESTALA Louise ,@GestalaLouise2·2022年12月17日,2022-12-17,"C'est certain la violence a atteint un tel degré d'horreur, de perversion (petite #Lola, Samuel #Paty, Arnaud #Beltrame, Jacques #Hamel et bien d'autres hélas) qu'1 guerre civile de nos jours avec autant de barbares sur notre sol serait du pur carnage, 1 boucherie jamais atteinte",3,14,10,523,fr,Petite Boucherie
10,DJboucherie - Metal / Gaming / Horreur,@La_boucherie_DJ·2022年12月16日,2022-12-15,"On y voit RIENMais malgré tout, j'ai cette petite fierté de me dire:On a passé le stade du simulateur, les choses sérieuses attaquent enfinMon tout premier vol en mode manuel (accro mode) avec un E-MAX TINYHAWK II Freestyle",2,5,49,"5,436",fr,Petite Boucherie
11,MiiThyX,@MiiThyX·2022年12月15日,2022-12-15,petite infos ta vu les heure demander bah durant tes 127H toute tes pub sont majoré donc en realité tu gagnera plus et si tu fais un peu plus que les 127h demander tu aura aussi les dollars tu contrat exemple 64 dollars + les pub durant les 127h demandé ;),1,,3,"1,459",fr,Petite Boucherie
12,L'Est Républicain Toul,@LEstRepToul·2022年12月13日,2022-12-13,"#Toul : quatre ans et neuf mois après son ouverture, la galerie d’art à devanture rouge de la rue de la Petite Boucherie fermera définitivement ses portes dimanche. L’aventure prend fin à moins qu’une reprise s’annonce.",,,,fr,,Petite Boucherie
13,Suzanne Sto Helit,@Suzanne_suzu·2022年12月11日,2022-12-11,Oui. La petite. Sylvie.Parce qu'en fait c'était une boucherie !,,,2,fr,,Petite Boucherie
14,Mr.Poulpe,@poulpebulle·2022年12月11日,2022-12-11,@La_boucherie_DJ @MadChannel5 cc un tit jeu d'horreur sorti le 7 decembre avec une petite amie psycho,1,,2,fr,,Petite Boucherie
15,Pascal Bou,@pabou80·2022年12月10日,2022-12-10,"Oui, et ils ont toujours une petite attention et puis on se vanne, on rigole ça mets une ambiance sympa dans la boucherie",,,3,fr,,Petite Boucherie
16,Laurent Galopin ,@LaurentGalopin·2022年12月10日,2022-12-10,"J'aurais pas dit ça comme ça, c'était une boucherie ! Tant de mauvais jeu... Et le banc hollandais qui se rue sur le terrain pour la bagarre... Non mais quel exemple pour la jeunesse ?",,,,fr,,Petite Boucherie
17,Bid-G,@PanierGarnis·2022年12月7日,2022-12-07,Petite boucherie au crabe croustillant #HaloInfinite #XboxShare,,,,fr,,Petite Boucherie
