,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,Mauro Porcini,@MauroPorcini·2022年11月30日,2022-11-30,Just posted a photo @ Piccola Cucina Estiatorio,,,,it,Piccola Cucina Estiatorio
1,머핀,@loverwithTHsign·2022年11月10日,2022-11-10,미국 뉴욕 Piccola Cucina Estiatorio여긴 그닥.. 저 초록색은 그나마 맛있었는데 진짜 너무 짰어요 ... 미국 음식은 대부분 다 짠 것 같지만 여기가 ㄹㅈㄷ .. 진심 소금 그 자체 ....... 나 파스타마니아인데 남김#태현이의_소식먹방 #태현아_한번_맛볼테리 #강이사님_드셔보세요,1,,,ko,Piccola Cucina Estiatorio
2,"mik c'',) ",@ma2keithappen·2022年9月15日,2022-09-15,Piccola Cucina Estiatorio | New York USA | Ma2ke Directory USA #shorts #... https://youtube.com/shorts/rCVDtYpdIPU?feature=share… via @YouTube,,,,it,Piccola Cucina Estiatorio
3,Eiichiro Homma,@Eiichiro_Homma·2022年7月19日,2022-07-19,We had a team dinnerThank you for a big fun night、ニューヨークスタッフとのチームディナーです。楽しい一時でした。#nanamica #nanamicanewyork #newyork #team 場所: Piccola Cucina Estiatorio,,,,ja,Piccola Cucina Estiatorio
4,Dome,@DomeQuisciotte·2021年10月21日,2021-10-21,"Piccola Cucina Estiatorio                       75 Thompson StNew York, NY 10012United States",,,1,it,Piccola Cucina Estiatorio
5,modomatic,@modomatic·2021年9月19日,2021-09-19,"An Italian break from the busy SoHo. (@ Piccola Cucina Estiatorio in New York, NY) https://swarmapp.com/c/lBdgyNIwSl7",,,,en,Piccola Cucina Estiatorio
6,เป็งคลบาป,@LaPeGuaYnitta·2021年5月19日,2021-05-18,ขอตอบแทนนะคะ ถ้าอาหารอิตาลี่แนะนำร้านนี้ค่ะถ้าไม่ชอบ แถวย่านโซโห ตัวเลือกเยอะมากค่ะ ลองเดินดูได้ อ้อ ร้านนี้อยู่ฝั่งตรงข้ามร้าน Laduree ที่ไทยขายแต่มาการอง ที่นี่มีขายอาหารฝรั่งเศษด้วยค่ะ สวนด้านหลังสวยมากPiccola Cucina Estiatorio(646) 781-9183,1,,1,th,Piccola Cucina Estiatorio
7,Mauro Porcini,@MauroPorcini·2021年5月15日,2021-05-15,Welcome (back) to New York @steepitt & @marcomazzoliofficial  @ Piccola Cucina Estiatorio,,,,it,Piccola Cucina Estiatorio
8,Christine McBurney (Cuomo),@Christine_McB·2021年4月23日,2021-04-22,Mother-in-law & Daughter-in-law mani-pedis & dinner  @ Piccola Cucina Estiatorio https://instagram.com/p/CN_IiNOJB2t_j3hbZBw3vyFho9yw25tT5JPZls0/?igshid=1khhniu0m7bts…,,,1,it,Piccola Cucina Estiatorio
9,Guy Rachmani,@GRachmani·2021年4月1日,2021-04-01,Piccola Cucina Estiatorio,1,,,it,Piccola Cucina Estiatorio
10,Monique Leshman,@Monique_Leshman·2021年4月1日,2021-04-01,Just posted a photo @ Piccola Cucina Estiatorio https://instagram.com/p/CNHEKfAnKX2/?igshid=iuu2b4t8fjg2…,,,,it,Piccola Cucina Estiatorio
11,Monique Leshman,@Monique_Leshman·2021年4月1日,2021-04-01,Just posted a video @ Piccola Cucina Estiatorio https://instagram.com/p/CNHDTeZHeFK/?igshid=5rcvp8tgjf3t…,,,,it,Piccola Cucina Estiatorio
12,Mauro Porcini,@MauroPorcini·2021年2月21日,2021-02-20,Please stop me. Please... @piccolacucinany @ Piccola Cucina Estiatorio,,,,it,Piccola Cucina Estiatorio
13,Monique Leshman,@Monique_Leshman·2021年2月17日,2021-02-17,Linner = Lunch + Dinner #myobsessionwithfood.. ... #carpaccio #lobster #pasta #italian #nyc #soho #foodie #nycfood @ Piccola Cucina Estiatorio,,,,it,Piccola Cucina Estiatorio
14,Sal Mozzarella,@SallyMozz·2021年2月6日,2021-02-06,Beautiful home made ravioli and great service on a beautiful night #mikenyc10 #sicilianstyle @ Piccola Cucina Estiatorio https://instagram.com/p/CK79U-QhAnn/?igshid=10wjev2q50214…,,,,en,Piccola Cucina Estiatorio
15,Mauro Porcini,@MauroPorcini·2020年10月28日,2020-10-28,#Goodnight @ Piccola Cucina Estiatorio,,,,it,Piccola Cucina Estiatorio
16,Giovanna B.,@Giopergliamici·2020年10月20日,2020-10-20,Ma quanto è bello *  @ Piccola Cucina Estiatorio.* ph #marioserpa,,,21,it,Piccola Cucina Estiatorio
17,MariaBonita NY,@MariabonitaNy·2020年10月12日,2020-10-12,Just posted a photo @ Piccola Cucina Estiatorio https://instagram.com/p/CGPqzJtphbj/?igshid=yz0upoo2aquv…,,,,it,Piccola Cucina Estiatorio
18,Josh Beckerman,@foodiemagician·2020年9月1日,2020-09-01,"A taste of Sicily in Soho. @Cucina_Piccola - swordfish wrapped buffalo mozzarella, fritto misto, cruso. Excellent! #foodiemagician #stilleating #nyc #iloveny @ Piccola Cucina Estiatorio https://instagram.com/p/CEmwbeOFAsp/?igshid=5370o6xbhia8…",,,,it,Piccola Cucina Estiatorio
19,Dancing Rick,@Flylikeaneagle2·2020年1月21日,2020-01-21,Piccola Cucina Estiatorio on Thompson St in soho. Authentic and great value.  80 each with a good wine.,,,,en,Piccola Cucina Estiatorio
20,Gogamagoga,@GiovanniNicast4·2020年1月13日,2020-01-13,mangiando la cena presso Piccola Cucina Estiatorio https://facebook.com/1525036821/posts/10221585769503307/…,,,,it,Piccola Cucina Estiatorio
21,Matteo Franceschetti,@m_franceschetti·2019年11月9日,2019-11-09,"For pizza: Keste, Serafina Tribeca and San Matteo. For Italian Piccola Cucina Estiatorio, Sant Ambreus, Maialino. For Greek Pylos or Milos. For Mexican tacos go to Los Tacos Number 1 inside Chelsea market.",,,1,es,Piccola Cucina Estiatorio
22,Gustavo Cortes,@_GusCg·2019年6月1日,2019-06-01,"I'm at Piccola Cucina Estiatorio in New York, NY https://swarmapp.com/c/k3IzIbcP7B0",,,,it,Piccola Cucina Estiatorio
23,リーナ,@ReinaNYODA·2019年2月17日,2019-02-17,彼とPicolla Cucina Estiatorioでディナーをしました！雲丹のパスタを頼んだけど、雲丹感が薄かったので、今度はカルボナーラを頼みたいな！#piccolacucinaestiatorio #seaurchinpasta #ウニパスタ @ Piccola Cucina Estiatorio https://instagram.com/p/Bt_wvDuHRhS/?utm_source=ig_twitter_share&igshid=h4wvcnfre8pw…,,,1,ja,Piccola Cucina Estiatorio
24,Eric Schauer,@ESchauer1·2019年1月16日,2019-01-16,amore! @ Piccola Cucina Estiatorio https://instagram.com/p/BssErvHnpXP/?utm_source=ig_twitter_share&igshid=w99by8ebseyq…,,,,it,Piccola Cucina Estiatorio
25,Gustavo Cortes,@_GusCg·2019年1月5日,2019-01-05,"I'm at Piccola Cucina Estiatorio in New York, NY https://swarmapp.com/c/8AUXZeFJEly",,,,it,Piccola Cucina Estiatorio
26,Jeff Johnson,@jeffj1113·2018年12月25日,2018-12-25,Joint is bumpin'!!  — drinking wine at Piccola Cucina Estiatorio https://facebook.com/1355986889/posts/10218030379015132/…,,,,en,Piccola Cucina Estiatorio
27,Kelly Evans,@KEvans4NCTeach·2018年11月11日,2018-11-11,"Piccola Cucina Estiatorio on #Yelp: Fresh, Delicious, beautifully seasoned and knowledgeably and solicitously serve… https://yelp.com/biz/piccola-cucina-estiatorio-new-york?hrid=MfEcx7yCICWFuKUk3aGphg&pt=review&ref=twitter&utm_campaign=Review&utm_medium=twitter&utm_source=ishare&v=3…",,,,en,Piccola Cucina Estiatorio
28,Oriana LaMarca,@orianalamarca·2018年10月15日,2018-10-15,My fav kind of #sundayfunday involves a plate of pasta   and some delicious #armcandy  #balancedmeal #addictedtoarmcandy @Cucina_Piccola @ Piccola Cucina Estiatorio https://instagram.com/p/Bo7zdCdhjIU/?utm_source=ig_twitter_share&igshid=1eiuphk56jret…,,,,en,Piccola Cucina Estiatorio
29,Oriana LaMarca,@orianalamarca·2018年10月2日,2018-10-02,"Triple threat: , , and  Tap the pic to shop the #armcandy or visit http://orianalamarca.com #addictedtoarmcandy @ Piccola Cucina Estiatorio https://instagram.com/p/BocAXcbB3Az/?utm_source=ig_twitter_share&igshid=fu1fyox86ef2…",,,,en,Piccola Cucina Estiatorio
30,Nicole Edry,@NicoleEdry·2018年9月28日,2018-09-28,I have super cool coworkers  #loveyouguys #especiallyafterwine @ Piccola Cucina Estiatorio https://instagram.com/p/BoQFybAh8pk/?utm_source=ig_twitter_share&igshid=17t9lwsx42e69…,,,,it,Piccola Cucina Estiatorio
31,Roberta Broccoli ,@robby2309·2018年8月31日,2018-08-30,#piccolacucina #newyorkcity #newyork @Cucina_Piccola #yummy #foodstagram #instadaily#instamood #restaurant #nyc @ Piccola Cucina Estiatorio https://instagram.com/p/BnH1GPDFLPk/?utm_source=ig_twitter_share&igshid=1tbi96zyxkwcb…,,,,it,Piccola Cucina Estiatorio
32,Lowbrow Literati,@LowbrowLiterati·2018年8月7日,2018-08-07,@osgemeos #MrA @jrart all in one @ Piccola Cucina Estiatorio https://instagram.com/p/BmLb1d0lwz2/?utm_source=ig_twitter_share&igshid=1hnowb5wrystt…,,,,it,Piccola Cucina Estiatorio
33,Chris Coyle,@chrisjcoyle1·2018年7月1日,2018-07-01,Lunch with the fam. Joint to ourselves @ Piccola Cucina Estiatorio https://instagram.com/p/Bks0Dj-Ds4V/?utm_source=ig_twitter_share&igshid=imlwrbk32be6…,,,1,en,Piccola Cucina Estiatorio
34,New Yorker,@thenewyorker78·2018年4月13日,2018-04-13,New post (Piccola cucina Estiatorio ...) has been published on  - http://newyork.jetzt-24.de/piccola-cucina-estiatorio-nyc/…Fototapete New York: http://bit.ly/2ghkpTd,,,,it,Piccola Cucina Estiatorio
35,Piccola Cucina Group,@Cucina_Piccola·2017年11月29日,2017-11-29,Provato?!  #octopus #skewer #pistacchio #cream #mandarino #sauce #PiccolaCucinaEstiatorio… https://instagram.com/p/BcDkfT9hRsR/,1,,1,it,Piccola Cucina Estiatorio
36,Miss Tiffy Baby ,@SoSeducTIFF·2017年9月26日,2017-09-26,Lobster Pasta  via @cy_eats @ Piccola Cucina Estiatorio https://instagram.com/p/BZfKTGsB78k/,,,1,it,Piccola Cucina Estiatorio
37,MartinaNYC,@Martina_NYC·2017年9月8日,2017-09-08,Festeggiando i 31 da Tiffany e Piccola Cucina Estiatorio https://newyorkdicorsa.wordpress.com/2017/09/08/festeggiando-i-31-da-tiffany-e-piccola-cucina-estiatorio/…,,1,2,it,Piccola Cucina Estiatorio
38,Sonia Behal,@soniabehal·2017年9月4日,2017-09-04,"Full dance party with dinner unforgettable dinner (@ Piccola Cucina Estiatorio in New York, NY) https://swarmapp.com/c/f3uXEyxI0o9",,,,en,Piccola Cucina Estiatorio
39,streetfauna ,@streetfauna·2017年7月29日,2017-07-28,"I'm at Piccola Cucina Estiatorio in New York, NY https://swarmapp.com/c/krGr2ud3h1n",,,,it,Piccola Cucina Estiatorio
40,李善德,@lishandeli·2017年7月27日,2017-07-27,"Piccola Cucina Estiatorio ：一封给西西里岛的情书  http://ift.tt/2w2hNel 神韵巡演 https://goo.gl/8SKHx2 解析""1400例"" …",,,,zh,Piccola Cucina Estiatorio
41,李拓,@zhaouquan1·2017年7月27日,2017-07-27,Piccola Cucina Estiatorio ：一封给西西里岛的情书  http://epochtimes.com/gb/17/7/26/n9466888.htm…退出共产党 http://goo.gl/j6YGv1 翻墙直连https://git.i… https://youtu.be/I-qYPPOLUfc,,,,zh,Piccola Cucina Estiatorio
42,Mauro Porcini,@MauroPorcini·2017年6月18日,2017-06-18,#NewYork reunion........ #friends #fun @ Piccola Cucina Estiatorio https://instagram.com/p/BVdr8ecFIUA/,,,,es,Piccola Cucina Estiatorio
43,Restaurant Groupie,@RGroupie·2017年4月17日,2017-04-17,"The FrittoMisto @Cucina_Piccola's newest outpost Estiatorio, focusing on fresh seafood. Fried… https://instagram.com/p/BTAGTGCFXMP/",,,,en,Piccola Cucina Estiatorio
44,Total Food Service,@TFS_TotalFood·2017年3月22日,2017-03-22,"With New Piccola Cucina Estiatorio, Chef Philip Guardione Brings Mediterranean Authenticity to #SoHo http://bit.ly/2o4gLuv @PCucinaNYC",,,,en,Piccola Cucina Estiatorio
45,Betsy RC,@BetsyRC1·2017年3月18日,2017-03-18,"Best appetizer: tuna & salmon, stuffed mozzarella & arugula salad. And Sicily came to New York w/ the cassata - at Piccola Cucina Estiatorio",,,,it,Piccola Cucina Estiatorio
46,L'Isolabella Sicily,@LIsolabella·2017年3月18日,2017-03-18,"Piccola Cucina Estiatorio will be Chef Philip Guardione's new opening in SoHo, New York http://ow.ly/zLMR309S45c #SaturdayKitchen",,,1,en,Piccola Cucina Estiatorio
47,The Perfect Wife NY,@perfectwifenyc·2017年3月14日,2017-03-14,"Piccola Cucina Estiatorio, new Sicilian Seafood restaurant in SoHo. I'll taste gnocchi with shrimp and mushrooms http://piccolacucinagroup.com/piccola-cucina-estiatorio-soho-nyc/…",,1,,en,Piccola Cucina Estiatorio
48,Tribeca Citizen,@tribecacitizen·2017年3月8日,2017-03-08,In the News: White St building OKed; Remix update; statue of girl at Wall St Bull; Piccola Cucina Estiatorio http://tribecacitizen.com/2017/03/08/in-the-news-new-white-street-building-approved/…,,,1,en,Piccola Cucina Estiatorio
