,Name,User_name,Date,Content,Comments,Forward,Like,language,Restaurant
0,lontanistan,@Brentancarla·2022年11月23日,2022-11-23,In Veneto sappiamo benissimo da Venezia a Rovigo dove andare al bar al ristorante e in pizzeria solo ed esclusivamente in locali dove non si è mai richiesto nulla. Per mio conto ho il bar pasticceria sottocasa che lo ha sempre rifiutato anche a chi lo presentava,,3,40,it,SottoCasa Pizzeria 
1,Stefano the return,@SteCasati7·2022年10月17日,2022-10-17,Zitto che mi sono allacciato alla pizzeria sottocasa!,1,,4,it,SottoCasa Pizzeria 
2,megan ,@legggomegggo·2022年10月1日,2022-10-01,"It’s called Sottocasa Pizzeria, it’s on Atlantic in Brooklyn!!",1,,2,en,SottoCasa Pizzeria 
3,Evan Sellinger - Wu,@EvanWu20·2022年8月20日,2022-08-20,"On Thursday night @JoelSellinger and I went on a date. We were at work all day, but agreed to meet up at  #SottocasaPizzeria at7pm without meeting up earlier at our apartment. We had an amazing time. My husband is so funny and charming",,,1,en,SottoCasa Pizzeria 
4,Fabio Chenasky,@chenasky·2022年7月12日,2022-07-12,"Sarà il webmaster della pizzeria sottocasa, mica bruscolini eh",1,,,it,SottoCasa Pizzeria 
5,Sergio D ,@DErricoSergio·2022年7月11日,2022-07-11,seee.... ahahahahah nella pizzeria sottocasa 5 su 7 hanno RdC e 700 a nero... ancora c'è chi crede alle cazzate di INPS...ma per favore...,,,,it,SottoCasa Pizzeria 
6,Tiramisù,@kelaforzasiaco1·2022年6月10日,2022-06-10,Vuoi realizzarti? Scendi ed inizia a fare la cameriera al bar o alla pizzeria sottocasa invece di rompere il cazzo facendo post idioti.. :),,,,it,SottoCasa Pizzeria 
7,Sergio D ,@DErricoSergio·2022年5月25日,2022-05-25,"La soluzione italiana è nella pizzeria sottocasa: 5 lavoranti su 7 prendono RdC e la sera lavorano in nero. Pensavi di vivere, chessò, in un paese del nord Europa? No, sei in Italia il paese in cui tutti arraffano soldi comuni, finché va…",1,,1,it,SottoCasa Pizzeria 
8,Bonu,@Bonu4L·2022年5月2日,2022-05-02,Devono rompere il cazzoÈ naturale che da Cracco o altri vip costa più della pizzeria sottocasa,,,,it,SottoCasa Pizzeria 
9,Ste quello dei cani! ,@StevLova·2022年4月29日,2022-04-29,"domani, praticamente sottocasa, dove c'e' la pizzeria della sera del lockdown",1,,1,it,SottoCasa Pizzeria 
